STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Acer,Iconia Duo S14,https://www.gsmarena.com/acer_iconia_duo_s14-14707.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-duo-s14.jpg,Success,
2,Acer,Iconia Duo S12,https://www.gsmarena.com/acer_iconia_duo_s12-14708.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-duo-s12.jpg,Success,
3,Acer,Iconia Duo D12,https://www.gsmarena.com/acer_iconia_duo_d12-14709.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-duo-d12.jpg,Success,
4,Acer,Iconia iM11-22M5G,https://www.gsmarena.com/acer_iconia_im11_22m5g-14659.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-im11-22m5g.jpg,Success,
5,Acer,Iconia V12,https://www.gsmarena.com/acer_iconia_v12-14298.php,https://fdn2.gsmarena.com/vv/bigpic/acer-Iconia-v12-.jpg,Success,
6,Acer,Iconia V11,https://www.gsmarena.com/acer_iconia_v11-14297.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-v11-.jpg,Success,
7,Acer,Acerone Liquid S262F5,https://www.gsmarena.com/acer_acerone_liquid_s262f5_5g-14250.php,https://fdn2.gsmarena.com/vv/bigpic/acer-acerone-liquid-s262f5.jpg,Success,
8,Acer,Iconia A14,https://www.gsmarena.com/acer_iconia_a14-14120.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-a14-.jpg,Success,
9,Acer,Iconia A16,https://www.gsmarena.com/acer_iconia_a16-14119.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-a14-.jpg,Success,
10,Acer,Iconia X14,https://www.gsmarena.com/acer_iconia_x14-14117.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-x14-.jpg,Success,
11,Acer,Iconia X12,https://www.gsmarena.com/acer_iconia_x12-14118.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-x12.jpg,Success,
12,Acer,Iconia Tab P11 (2025),https://www.gsmarena.com/acer_iconia_tab_p11_(2025)-14299.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-p11.jpg,Success,
13,Acer,Iconia Tab P10 (2025),https://www.gsmarena.com/acer_iconia_tab_p10_(2025)-14300.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-p10.jpg,Success,
14,Acer,Super ZX Pro,https://www.gsmarena.com/acer_super_zx_pro_5g-13795.php,https://fdn2.gsmarena.com/vv/bigpic/acer-super-zx-pro-1.jpg,Success,
15,Acer,Super ZX,https://www.gsmarena.com/acer_super_zx_5g-13796.php,https://fdn2.gsmarena.com/vv/bigpic/acer-super-zx.jpg,Success,
16,Acer,Acerone Liquid S272E4,https://www.gsmarena.com/acer_acerone_liquid_s272e4-13757.php,https://fdn2.gsmarena.com/vv/bigpic/acer-acerone-liquid-s272e4.jpg,Success,
17,Acer,Acerone Liquid S162E4,https://www.gsmarena.com/acer_acerone_liquid_s162e4-13756.php,https://fdn2.gsmarena.com/vv/bigpic/acer-acerone-liquid-s162e4.jpg,Success,
18,Acer,Chromebook Tab 10,https://www.gsmarena.com/acer_chromebook_tab_10-9139.php,https://fdn2.gsmarena.com/vv/bigpic/acer-chromebook-tab-10.jpg,Success,
19,Acer,Iconia Talk S,https://www.gsmarena.com/acer_iconia_talk_s-8306.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg,Success,
20,Acer,Liquid Z6 Plus,https://www.gsmarena.com/acer_liquid_z6_plus-8305.php,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg,Success,
21,Acer,Liquid Z6,https://www.gsmarena.com/acer_liquid_z6-8304.php,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg,Success,
22,Acer,Iconia Tab 10 A3-A40,https://www.gsmarena.com/acer_iconia_tab_10_a3_a40-8080.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg,Success,
23,Acer,Liquid X2,https://www.gsmarena.com/acer_liquid_x2-8034.php,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg,Success,
24,Acer,Liquid Jade 2,https://www.gsmarena.com/acer_liquid_jade_2-7956.php,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-2.jpg,Success,
25,Acer,Liquid Zest Plus,https://www.gsmarena.com/acer_liquid_zest_plus-8059.php,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-zest-plus-z628.jpg,Success,
26,Acer,Liquid Zest,https://www.gsmarena.com/acer_liquid_zest-7955.php,https://fdn2.gsmarena.com/vv/bigpic/acer-zest.jpg,Success,
27,Acer,Predator 8,https://www.gsmarena.com/acer_predator_8-7750.php,https://fdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg,Success,
28,Acer,Liquid Jade Primo,https://www.gsmarena.com/acer_liquid_jade_primo-7650.php,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg,Success,
29,Acer,Liquid Z330,https://www.gsmarena.com/acer_liquid_z330-7530.php,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,Success,
