STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,alcatel,A62,https://www.gsmarena.com/alcatel_a62-14319.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a62.jpg,Success,
2,alcatel,V3 Ultra,https://www.gsmarena.com/alcatel_v3_ultra_5g-13885.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-v3-ultra.jpg,Success,
3,alcatel,V3 Pro,https://www.gsmarena.com/alcatel_v3_pro_5g-13893.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-v3-pro.jpg,Success,
4,alcatel,V3 Classic,https://www.gsmarena.com/alcatel_v3_classic_5g-13894.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-v3-classic.jpg,Success,
5,alcatel,3 (2025),https://www.gsmarena.com/alcatel_3_(2025)-13886.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3-2025.jpg,Success,
6,alcatel,1B (2022),https://www.gsmarena.com/alcatel_1b_(2022)-11706.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2022.jpg,Success,
7,alcatel,1L Pro (2021),https://www.gsmarena.com/alcatel_1l_pro_(2021)-10981.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-pro-2021.jpg,Success,
8,alcatel,1 (2021),https://www.gsmarena.com/alcatel_1_(2021)-10980.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-2021.jpg,Success,
9,alcatel,3L (2021),https://www.gsmarena.com/alcatel_3l_(2021)-10679.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2021.jpg,Success,
10,alcatel,1S (2021),https://www.gsmarena.com/alcatel_1s_(2021)-10680.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1s-2021.jpg,Success,
11,alcatel,1L (2021),https://www.gsmarena.com/alcatel_1l_(2021)-10682.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-2021.jpg,Success,
12,alcatel,1V (2021),https://www.gsmarena.com/alcatel_1v_(2021)-11659.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1v-2021.jpg,Success,
13,alcatel,1SE (2020),https://www.gsmarena.com/alcatel_1se_(2020)-10618.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-se-2020.jpg,Success,
14,alcatel,Go Flip 4,https://www.gsmarena.com/alcatel_go_flip_4-12017.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flip-4.jpg,Success,
15,alcatel,Go Flip 3,https://www.gsmarena.com/alcatel_go_flip_3-10500.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flip3.jpg,Success,
16,alcatel,Go Flip V,https://www.gsmarena.com/alcatel_go_flip_v-10501.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flipv.jpg,Success,
17,alcatel,3T10 2020,https://www.gsmarena.com/alcatel_3t10_2020-12041.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t10-2020.jpg,Success,
18,alcatel,3X (2020),https://www.gsmarena.com/alcatel_3x_(2020)-10490.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2020.jpg,Success,
19,alcatel,3L (2020),https://www.gsmarena.com/alcatel_3l_(2020)-10016.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,Success,
20,alcatel,1S (2020),https://www.gsmarena.com/alcatel_1s_(2020)-10017.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,Success,
21,alcatel,1V (2020),https://www.gsmarena.com/alcatel_1v_(2020)-10018.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,Success,
22,alcatel,1B (2020),https://www.gsmarena.com/alcatel_1b_(2020)-10019.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2020.jpg,Success,
23,alcatel,3v (2019),https://www.gsmarena.com/alcatel_3v_(2019)-10042.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3v-2019.jpg,Success,
24,alcatel,3x (2019),https://www.gsmarena.com/alcatel_3x_(2019)-9842.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2019.jpg,Success,
25,alcatel,1v (2019),https://www.gsmarena.com/alcatel_1v_(2019)-9843.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1v-2019.jpg,Success,
26,alcatel,3T 8,https://www.gsmarena.com/alcatel_3t_8-10108.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-8.jpg,Success,
27,alcatel,Smart Tab 7,https://www.gsmarena.com/alcatel_smart_tab_7-9837.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-smart-tab-7-2019.jpg,Success,
28,alcatel,3T 10,https://www.gsmarena.com/alcatel_3t_10-9601.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-10-2019.jpg,Success,
29,alcatel,3L,https://www.gsmarena.com/alcatel_3l-9600.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3l.jpg,Success,
30,alcatel,3 (2019),https://www.gsmarena.com/alcatel_3_(2019)-9599.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3-2019.jpg,Success,
31,alcatel,1s,https://www.gsmarena.com/alcatel_1s-9598.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1s.jpg,Success,
32,alcatel,1x (2019),https://www.gsmarena.com/alcatel_1x_(2019)-9510.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1x-2019.jpg,Success,
33,alcatel,1c (2019),https://www.gsmarena.com/alcatel_1c_(2019)-9511.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1c-2019.jpg,Success,
