STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Allview,Soul X7 Pro,https://www.gsmarena.com/allview_soul_x7_pro-10302.php,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-pro.jpg,Success,
2,Allview,Soul X7 Style,https://www.gsmarena.com/allview_soul_x7_style-10301.php,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-style.jpg,Success,
3,Allview,Viva 803G,https://www.gsmarena.com/allview_viva_803g-10303.php,https://fdn2.gsmarena.com/vv/bigpic/allview-viva-803g.jpg,Success,
4,Allview,V4 Viper Pro,https://www.gsmarena.com/allview_v4_viper_pro-10039.php,https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper-pro.jpg,Success,
5,Allview,Viva C703,https://www.gsmarena.com/allview_viva_c703-9939.php,https://fdn2.gsmarena.com/vv/bigpic/allview-vivac703.jpg,Success,
6,Allview,Viva Home,https://www.gsmarena.com/allview_viva_home-9911.php,https://fdn2.gsmarena.com/vv/bigpic/allview-vivahome.jpg,Success,
7,Allview,Viva 1003G,https://www.gsmarena.com/allview_viva_1003g-9910.php,https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g.jpg,Success,
8,Allview,Viva 1003G Lite,https://www.gsmarena.com/allview_viva_1003g_lite-9909.php,https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g-lite.jpg,Success,
9,Allview,V4 Viper,https://www.gsmarena.com/allview_v4_viper-9908.php,https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper.jpg,Success,
10,Allview,Soul X6 Mini,https://www.gsmarena.com/allview_soul_x6_mini-9709.php,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x6-mini.jpg,Success,
11,Allview,Soul X6 Xtreme,https://www.gsmarena.com/allview_soul_x6_xtreme-9685.php,https://fdn2.gsmarena.com/vv/bigpic/allview-x6-xtr.jpg,Success,
12,Allview,P10 Pro,https://www.gsmarena.com/allview_p10_pro-9686.php,https://fdn2.gsmarena.com/vv/bigpic/allview-p10-pro.jpg,Success,
13,Allview,P10 Max,https://www.gsmarena.com/allview_p10_max-9687.php,https://fdn2.gsmarena.com/vv/bigpic/allview-p10-max.jpg,Success,
14,Allview,P10 Mini,https://www.gsmarena.com/allview_p10_mini-9688.php,https://fdn2.gsmarena.com/vv/bigpic/allview-p10-mini.jpg,Success,
15,Allview,P10 Life,https://www.gsmarena.com/allview_p10_life-9621.php,https://fdn2.gsmarena.com/vv/bigpic/allview-p10-life.jpg,Success,
16,Allview,A10 Lite 2019,https://www.gsmarena.com/allview_a10_lite_2019-9504.php,https://fdn2.gsmarena.com/vv/bigpic/allview-10-lite-2019.jpg,Success,
17,Allview,Allwatch Hybrid T,https://www.gsmarena.com/allview_allwatch_hybrid_t-9492.php,https://fdn2.gsmarena.com/vv/bigpic/allview-hybrid-t.jpg,Success,
18,Allview,Allwatch Hybrid S,https://www.gsmarena.com/allview_allwatch_hybrid_s-9491.php,https://fdn2.gsmarena.com/vv/bigpic/allview-hybrid-s.jpg,Success,
19,Allview,A10 Plus,https://www.gsmarena.com/allview_a10_plus-9471.php,https://fdn2.gsmarena.com/vv/bigpic/allview-a10-plus.jpg,Success,
20,Allview,Soul X5 Style,https://www.gsmarena.com/allview_soul_x5_style-9400.php,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x5-style.jpg,Success,
21,Allview,Allwatch V,https://www.gsmarena.com/allview_allwatch_v-9392.php,https://fdn2.gsmarena.com/vv/bigpic/allview-allwatch-v.jpg,Success,
22,Allview,Soul X5 Mini,https://www.gsmarena.com/allview_soul_x5_mini-9391.php,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x5-mini.jpg,Success,
