STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Amazon,Fire Max 11,https://www.gsmarena.com/amazon_fire_max_11-12382.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-max-11.jpg,Success,
2,Amazon,Fire HD 8 Plus (2022),https://www.gsmarena.com/amazon_fire_hd_8_plus_(2022)-12035.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-plus-2022.jpg,Success,
3,Amazon,Fire HD 8 (2022),https://www.gsmarena.com/amazon_fire_hd_8_(2022)-12036.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2022.jpg,Success,
4,Amazon,Fire HD 10 Plus (2021),https://www.gsmarena.com/amazon_fire_hd_10_plus_(2021)-10882.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-plus-2021.jpg,Success,
5,Amazon,Fire HD 10 (2021),https://www.gsmarena.com/amazon_fire_hd_10_(2021)-10881.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2021.jpg,Success,
6,Amazon,Fire HD 8 Plus (2020),https://www.gsmarena.com/amazon_fire_hd_8_plus_(2020)-10246.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg,Success,
7,Amazon,Fire HD 8 (2020),https://www.gsmarena.com/amazon_fire_hd_8_(2020)-10245.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg,Success,
8,Amazon,Fire HD 10 (2019),https://www.gsmarena.com/amazon_fire_hd_10_(2019)-10620.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2019.jpg,Success,
9,Amazon,Fire HD 10 (2017),https://www.gsmarena.com/amazon_fire_hd_10_(2017)-8872.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2017.jpg,Success,
10,Amazon,Fire HD 8 (2017),https://www.gsmarena.com/amazon_fire_hd_8_(2017)-8806.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2017.jpg,Success,
11,Amazon,Fire 7 (2017),https://www.gsmarena.com/amazon_fire_7_(2017)-8805.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-7-2017.jpg,Success,
12,Amazon,Fire HD 10,https://www.gsmarena.com/amazon_fire_hd_10-7611.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10.jpg,Success,
13,Amazon,Fire HD 8,https://www.gsmarena.com/amazon_fire_hd_8-7610.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8.jpg,Success,
14,Amazon,Fire 7,https://www.gsmarena.com/amazon_fire_7-7609.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-7.jpg,Success,
15,Amazon,Fire HDX 8.9 (2014),https://www.gsmarena.com/amazon_fire_hdx_8_9_(2014)-6690.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89-2014.jpg,Success,
16,Amazon,Fire HD 7,https://www.gsmarena.com/amazon_fire_hd_7-6689.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd7.jpg,Success,
17,Amazon,Fire HD 6,https://www.gsmarena.com/amazon_fire_hd_6-6688.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd6.jpg,Success,
18,Amazon,Fire Phone,https://www.gsmarena.com/amazon_fire_phone-6453.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-phone.jpg,Success,
19,Amazon,Kindle Fire HDX 8.9,https://www.gsmarena.com/amazon_kindle_fire_hdx_8_9-5728.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89.jpg,Success,
20,Amazon,Kindle Fire HDX,https://www.gsmarena.com/amazon_kindle_fire_hdx-5727.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX.jpg,Success,
21,Amazon,Kindle Fire HD (2013),https://www.gsmarena.com/amazon_kindle_fire_hd_(2013)-5726.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HD.jpg,Success,
22,Amazon,Kindle Fire HD 8.9 LTE,https://www.gsmarena.com/amazon_kindle_fire_hd_8_9_lte-4996.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd-89.jpg,Success,
23,Amazon,Kindle Fire HD 8.9,https://www.gsmarena.com/amazon_kindle_fire_hd_8_9-4995.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd-89.jpg,Success,
24,Amazon,Kindle Fire HD,https://www.gsmarena.com/amazon_kindle_fire_hd-4994.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd.jpg,Success,
25,Amazon,Kindle Fire,https://www.gsmarena.com/amazon_kindle_fire-4524.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire.jpg,Success,
