STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Apple,iPhone 17e,https://www.gsmarena.com/apple_iphone_17e-14487.php,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-17e.jpg,Success,
2,Apple,iPad Air 13 (2026),https://www.gsmarena.com/apple_ipad_air_13_5g_(2026)-14521.php,https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-air-13-2025.jpg,Success,
3,Apple,iPad Air 11 (2026),https://www.gsmarena.com/apple_ipad_air_11_5g_(2026)-14520.php,https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-air-11-2025.jpg,Success,
4,Apple,iPad Pro 13 (2025),https://www.gsmarena.com/apple_ipad_pro_13_5g_(2025)-14233.php,https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-13-2024.jpg,Success,
5,Apple,iPad Pro 11 (2025),https://www.gsmarena.com/apple_ipad_pro_11_5g_(2025)-14234.php,https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-11-2024.jpg,Success,
6,Apple,iPhone 17 Pro Max,https://www.gsmarena.com/apple_iphone_17_pro_max-13964.php,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-17-pro-max.jpg,Success,
7,Apple,iPhone 17 Pro,https://www.gsmarena.com/apple_iphone_17_pro-14049.php,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-17-pro.jpg,Success,
8,Apple,iPhone Air,https://www.gsmarena.com/apple_iphone_17_air-13502.php,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-air.jpg,Success,
9,Apple,iPhone 17,https://www.gsmarena.com/apple_iphone_17-14050.php,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-17.jpg,Success,
10,Apple,Watch Ultra 3,https://www.gsmarena.com/apple_watch_ultra_3-14130.php,https://fdn2.gsmarena.com/vv/bigpic/apple-watch-ultra3.jpg,Success,
11,Apple,Watch Series 11,https://www.gsmarena.com/apple_watch_series_11-14131.php,https://fdn2.gsmarena.com/vv/bigpic/apple-watch11.jpg,Success,
