STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Archos,Diamond,https://www.gsmarena.com/archos_diamond-9593.php,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-2019.jpg,Success,
2,Archos,Oxygen 68XL,https://www.gsmarena.com/archos_oxygen_68xl-9594.php,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-68xl.jpg,Success,
3,Archos,Oxygen 63,https://www.gsmarena.com/archos_oxygen_63-9595.php,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-63.jpg,Success,
4,Archos,Oxygen 57,https://www.gsmarena.com/archos_oxygen_57-9596.php,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-57.jpg,Success,
5,Archos,Saphir 50X,https://www.gsmarena.com/archos_saphir_50x-9151.php,https://fdn2.gsmarena.com/vv/bigpic/archos-saphir-50x.jpg,Success,
6,Archos,Diamond Omega,https://www.gsmarena.com/archos_diamond_omega-8903.php,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-omega.jpg,Success,
7,Archos,Diamond Alpha +,https://www.gsmarena.com/archos_diamond_alpha_+-8836.php,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha-plus.jpg,Success,
8,Archos,Diamond Tab,https://www.gsmarena.com/archos_diamond_tab-8837.php,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-tab-.jpg,Success,
9,Archos,Diamond Alpha,https://www.gsmarena.com/archos_diamond_alpha-8737.php,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha.jpg,Success,
10,Archos,Sense 55s,https://www.gsmarena.com/archos_sense_55s-8739.php,https://fdn2.gsmarena.com/vv/bigpic/archos-sense-55s.jpg,Success,
11,Archos,Diamond Gamma,https://www.gsmarena.com/archos_diamond_gamma-8738.php,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-gamma.jpg,Success,
12,Archos,Sense 50x,https://www.gsmarena.com/archos_sense_50x-8740.php,https://fdn2.gsmarena.com/vv/bigpic/archos-sense-50x.jpg,Success,
13,Archos,50 Saphir,https://www.gsmarena.com/archos_50_saphir-8592.php,https://fdn2.gsmarena.com/vv/bigpic/archos-50-saphir.jpg,Success,
14,Archos,55 Graphite,https://www.gsmarena.com/archos_55_graphite-8587.php,https://fdn2.gsmarena.com/vv/bigpic/archos-55-graphite.jpg,Success,
15,Archos,50 Graphite,https://www.gsmarena.com/archos_50_graphite-8586.php,https://fdn2.gsmarena.com/vv/bigpic/archos-50-graphite.jpg,Success,
16,Archos,55b Cobalt,https://www.gsmarena.com/archos_55b_cobalt-8547.php,https://fdn2.gsmarena.com/vv/bigpic/archos-55b-cobalt.jpg,Success,
17,Archos,50b Cobalt,https://www.gsmarena.com/archos_50b_cobalt-8546.php,https://fdn2.gsmarena.com/vv/bigpic/archos-50b-cobalt.jpg,Success,
18,Archos,Diamond 2 Plus,https://www.gsmarena.com/archos_diamond_2_plus-8216.php,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond2plus.jpg,Success,
19,Archos,55 Cobalt Plus,https://www.gsmarena.com/archos_55_cobalt_plus-7876.php,https://fdn2.gsmarena.com/vv/bigpic/archos-55-cobalt-plus.jpg,Success,
20,Archos,50 Cobalt,https://www.gsmarena.com/archos_50_cobalt-7875.php,https://fdn2.gsmarena.com/vv/bigpic/archos-55-cobalt.jpg,Success,
21,Archos,Diamond Plus,https://www.gsmarena.com/archos_diamond_plus-7749.php,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-plus.jpg,Success,
22,Archos,Diamond S,https://www.gsmarena.com/archos_diamond_s-7748.php,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-s.jpg,Success,
23,Archos,50d Helium 4G,https://www.gsmarena.com/archos_50d_helium_4g-7371.php,https://fdn2.gsmarena.com/vv/bigpic/archos-50d-helium-4g.jpg,Success,
24,Archos,50b Helium 4G,https://www.gsmarena.com/archos_50b_helium_4g-7050.php,https://fdn2.gsmarena.com/vv/bigpic/archos-50b-helium.jpg,Success,
25,Archos,50 Diamond,https://www.gsmarena.com/archos_50_diamond-7042.php,https://fdn2.gsmarena.com/vv/bigpic/archos-50-diamond.jpg,Success,
26,Archos,40 Cesium,https://www.gsmarena.com/archos_40_cesium-6660.php,https://fdn2.gsmarena.com/vv/bigpic/archos-40-cesium.jpg,Success,
27,Archos,45c Platinum,https://www.gsmarena.com/archos_45c_platinum-6610.php,https://fdn2.gsmarena.com/vv/bigpic/archos-45c-platinum.jpg,Success,
28,Archos,40c Titanium,https://www.gsmarena.com/archos_40c_titanium-6661.php,https://fdn2.gsmarena.com/vv/bigpic/archos-40c-titanium.jpg,Success,
29,Archos,50b Platinum,https://www.gsmarena.com/archos_50b_platinum-6609.php,https://fdn2.gsmarena.com/vv/bigpic/archos-50b-platinum.jpg,Success,
30,Archos,80 Helium 4G,https://www.gsmarena.com/archos_80_helium_4g-6128.php,https://fdn2.gsmarena.com/vv/bigpic/archos-80-helium-4g.jpg,Success,
31,Archos,64 Xenon,https://www.gsmarena.com/archos_64_xenon-6127.php,https://fdn2.gsmarena.com/vv/bigpic/archos-64-xenon.jpg,Success,
32,Archos,50c Oxygen,https://www.gsmarena.com/archos_50c_oxygen-6125.php,https://fdn2.gsmarena.com/vv/bigpic/archos-50c-oxygen.jpg,Success,
33,Archos,40b Titanium,https://www.gsmarena.com/archos_40b_titanium-6126.php,https://fdn2.gsmarena.com/vv/bigpic/archos-40b-titanium.jpg,Success,
34,Archos,50 Helium 4G,https://www.gsmarena.com/archos_50_helium_4g-6055.php,https://fdn2.gsmarena.com/vv/bigpic/archos-helium-4g-50.jpg,Success,
35,Archos,45 Helium 4G,https://www.gsmarena.com/archos_45_helium_4g-6056.php,https://fdn2.gsmarena.com/vv/bigpic/archos-helium-4g-45.jpg,Success,
36,Archos,50 Oxygen,https://www.gsmarena.com/archos_50_oxygen-6057.php,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-50.jpg,Success,
37,Archos,53 Platinum,https://www.gsmarena.com/archos_53_platinum-6059.php,https://fdn2.gsmarena.com/vv/bigpic/archos-platinum-53.jpg,Success,
38,Archos,50 Platinum,https://www.gsmarena.com/archos_50_platinum-6058.php,https://fdn2.gsmarena.com/vv/bigpic/archos-platinum-50.jpg,Success,
39,Archos,45 Platinum,https://www.gsmarena.com/archos_45_platinum-6060.php,https://fdn2.gsmarena.com/vv/bigpic/archos-platinum-45.jpg,Success,
40,Archos,53 Titanium,https://www.gsmarena.com/archos_53_titanium-6061.php,https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-53.jpg,Success,
41,Archos,50 Titanium,https://www.gsmarena.com/archos_50_titanium-6062.php,https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-50.jpg,Success,
42,Archos,45 Titanium,https://www.gsmarena.com/archos_45_titanium-6063.php,https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-45.jpg,Success,
43,Archos,40 Titanium,https://www.gsmarena.com/archos_40_titanium-6064.php,https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-40.jpg,Success,
