STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Asus,Pad (T3201),https://www.gsmarena.com/asus_pad_(t3201)-14812.php,https://fdn2.gsmarena.com/vv/bigpic/asus-pad-t3201.jpg,Success,
2,Asus,Zenfone 12 Ultra,https://www.gsmarena.com/asus_zenfone_12_ultra-13653.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-12-ultra.jpg,Success,
3,Asus,ROG Phone 9 Pro,https://www.gsmarena.com/asus_rog_phone_9_pro-13469.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-9-pro.jpg,Success,
4,Asus,ROG Phone 9 FE,https://www.gsmarena.com/asus_rog_phone_9_fe-13641.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-9-fe.jpg,Success,
5,Asus,ROG Phone 9,https://www.gsmarena.com/asus_rog_phone_9-13503.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-9.jpg,Success,
6,Asus,Zenfone 11 Ultra,https://www.gsmarena.com/asus_zenfone_11_ultra-12820.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-11-ultra.jpg,Success,
7,Asus,ROG Phone 8 Pro,https://www.gsmarena.com/asus_rog_phone_8_pro-12746.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-8-pro.jpg,Success,
8,Asus,ROG Phone 8,https://www.gsmarena.com/asus_rog_phone_8-12780.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-8.jpg,Success,
9,Asus,Zenfone 10,https://www.gsmarena.com/asus_zenfone_10-12380.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone10.jpg,Success,
10,Asus,ROG Phone 7 Ultimate,https://www.gsmarena.com/asus_rog_phone_7_ultimate-12224.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-7-ultimate.jpg,Success,
11,Asus,ROG Phone 7,https://www.gsmarena.com/asus_rog_phone_7-12223.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-7.jpg,Success,
12,Asus,ROG Phone 6D Ultimate,https://www.gsmarena.com/asus_rog_phone_6d_ultimate-11880.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6d-ultimate.jpg,Success,
13,Asus,ROG Phone 6D,https://www.gsmarena.com/asus_rog_phone_6d-11881.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6d.jpg,Success,
14,Asus,ROG Phone 6 Diablo Immortal Edition,https://www.gsmarena.com/asus_rog_phone_6_diablo_immortal_edition-11986.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6-diablo-immortal-edition.jpg,Success,
15,Asus,ROG Phone 6 Batman Edition,https://www.gsmarena.com/asus_rog_phone_6_batman_edition-11882.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6-batman.jpg,Success,
16,Asus,Zenfone 9,https://www.gsmarena.com/asus_zenfone_9-11656.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-9-new.jpg,Success,
17,Asus,ROG Phone 6 Pro,https://www.gsmarena.com/asus_rog_phone_6_pro-11648.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone6-pro.jpg,Success,
18,Asus,ROG Phone 6,https://www.gsmarena.com/asus_rog_phone_6-11647.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone6.jpg,Success,
19,Asus,ROG Phone 5s Pro,https://www.gsmarena.com/asus_rog_phone_5s_pro-11053.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5s-pro.jpg,Success,
20,Asus,ROG Phone 5s,https://www.gsmarena.com/asus_rog_phone_5s-11054.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5s-new.jpg,Success,
21,Asus,Smartphone for Snapdragon Insiders,https://www.gsmarena.com/asus_smartphone_for_snapdragon_insiders-11006.php,https://fdn2.gsmarena.com/vv/bigpic/asus-smartphone-for-snapdragon-insiders.jpg,Success,
22,Asus,Zenfone 8 Flip,https://www.gsmarena.com/asus_zenfone_8_flip-10892.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-8-flip.jpg,Success,
23,Asus,Zenfone 8,https://www.gsmarena.com/asus_zenfone_8-10893.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-8.jpg,Success,
24,Asus,ROG Phone 5 Ultimate,https://www.gsmarena.com/asus_rog_phone_5_ultimate-10785.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5-ultimate.jpg,Success,
25,Asus,ROG Phone 5 Pro,https://www.gsmarena.com/asus_rog_phone_5_pro-10784.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5-pro.jpg,Success,
26,Asus,ROG Phone 5,https://www.gsmarena.com/asus_rog_phone_5-10715.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5.jpg,Success,
27,Asus,Zenfone 7 Pro,https://www.gsmarena.com/asus_zenfone_7_pro-10393.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks-b.jpg,Success,
28,Asus,Zenfone 7,https://www.gsmarena.com/asus_zenfone_7-10379.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks.jpg,Success,
29,Asus,ROG Phone 3,https://www.gsmarena.com/asus_rog_phone_3-10296.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-3-zs661ks.jpg,Success,
30,Asus,ROG Phone 3 Strix,https://www.gsmarena.com/asus_rog_phone_3_strix-10328.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone3-strix.jpg,Success,
31,Asus,ROG Phone II ZS660KL,https://www.gsmarena.com/asus_rog_phone_ii_zs660kl-9770.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone2.jpg,Success,
32,Asus,Zenfone 6 ZS630KL,https://www.gsmarena.com/asus_zenfone_6_zs630kl-9698.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-6-zs630kl.jpg,Success,
33,Asus,ZenFone Live (L2),https://www.gsmarena.com/asus_zenfone_live_(l2)-9667.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l2.jpg,Success,
34,Asus,Zenfone Max Plus (M2) ZB634KL,https://www.gsmarena.com/asus_zenfone_max_plus_(m2)_zb634kl-9634.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-plus-m2.jpg,Success,
35,Asus,Zenfone Max Shot ZB634KL,https://www.gsmarena.com/asus_zenfone_max_shot_zb634kl-9633.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-shot.jpg,Success,
36,Asus,Zenfone Max Pro (M2) ZB631KL,https://www.gsmarena.com/asus_zenfone_max_pro_(m2)_zb631kl-9410.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m2r1.jpg,Success,
37,Asus,Zenfone Max (M2) ZB633KL,https://www.gsmarena.com/asus_zenfone_max_(m2)_zb633kl-9437.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m2-zb633kl-r.jpg,Success,
38,Asus,Zenfone Max (M1) ZB556KL,https://www.gsmarena.com/asus_zenfone_max_(m1)_zb556kl-9373.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1-zb556kl.jpg,Success,
39,Asus,ZenFone Lite (L1) ZA551KL,https://www.gsmarena.com/asus_zenfone_lite_(l1)_za551kl-9372.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-lite-l1-za551kl.jpg,Success,
40,Asus,ROG Phone ZS600KL,https://www.gsmarena.com/asus_rog_phone_zs600kl-9224.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone.jpg,Success,
41,Asus,ZenFone Live (L1) ZA550KL,https://www.gsmarena.com/asus_zenfone_live_(l1)_za550kl-9194.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l1-za550kl-.jpg,Success,
42,Asus,Zenfone Max Pro (M1) ZB601KL/ZB602K,https://www.gsmarena.com/asus_zenfone_max_pro_(m1)_zb601kl_zb602k-9173.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m1-zb601kl-.jpg,Success,
43,Asus,Zenfone 5z ZS620KL,https://www.gsmarena.com/asus_zenfone_5z_zs620kl-9096.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-ze620kl-5z-zs620kl.jpg,Success,
44,Asus,Zenfone 5 ZE620KL,https://www.gsmarena.com/asus_zenfone_5_ze620kl-9061.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-ze620kl-5z-zs620kl.jpg,Success,
45,Asus,Zenfone 5 Lite ZC600KL,https://www.gsmarena.com/asus_zenfone_5_lite_zc600kl-9068.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-lite-r.jpg,Success,
