STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Sony,Xperia 10 VIII,https://www.gsmarena.com/sony_xperia_10_viii_5g-14894.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-viii.jpg,Success,
2,Sony,Xperia 1 VIII,https://www.gsmarena.com/sony_xperia_1_viii_5g-14660.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-viii.jpg,Success,
3,Sony,Xperia 10 VII,https://www.gsmarena.com/sony_xperia_10_vii_5g-14137.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-vii-.jpg,Success,
4,Sony,Xperia 1 VII,https://www.gsmarena.com/sony_xperia_1_vii_5g-13843.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-vii-violet.jpg,Success,
5,Sony,Xperia 1 VI,https://www.gsmarena.com/sony_xperia_1_vi-13003.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-vi-red.jpg,Success,
6,Sony,Xperia 10 VI,https://www.gsmarena.com/sony_xperia_10_vi-13002.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-vi.jpg,Success,
7,Sony,Xperia 5 V,https://www.gsmarena.com/sony_xperia_5_v-12534.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-v-new.jpg,Success,
8,Sony,Xperia 1 V,https://www.gsmarena.com/sony_xperia_1_v-12263.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-v.jpg,Success,
9,Sony,Xperia 10 V,https://www.gsmarena.com/sony_xperia_10_v-12264.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-v-10.jpg,Success,
10,Sony,Xperia 5 IV,https://www.gsmarena.com/sony_xperia_5_iv-11838.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-iv-ofic.jpg,Success,
11,Sony,Xperia 1 IV,https://www.gsmarena.com/sony_xperia_1_iv-11521.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iv-.jpg,Success,
12,Sony,Xperia 10 IV,https://www.gsmarena.com/sony_xperia_10_iv-11522.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iv.jpg,Success,
13,Sony,Xperia Pro-I,https://www.gsmarena.com/sony_xperia_pro_i-11174.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-pro-i.jpg,Success,
14,Sony,Xperia 10 III Lite,https://www.gsmarena.com/sony_xperia_10_iii_lite-11064.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iii-lite.jpg,Success,
15,Sony,Xperia 1 III,https://www.gsmarena.com/sony_xperia_1_iii-10712.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iii.jpg,Success,
16,Sony,Xperia 5 III,https://www.gsmarena.com/sony_xperia_5_iii-10851.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-iii.jpg,Success,
17,Sony,Xperia 10 III,https://www.gsmarena.com/sony_xperia_10_iii-10698.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iii.jpg,Success,
18,Sony,Xperia Pro,https://www.gsmarena.com/sony_xperia_pro-10707.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-pro-5g.jpg,Success,
19,Sony,Xperia 5 II,https://www.gsmarena.com/sony_xperia_5_ii-10396.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-ii-5g-r.jpg,Success,
20,Sony,Xperia 1 II,https://www.gsmarena.com/sony_xperia_1_ii-10096.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-II-o.jpg,Success,
21,Sony,Xperia 10 II,https://www.gsmarena.com/sony_xperia_10_ii-10095.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-II-o.jpg,Success,
22,Sony,Xperia L4,https://www.gsmarena.com/sony_xperia_l4-10091.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l4.jpg,Success,
23,Sony,Xperia 5,https://www.gsmarena.com/sony_xperia_5-9840.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-.jpg,Success,
24,Sony,Xperia 1,https://www.gsmarena.com/sony_xperia_1-9543.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1.jpg,Success,
25,Sony,Xperia 10 Plus,https://www.gsmarena.com/sony_xperia_10_plus-9591.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-plus-.jpg,Success,
26,Sony,Xperia 10,https://www.gsmarena.com/sony_xperia_10-9353.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-.jpg,Success,
27,Sony,Xperia L3,https://www.gsmarena.com/sony_xperia_l3-9592.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l3.jpg,Success,
28,Sony,Xperia XA2 Plus,https://www.gsmarena.com/sony_xperia_xa2_plus-9268.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-plus-.jpg,Success,
29,Sony,Xperia XZ3,https://www.gsmarena.com/sony_xperia_xz3-9232.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz3-.jpg,Success,
30,Sony,Xperia XZ2 Premium,https://www.gsmarena.com/sony_xperia_xz2_premium-9166.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-premium.jpg,Success,
31,Sony,Xperia XZ2,https://www.gsmarena.com/sony_xperia_xz2-9081.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-.jpg,Success,
32,Sony,Xperia XZ2 Compact,https://www.gsmarena.com/sony_xperia_xz2_compact-9082.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-compact-.jpg,Success,
33,Sony,Xperia XA2 Ultra,https://www.gsmarena.com/sony_xperia_xa2_ultra-8985.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-ultra-.jpg,Success,
34,Sony,Xperia XA2,https://www.gsmarena.com/sony_xperia_xa2-8986.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-.jpg,Success,
35,Sony,Xperia L2,https://www.gsmarena.com/sony_xperia_l2-8987.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l2-.jpg,Success,
36,Sony,Xperia R1 (Plus),https://www.gsmarena.com/sony_xperia_r1_(plus)-8922.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-r1.jpg,Success,
37,Sony,Xperia XZ1,https://www.gsmarena.com/sony_xperia_xz1-8804.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-ofic.jpg,Success,
38,Sony,Xperia XA1 Plus,https://www.gsmarena.com/sony_xperia_xa1_plus-8840.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-plus.jpg,Success,
39,Sony,Xperia XZ1 Compact,https://www.gsmarena.com/sony_xperia_xz1_compact-8610.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-compact.jpg,Success,
40,Sony,Xperia L1,https://www.gsmarena.com/sony_xperia_l1-8619.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l1-.jpg,Success,
