STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,T-Mobile,T Phone 3,https://www.gsmarena.com/t_mobile_t_phone_3_5g-14081.php,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-t-phone3.jpg,Success,
2,T-Mobile,T Tablet 2,https://www.gsmarena.com/t_mobile_t_tablet_2_5g-14082.php,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-t-tablet2.jpg,Success,
3,T-Mobile,REVVL Tab 2,https://www.gsmarena.com/t_mobile_revvl_tab_2-14010.php,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl-tab2.jpg,Success,
4,T-Mobile,REVVL 7 Pro,https://www.gsmarena.com/t_mobile_revvl_7_pro-13145.php,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl-7-pro-.jpg,Success,
5,T-Mobile,REVVL 7,https://www.gsmarena.com/t_mobile_revvl_7-13146.php,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl-7.jpg,Success,
6,T-Mobile,REVVL 6x Pro,https://www.gsmarena.com/t_mobile_revvl_6x_pro-12515.php,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-6x-pro.jpg,Success,
7,T-Mobile,REVVL 6x,https://www.gsmarena.com/t_mobile_revvl_6x-12514.php,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-6x.jpg,Success,
8,T-Mobile,REVVL Tab,https://www.gsmarena.com/t_mobile_revvl_tab-12516.php,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl-tab.jpg,Success,
9,T-Mobile,REVVL 6 Pro,https://www.gsmarena.com/t_mobile_revvl_6_pro-11938.php,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl6-pro.jpg,Success,
10,T-Mobile,REVVL 6,https://www.gsmarena.com/t_mobile_revvl_6-11937.php,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl6.jpg,Success,
11,T-Mobile,REVVL V+ 5G,https://www.gsmarena.com/t_mobile_revvl_v+_5g-10997.php,https://fdn2.gsmarena.com/vv/bigpic/t‑mobile-revvl-v-plus-5g.jpg,Success,
12,T-Mobile,REVVL 5G,https://www.gsmarena.com/t_mobile_revvl_5g-10486.php,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4-5g.jpg,Success,
13,T-Mobile,REVVL 4+,https://www.gsmarena.com/t_mobile_revvl_4+-10485.php,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4-plus.jpg,Success,
14,T-Mobile,REVVL 4,https://www.gsmarena.com/t_mobile_revvl_4-10484.php,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4.jpg,Success,
