STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,TCL,P80 Ultra,https://www.gsmarena.com/tcl_p80_ultra_5g-14927.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-p80-ultra.jpg,Success,
2,TCL,P80 Pro,https://www.gsmarena.com/tcl_p80_pro_5g-14867.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-p80-pro.jpg,Success,
3,TCL,P80,https://www.gsmarena.com/tcl_p80_5g-14868.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-p80.jpg,Success,
4,TCL,Tab A1 Plus NxtPaper,https://www.gsmarena.com/tcl_tab_a1_plus_nxtpaper-14862.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-a1-plus-nxtpaper.jpg,Success,
5,TCL,Tab 8 Gen 2,https://www.gsmarena.com/tcl_tab_8_gen_2-14552.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-8-gen2.jpg,Success,
6,TCL,Tab 11 FE,https://www.gsmarena.com/tcl_tab_11_fe-14551.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-11-fe.jpg,Success,
7,TCL,Tab 11 Gen 2,https://www.gsmarena.com/tcl_tab_11_gen_2-14550.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-11-gen-2.jpg,Success,
8,TCL,K70 SE,https://www.gsmarena.com/tcl_k70_se-14526.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-k70-se.jpg,Success,
9,TCL,Tab A1 Plus,https://www.gsmarena.com/tcl_tab_a1_plus-14527.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-a1-plus.jpg,Success,
10,TCL,K70 Power,https://www.gsmarena.com/tcl_k70_power-14464.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-k70-power.jpg,Success,
11,TCL,K70,https://www.gsmarena.com/tcl_k70-14465.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-k70-.jpg,Success,
12,TCL,NxtPaper 70 Pro,https://www.gsmarena.com/tcl_nxtpaper_70_pro_5g-14398.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-70-pro.jpg,Success,
13,TCL,Tab 10L Gen 4,https://www.gsmarena.com/tcl_tab_10l_gen_4-14466.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10l-gen4.jpg,Success,
14,TCL,NxtPaper 11 Gen 2,https://www.gsmarena.com/tcl_nxtpaper_11_gen_2-14295.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-11-gen2.jpg,Success,
15,TCL,NxtPaper 60 Ultra,https://www.gsmarena.com/tcl_nxtpaper_60_ultra_5g-14085.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-60-ultra-nxtpaper.jpg,Success,
16,TCL,60 SE,https://www.gsmarena.com/tcl_60_se-14020.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-60-se.jpg,Success,
17,TCL,605,https://www.gsmarena.com/tcl_605-13970.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-605.jpg,Success,
18,TCL,NxtPaper 11 Plus,https://www.gsmarena.com/tcl_nxtpaper_11_plus-13874.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-11-plus.jpg,Success,
19,TCL,60 XE NxtPaper,https://www.gsmarena.com/tcl_60_xe_nxtpaper-13842.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-60-xe-nxtpaper.jpg,Success,
20,TCL,60,https://www.gsmarena.com/tcl_60_5g-13829.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-60-5g.jpg,Success,
21,TCL,60 SE NxtPaper,https://www.gsmarena.com/tcl_60_se_nxtpaper_5g-13830.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-60-se-nxtpaper-5g.jpg,Success,
22,TCL,60 NxtPaper 4G,https://www.gsmarena.com/tcl_60_nxtpaper_4g-13831.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-60-nxtpaper.jpg,Success,
23,TCL,60R,https://www.gsmarena.com/tcl_60r_5g-13772.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-60r-5g.jpg,Success,
24,TCL,503,https://www.gsmarena.com/tcl_503-13439.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-503.jpg,Success,
25,TCL,50 Pro NxtPaper,https://www.gsmarena.com/tcl_50_pro_nxtpaper-13300.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-pro-nxtpaper.jpg,Success,
26,TCL,50 NxtPaper,https://www.gsmarena.com/tcl_50_nxtpaper-13301.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-nxtpaper.jpg,Success,
27,TCL,50 XE NxtPaper,https://www.gsmarena.com/tcl_50_xe_nxtpaper-13302.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xe-nxtpaper.jpg,Success,
28,TCL,NxtPaper 14,https://www.gsmarena.com/tcl_nxtpaper_14-13296.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-14.jpg,Success,
29,TCL,Tab 10 NxtPaper,https://www.gsmarena.com/tcl_tab_10_nxtpaper-13295.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10-nxtpaper-5g.jpg,Success,
30,TCL,Tab 10L Gen 3,https://www.gsmarena.com/tcl_tab_10l_gen_3-13299.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10l-gen3.jpg,Success,
31,TCL,50 XL NxtPaper,https://www.gsmarena.com/tcl_50_xl_nxtpaper-13173.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xl-nxtpaper-5g.jpg,Success,
32,TCL,50 XL,https://www.gsmarena.com/tcl_50_xl-13174.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xl-5g.jpg,Success,
33,TCL,50 XE,https://www.gsmarena.com/tcl_50_xe-13175.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xe-5g.jpg,Success,
34,TCL,50 LE,https://www.gsmarena.com/tcl_50_le-13176.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-le.jpg,Success,
35,TCL,Flip,https://www.gsmarena.com/tcl_flip-13431.php,https://fdn2.gsmarena.com/vv/bigpic/tcl-flip.jpg,Success,
