STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Telit,t800,https://www.gsmarena.com/telit_t800-1549.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t800.gif,Success,
2,Telit,t250,https://www.gsmarena.com/telit_t250-1548.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t250.gif,Success,
3,Telit,t650,https://www.gsmarena.com/telit_t650-1547.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t650.gif,Success,
4,Telit,t200,https://www.gsmarena.com/telit_t200-1546.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t200.gif,Success,
5,Telit,GU1100,https://www.gsmarena.com/telit_gu1100-1540.php,https://fdn2.gsmarena.com/vv/bigpic/telit-gu1100.gif,Success,
6,Telit,SP600,https://www.gsmarena.com/telit_sp600-1539.php,https://fdn2.gsmarena.com/vv/bigpic/telit-sp600.gif,Success,
7,Telit,t550,https://www.gsmarena.com/telit_t550-1538.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t550.gif,Success,
8,Telit,t420,https://www.gsmarena.com/telit_t420-1537.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t420.gif,Success,
9,Telit,t180,https://www.gsmarena.com/telit_t180-1661.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t180.gif,Success,
10,Telit,t410,https://www.gsmarena.com/telit_t410-1536.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t410.gif,Success,
11,Telit,t130,https://www.gsmarena.com/telit_t130-1581.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t130.gif,Success,
12,Telit,t110,https://www.gsmarena.com/telit_t110-1535.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t110.gif,Success,
13,Telit,t210,https://www.gsmarena.com/telit_t210-1534.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t210.gif,Success,
14,Telit,T510,https://www.gsmarena.com/telit_t510-1244.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t510.gif,Success,
15,Telit,C1000,https://www.gsmarena.com/telit_c1000-1243.php,https://fdn2.gsmarena.com/vv/bigpic/telit-c1000.gif,Success,
16,Telit,T91,https://www.gsmarena.com/telit_t91-863.php,https://fdn2.gsmarena.com/vv/bigpic/tet91.gif,Success,
17,Telit,T90,https://www.gsmarena.com/telit_t90-862.php,https://fdn2.gsmarena.com/vv/bigpic/tet90.gif,Success,
18,Telit,NEO,https://www.gsmarena.com/telit_neo-793.php,https://fdn2.gsmarena.com/vv/bigpic/teneo.gif,Success,
19,Telit,X60i,https://www.gsmarena.com/telit_x60i-792.php,https://fdn2.gsmarena.com/vv/bigpic/tex60i.gif,Success,
20,Telit,G90,https://www.gsmarena.com/telit_g90-578.php,https://fdn2.gsmarena.com/vv/bigpic/teg90.gif,Success,
21,Telit,G83,https://www.gsmarena.com/telit_g83-577.php,https://fdn2.gsmarena.com/vv/bigpic/teg83.gif,Success,
22,Telit,G80,https://www.gsmarena.com/telit_g80-362.php,https://fdn2.gsmarena.com/vv/bigpic/teg80.gif,Success,
23,Telit,G82,https://www.gsmarena.com/telit_g82-361.php,https://fdn2.gsmarena.com/vv/bigpic/teg82.gif,Success,
24,Telit,G40,https://www.gsmarena.com/telit_g40-442.php,https://fdn2.gsmarena.com/vv/bigpic/teg40.gif,Success,
25,Telit,GM 882,https://www.gsmarena.com/telit_gm_882-360.php,https://fdn2.gsmarena.com/vv/bigpic/tegm882.gif,Success,
26,Telit,GM 830,https://www.gsmarena.com/telit_gm_830-189.php,https://fdn2.gsmarena.com/vv/bigpic/tegm830b.gif,Success,
27,Telit,GM 810,https://www.gsmarena.com/telit_gm_810-188.php,https://fdn2.gsmarena.com/vv/bigpic/tegm810b.gif,Success,
28,Telit,Estremo,https://www.gsmarena.com/telit_estremo-187.php,https://fdn2.gsmarena.com/vv/bigpic/teestreb.gif,Success,
29,Telit,GM 710,https://www.gsmarena.com/telit_gm_710-186.php,https://fdn2.gsmarena.com/vv/bigpic/tegm710b.gif,Success,
30,Telit,GM 410,https://www.gsmarena.com/telit_gm_410-185.php,https://fdn2.gsmarena.com/vv/bigpic/tegm410b.gif,Success,
