STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Ulefone,Armor 24 Pro,https://www.gsmarena.com/ulefone_armor_24_pro-14891.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-24-pro.jpg,Success,
2,Ulefone,Armor 22 Pro,https://www.gsmarena.com/ulefone_armor_22_pro-14890.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-22-pro.jpg,Success,
3,Ulefone,Note 23,https://www.gsmarena.com/ulefone_note_23-14825.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-23.jpg,Success,
4,Ulefone,Armor Mini 5,https://www.gsmarena.com/ulefone_armor_mini_5-14694.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-aromor-mini5.jpg,Success,
5,Ulefone,Tab A12 Pro,https://www.gsmarena.com/ulefone_tab_a12_pro-14695.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-tab-a12-pro.jpg,Success,
6,Ulefone,Note 22,https://www.gsmarena.com/ulefone_note_22-14685.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-22.jpg,Success,
7,Ulefone,RugKing 5 Pro,https://www.gsmarena.com/ulefone_rugking_5_pro-14544.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rugking-5-pro.jpg,Success,
8,Ulefone,Armor 27T Pro+,https://www.gsmarena.com/ulefone_armor_27t_pro+_5g-14475.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor27t-plus.jpg,Success,
9,Ulefone,Armor 27T+,https://www.gsmarena.com/ulefone_armor_27t+-14476.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor27t-pro-plus.jpg,Success,
10,Ulefone,RugKing Pad Pro,https://www.gsmarena.com/ulefone_rugking_pad_pro-14423.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rugking-pad-pro.jpg,Success,
11,Ulefone,RugKing Pad 2 Pro,https://www.gsmarena.com/ulefone_rugking_pad_2_pro-14424.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rugking-pad2-pro.jpg,Success,
12,Ulefone,Armor Watch Pro,https://www.gsmarena.com/ulefone_armor_watch_pro-14422.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-watch-pro.jpg,Success,
13,Ulefone,Armor 34 Pro+,https://www.gsmarena.com/ulefone_armor_34_pro+_5g-14368.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor34-pro.jpg,Success,
14,Ulefone,Armor 34+,https://www.gsmarena.com/ulefone_armor_34+_5g-14367.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-34.jpg,Success,
15,Ulefone,RugKing 4 Pro,https://www.gsmarena.com/ulefone_rugking_4_pro-14340.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rugking-4pro.jpg,Success,
16,Ulefone,RugKing 3 Pro,https://www.gsmarena.com/ulefone_rugking_3_pro-14339.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rugking-3pro.jpg,Success,
