STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Umidigi,G100 Pro,https://www.gsmarena.com/umidigi_g100_pro-14542.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g100-pro.jpg,Success,
2,Umidigi,G100x,https://www.gsmarena.com/umidigi_g100x-14541.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g100x.jpg,Success,
3,Umidigi,A75x,https://www.gsmarena.com/umidigi_a75x-14543.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-a75x.jpg,Success,
4,Umidigi,Note 100 4G,https://www.gsmarena.com/umidigi_note_100-14271.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-note-100-4g.jpg,Success,
5,Umidigi,G9x,https://www.gsmarena.com/umidigi_g9x-13963.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9x.jpg,Success,
6,Umidigi,Note 100,https://www.gsmarena.com/umidigi_note_100_5g-13725.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-note-100.jpg,Success,
7,Umidigi,Note 100A,https://www.gsmarena.com/umidigi_note_100a-13726.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-note-100a.jpg,Success,
8,Umidigi,G100,https://www.gsmarena.com/umidigi_g100-13728.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g100.jpg,Success,
9,Umidigi,G100A,https://www.gsmarena.com/umidigi_g100a-13727.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g100a.jpg,Success,
10,Umidigi,G9A,https://www.gsmarena.com/umidigi_g9a-13323.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9a.jpg,Success,
11,Umidigi,G9C,https://www.gsmarena.com/umidigi_g9c-13324.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9c.jpg,Success,
12,Umidigi,G9T,https://www.gsmarena.com/umidigi_g9t-13325.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9t.jpg,Success,
13,Umidigi,G7 Tab Pro,https://www.gsmarena.com/umidigi_g7_tab_pro-13330.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g7-tab-pro.jpg,Success,
14,Umidigi,G9 Tab,https://www.gsmarena.com/umidigi_g9_tab-13331.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9-tab.jpg,Success,
15,Umidigi,G9 5G,https://www.gsmarena.com/umidigi_g9_5g-13284.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9.jpg,Success,
16,Umidigi,G6 5G,https://www.gsmarena.com/umidigi_g6_5g-13012.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g6.jpg,Success,
17,Umidigi,A15T,https://www.gsmarena.com/umidigi_a15t-13013.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-a15t.jpg,Success,
18,Umidigi,Bison X20,https://www.gsmarena.com/umidigi_bison_x20-13014.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-bison-x20.jpg,Success,
19,Umidigi,G1 Tab Mini,https://www.gsmarena.com/umidigi_g1_tab_mini-13034.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g1-tab-mini.jpg,Success,
20,Umidigi,G3 Tab Ultra,https://www.gsmarena.com/umidigi_g3_tab_ultra-13033.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g3-tab-ultra.jpg,Success,
21,Umidigi,G5A,https://www.gsmarena.com/umidigi_g5a-13020.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g5a.jpg,Success,
22,Umidigi,G5,https://www.gsmarena.com/umidigi_g5-13021.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g5.jpg,Success,
23,Umidigi,A15,https://www.gsmarena.com/umidigi_a15-13022.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-a15.jpg,Success,
24,Umidigi,A15C,https://www.gsmarena.com/umidigi_a15c-13023.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-a15c.jpg,Success,
25,Umidigi,G1 Plus,https://www.gsmarena.com/umidigi_g1_plus-13024.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g1-plus.jpg,Success,
26,Umidigi,C1 Plus,https://www.gsmarena.com/umidigi_c1_plus-13025.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-c1-plus.jpg,Success,
27,Umidigi,G5 Mecha,https://www.gsmarena.com/umidigi_g5_mecha-13026.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g5-mecha.jpg,Success,
28,Umidigi,Active T1,https://www.gsmarena.com/umidigi_active_t1-13036.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-active-t1.jpg,Success,
29,Umidigi,A15 Tab,https://www.gsmarena.com/umidigi_a15_tab-13037.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-a15-tab.jpg,Success,
30,Umidigi,G5 Tab,https://www.gsmarena.com/umidigi_g5_tab-13038.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g5-tab-.jpg,Success,
31,Umidigi,G2 Tab,https://www.gsmarena.com/umidigi_g2_tab-13039.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g2-tab.jpg,Success,
32,Umidigi,G1 Tab,https://www.gsmarena.com/umidigi_g1_tab-13040.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g1-tab.jpg,Success,
33,Umidigi,G3,https://www.gsmarena.com/umidigi_g3-13027.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g3.jpg,Success,
34,Umidigi,G3 Plus,https://www.gsmarena.com/umidigi_g3_plus-13028.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g3-plus.jpg,Success,
35,Umidigi,G3 Max,https://www.gsmarena.com/umidigi_g3_max-13029.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g3-max.jpg,Success,
36,Umidigi,F3 Pro,https://www.gsmarena.com/umidigi_f3_pro-13030.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-f3-pro.jpg,Success,
37,Umidigi,G2,https://www.gsmarena.com/umidigi_g2-13031.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g2.jpg,Success,
38,Umidigi,C2,https://www.gsmarena.com/umidigi_c2-13032.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-c2.jpg,Success,
39,Umidigi,A13 Pro Max,https://www.gsmarena.com/umidigi_a13_pro_max-13041.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-a13-pro-max.jpg,Success,
40,Umidigi,G1 Max,https://www.gsmarena.com/umidigi_g1_max-13042.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g1-max.jpg,Success,
41,Umidigi,C1 Max,https://www.gsmarena.com/umidigi_c1_max-13043.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-c1-max.jpg,Success,
