STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Vertu,Signature Touch (2015),https://www.gsmarena.com/vertu_signature_touch_(2015)-7586.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-2015.jpg,Success,
2,Vertu,Aster,https://www.gsmarena.com/vertu_aster-6726.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-aster1.jpg,Success,
3,Vertu,Signature Touch,https://www.gsmarena.com/vertu_signature_touch-6374.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-clous-de-paris.jpg,Success,
4,Vertu,Constellation 2013,https://www.gsmarena.com/vertu_constellation_2013-5868.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-2013.jpg,Success,
5,Vertu,Ti,https://www.gsmarena.com/vertu_ti-5297.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-ti.jpg,Success,
6,Vertu,Constellation,https://www.gsmarena.com/vertu_constellation-4263.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-constelation.jpg,Success,
7,Vertu,Ascent Ferrari GT,https://www.gsmarena.com/vertu_ascent_ferrari_gt-3721.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ferrari-gt.jpg,Success,
8,Vertu,Constellation Quest,https://www.gsmarena.com/vertu_constellation_quest-3590.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-quest.jpg,Success,
9,Vertu,Ascent 2010,https://www.gsmarena.com/vertu_ascent_2010-3264.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-2010.jpg,Success,
10,Vertu,Constellation Ayxta,https://www.gsmarena.com/vertu_constellation_ayxta-2990.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-ayxta.jpg,Success,
11,Vertu,Ascent Ti Damascus Steel,https://www.gsmarena.com/vertu_ascent_ti_damascus_steel-2822.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ti-damascus-steel.jpg,Success,
12,Vertu,Signature S,https://www.gsmarena.com/vertu_signature_s-2753.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-s.jpg,Success,
13,Vertu,Ascent Ti,https://www.gsmarena.com/vertu_ascent_ti-2752.php,https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ti.jpg,Success,
14,Vertu,Constellation 2006,https://www.gsmarena.com/vertu_constellation_2006-1766.php,https://fdn2.gsmarena.com/vv/bigpic/vertu_constellation.gif,Success,
15,Vertu,Diamond,https://www.gsmarena.com/vertu_diamond-1541.php,https://fdn2.gsmarena.com/vv/bigpic/vertu_diamond.gif,Success,
16,Vertu,Ascent,https://www.gsmarena.com/vertu_ascent-1219.php,https://fdn2.gsmarena.com/vv/bigpic/vertu_ascent.gif,Success,
17,Vertu,Signature,https://www.gsmarena.com/vertu_signature-1218.php,https://fdn2.gsmarena.com/vv/bigpic/vertu_signature.gif,Success,
