STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,vivo,V80 Lite,https://www.gsmarena.com/vivo_v80_lite_5g-14892.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-v80-lite.jpg,Success,
2,vivo,T5,https://www.gsmarena.com/vivo_t5_5g-14899.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z11-in.jpg,Success,
3,vivo,V80 Lite (IN/PK),https://www.gsmarena.com/vivo_v80_lite_5g_(india)-14863.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-s2.jpg,Success,
4,vivo,V70 Lite 4G,https://www.gsmarena.com/vivo_v70_lite-14898.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y500-4g.jpg,Success,
5,vivo,iQOO Z11 (India),https://www.gsmarena.com/vivo_iqoo_z11_5g_(india)-14886.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z11-in.jpg,Success,
6,vivo,Y31t,https://www.gsmarena.com/vivo_y31t_5g-14884.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y31t.jpg,Success,
7,vivo,iQOO Neo11 Ultra,https://www.gsmarena.com/vivo_iqoo_neo11_ultra_5g-14878.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-neo11-ultra.jpg,Success,
8,vivo,iQOO Z11S,https://www.gsmarena.com/vivo_iqoo_z11s_5g_(china)-14880.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z11s.jpg,Success,
9,vivo,S2,https://www.gsmarena.com/vivo_s2_5g-14839.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-s2.jpg,Success,
10,vivo,T5e,https://www.gsmarena.com/vivo_t5e-14829.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-t5e.jpg,Success,
11,vivo,X300 E,https://www.gsmarena.com/vivo_x300_e_5g-14826.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-x300e.jpg,Success,
12,vivo,iQOO Z11 Lite 44W,https://www.gsmarena.com/vivo_iqoo_z11_lite_5g-14809.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z11-lite.jpg,Success,
13,vivo,T5 Lite,https://www.gsmarena.com/vivo_t5_lite_5g-14734.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y60.jpg,Success,
14,vivo,Y500,https://www.gsmarena.com/vivo_y500-14780.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y500-4g.jpg,Success,
15,vivo,iQOO Z11i,https://www.gsmarena.com/vivo_iqoo_z11i_5g-14771.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z11i.jpg,Success,
16,vivo,X Fold6,https://www.gsmarena.com/vivo_x_fold6_5g-14748.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-x-fold6.jpg,Success,
17,vivo,IQOO Pad5c,https://www.gsmarena.com/vivo_iqoo_pad5c-14763.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-pad5c.jpg,Success,
18,vivo,V70 Lite,https://www.gsmarena.com/vivo_v70_lite_5g-14710.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-v70-lite.jpg,Success,
19,vivo,S60,https://www.gsmarena.com/vivo_s60_5g-14692.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-s60-.jpg,Success,
