STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Vodafone,Smart V10,https://www.gsmarena.com/vodafone_smart_v10-9726.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-v10.jpg,Success,
2,Vodafone,Smart N10,https://www.gsmarena.com/vodafone_smart_n10-9725.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n10.jpg,Success,
3,Vodafone,Smart E9,https://www.gsmarena.com/vodafone_smart_e9-9484.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-e9.jpg,Success,
4,Vodafone,Smart X9,https://www.gsmarena.com/vodafone_smart_x9-9483.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-x9.jpg,Success,
5,Vodafone,Smart N9,https://www.gsmarena.com/vodafone_smart_n9-9235.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n9-.jpg,Success,
6,Vodafone,Smart N9 lite,https://www.gsmarena.com/vodafone_smart_n9_lite-9236.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n9-lite-.jpg,Success,
7,Vodafone,Smart Tab N8,https://www.gsmarena.com/vodafone_smart_tab_n8-8751.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-tab-n8.jpg,Success,
8,Vodafone,Smart E8,https://www.gsmarena.com/vodafone_smart_e8-8750.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-e8.jpg,Success,
9,Vodafone,Smart V8,https://www.gsmarena.com/vodafone_smart_v8-8744.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-v8.jpg,Success,
10,Vodafone,Smart N8,https://www.gsmarena.com/vodafone_smart_n8-8723.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n8.jpg,Success,
11,Vodafone,Tab Prime 7,https://www.gsmarena.com/vodafone_tab_prime_7-8382.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-tab-prime-7.jpg,Success,
12,Vodafone,Smart Turbo 7,https://www.gsmarena.com/vodafone_smart_turbo_7-8381.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-turbo-7.jpg,Success,
13,Vodafone,Smart ultra 7,https://www.gsmarena.com/vodafone_smart_ultra_7-8163.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-ultra-7.jpg,Success,
14,Vodafone,Smart Platinum 7,https://www.gsmarena.com/vodafone_smart_platinum_7-8154.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-platinum-7.jpg,Success,
