STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,XOLO,Era 2X,https://www.gsmarena.com/xolo_era_2x-8520.php,https://fdn2.gsmarena.com/vv/bigpic/lava-xolo-2x.jpg,Success,
2,XOLO,Era 2,https://www.gsmarena.com/xolo_era_2-8395.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-2.jpg,Success,
3,XOLO,Era 1X,https://www.gsmarena.com/xolo_era_1x-8339.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-1x.jpg,Success,
4,XOLO,Era X,https://www.gsmarena.com/xolo_era_x-7959.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-x.jpg,Success,
5,XOLO,Era 4K,https://www.gsmarena.com/xolo_era_4k-7958.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4k.jpg,Success,
6,XOLO,Era 4G,https://www.gsmarena.com/xolo_era_4g-7929.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4g-.jpg,Success,
7,XOLO,One HD,https://www.gsmarena.com/xolo_one_hd-7872.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-one-hd.jpg,Success,
8,XOLO,Black 3GB,https://www.gsmarena.com/xolo_black_3gb-7871.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-black-3gb.jpg,Success,
9,XOLO,Black 1X,https://www.gsmarena.com/xolo_black_1x-7729.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-black-1x.jpg,Success,
10,XOLO,Black,https://www.gsmarena.com/xolo_black-7399.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-black-2015.jpg,Success,
11,XOLO,Era,https://www.gsmarena.com/xolo_era-7400.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era.jpg,Success,
12,XOLO,Cube 5.0,https://www.gsmarena.com/xolo_cube_5_0-7311.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-cube-5.jpg,Success,
13,XOLO,Prime,https://www.gsmarena.com/xolo_prime-7244.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-prime.jpg,Success,
14,XOLO,LT2000,https://www.gsmarena.com/xolo_lt2000-7131.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-2000.jpg,Success,
15,XOLO,A1010,https://www.gsmarena.com/xolo_a1010-7107.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-1010.jpg,Success,
16,XOLO,Win Q1000,https://www.gsmarena.com/xolo_win_q1000-7065.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-q1000.jpg,Success,
17,XOLO,8X-1020,https://www.gsmarena.com/xolo_8x_1020-7064.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-8x-1020.jpg,Success,
18,XOLO,Q700 Club,https://www.gsmarena.com/xolo_q700_club-7009.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-700.jpg,Success,
19,XOLO,Q520s,https://www.gsmarena.com/xolo_q520s-7010.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-520s.jpg,Success,
20,XOLO,Q900s Plus,https://www.gsmarena.com/xolo_q900s_plus-6887.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-q900s-plus.jpg,Success,
21,XOLO,Omega 5.5,https://www.gsmarena.com/xolo_omega_5_5-6851.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-omega-55.jpg,Success,
22,XOLO,Omega 5.0,https://www.gsmarena.com/xolo_omega_5_0-6850.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-omega-5.jpg,Success,
23,XOLO,Opus 3,https://www.gsmarena.com/xolo_opus_3-6844.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-opus-3.jpg,Success,
24,XOLO,Q710s,https://www.gsmarena.com/xolo_q710s-6843.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-q710s.jpg,Success,
25,XOLO,Q1020,https://www.gsmarena.com/xolo_q1020-6793.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-q1020.jpg,Success,
26,XOLO,One,https://www.gsmarena.com/xolo_one-6743.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-one.jpg,Success,
27,XOLO,Q2100,https://www.gsmarena.com/xolo_q2100-6735.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-q2100.jpg,Success,
28,XOLO,Opus HD,https://www.gsmarena.com/xolo_opus_hd-6734.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-opus-hd.jpg,Success,
29,XOLO,Play 8X-1100,https://www.gsmarena.com/xolo_play_8x_1100-6652.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-8x-1100.jpg,Success,
