STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Yezz,Art 3S,https://www.gsmarena.com/yezz_art_3s-12101.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3s.jpg,Success,
2,Yezz,Max 3 Ultra,https://www.gsmarena.com/yezz_max_3_ultra-12097.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3-ultra.jpg,Success,
3,Yezz,Max 3 Plus,https://www.gsmarena.com/yezz_max_3_plus-12098.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3-plus.jpg,Success,
4,Yezz,Max 3,https://www.gsmarena.com/yezz_max_3-12099.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3.jpg,Success,
5,Yezz,Liv 3S LTE,https://www.gsmarena.com/yezz_liv_3s_lte-12100.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-3s-lte.jpg,Success,
6,Yezz,Art 3 Pro,https://www.gsmarena.com/yezz_art_3_pro-12087.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3-pro.jpg,Success,
7,Yezz,C32,https://www.gsmarena.com/yezz_c32-12012.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-c32.jpg,Success,
8,Yezz,Art 3 Lite,https://www.gsmarena.com/yezz_art_3_lite-11921.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3-lite.jpg,Success,
9,Yezz,EPIC 3,https://www.gsmarena.com/yezz_epic_3-11763.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-epic3.jpg,Success,
10,Yezz,Max 2 Ultra,https://www.gsmarena.com/yezz_max_2_ultra-11682.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-2-ultra.jpg,Success,
11,Yezz,Max 2,https://www.gsmarena.com/yezz_max_2-11349.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max2.jpg,Success,
12,Yezz,Liv 3 LTE,https://www.gsmarena.com/yezz_liv_3_lte-11246.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv3.jpg,Success,
13,Yezz,GO 3,https://www.gsmarena.com/yezz_go_3-11068.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-go3.jpg,Success,
14,Yezz,Art 2 Pro,https://www.gsmarena.com/yezz_art_2_pro-11016.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-2-pro.jpg,Success,
15,Yezz,Max 2 Plus,https://www.gsmarena.com/yezz_max_2_plus-11017.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max2-plus.jpg,Success,
16,Yezz,Liv 1s,https://www.gsmarena.com/yezz_liv_1s-10739.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-1s.jpg,Success,
17,Yezz,Art 1 Pro,https://www.gsmarena.com/yezz_art_1_pro-10598.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-1-pro.jpg,Success,
18,Yezz,Liv 2 LTE,https://www.gsmarena.com/yezz_liv_2_lte-10390.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-2-lte.jpg,Success,
19,Yezz,Art 1,https://www.gsmarena.com/yezz_art_1-10381.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-art1.jpg,Success,
20,Yezz,GO 1,https://www.gsmarena.com/yezz_go_1-10346.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-go1.jpg,Success,
21,Yezz,Max 1 Plus,https://www.gsmarena.com/yezz_max_1_plus-9903.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-1-plus.jpg,Success,
22,Yezz,LIV1,https://www.gsmarena.com/yezz_liv1-9898.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv1.jpg,Success,
23,Yezz,Max 1,https://www.gsmarena.com/yezz_max_1-9519.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max1.jpg,Success,
24,Yezz,Andy 4E7,https://www.gsmarena.com/yezz_andy_4e7-9514.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-4e7.jpg,Success,
25,Yezz,Andy 5E5,https://www.gsmarena.com/yezz_andy_5e5-9486.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-5e5.jpg,Success,
26,Yezz,Epic T,https://www.gsmarena.com/yezz_epic_t-9485.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-epic-t.jpg,Success,
27,Yezz,Andy 4E4,https://www.gsmarena.com/yezz_andy_4e4-8472.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-4e4.jpg,Success,
28,Yezz,4.5EL LTE,https://www.gsmarena.com/yezz_4_5el_lte-8471.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-4.5el-lte.jpg,Success,
29,Yezz,5M,https://www.gsmarena.com/yezz_5m-8470.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-5m.jpg,Success,
30,Yezz,C21,https://www.gsmarena.com/yezz_c21-8469.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-c21.jpg,Success,
31,Yezz,Andy 5EI3 (2016),https://www.gsmarena.com/yezz_andy_5ei3_(2016)-8325.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5ei3.jpg,Success,
32,Yezz,Andy 5E3,https://www.gsmarena.com/yezz_andy_5e3-8243.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5E3.jpg,Success,
33,Yezz,Andy 4.7T,https://www.gsmarena.com/yezz_andy_4_7t-8098.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-47t.jpg,Success,
34,Yezz,Andy 5M LTE,https://www.gsmarena.com/yezz_andy_5m_lte-8075.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5m-lte.jpg,Success,
35,Yezz,CC40,https://www.gsmarena.com/yezz_cc40-8025.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-cc40.jpg,Success,
36,Yezz,Andy 5.5M LTE VR,https://www.gsmarena.com/yezz_andy_5_5m_lte_vr-7975.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-55m-lte-vr-.jpg,Success,
37,Yezz,Monte Carlo 55 LTE VR,https://www.gsmarena.com/yezz_monte_carlo_55_lte_vr-7933.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-monte-carlo-55vr.jpg,Success,
38,Yezz,Monte Carlo 55 LTE,https://www.gsmarena.com/yezz_monte_carlo_55_lte-7932.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-monte-carlo-55.jpg,Success,
39,Yezz,Classic C23A,https://www.gsmarena.com/yezz_classic_c23a-7915.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-c23a.jpg,Success,
40,Yezz,Andy 4E3I,https://www.gsmarena.com/yezz_andy_4e3i-7914.php,https://fdn2.gsmarena.com/vv/bigpic/andy-4E3I.jpg,Success,
41,Yezz,Andy 5E2I,https://www.gsmarena.com/yezz_andy_5e2i-7819.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5e2i.jpg,Success,
42,Yezz,Andy 4EI2,https://www.gsmarena.com/yezz_andy_4ei2-7818.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-4ei2.jpg,Success,
43,Yezz,Andy 3.5EI2,https://www.gsmarena.com/yezz_andy_3_5ei2-7817.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-35ei2.jpg,Success,
44,Yezz,Andy 6EL LTE,https://www.gsmarena.com/yezz_andy_6el_lte-7816.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-6el-lte.jpg,Success,
45,Yezz,Andy 5E LTE,https://www.gsmarena.com/yezz_andy_5e_lte-7727.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5e-lte.jpg,Success,
46,Yezz,Andy C5E LTE,https://www.gsmarena.com/yezz_andy_c5e_lte-7728.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-c5e-lte.jpg,Success,
47,Yezz,Andy 5EI3,https://www.gsmarena.com/yezz_andy_5ei3-7672.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5ei3.jpg,Success,
48,Yezz,Andy 4EL2 LTE,https://www.gsmarena.com/yezz_andy_4el2_lte-7568.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-4el2-lte.jpg,Success,
49,Yezz,Classic Z51,https://www.gsmarena.com/yezz_classic_z51-7567.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-z51.jpg,Success,
50,Yezz,Andy 5EL LTE,https://www.gsmarena.com/yezz_andy_5el_lte-7426.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5el-lte.jpg,Success,
51,Yezz,Andy 4.5EL LTE,https://www.gsmarena.com/yezz_andy_4_5el_lte-7425.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-45el-lte.jpg,Success,
52,Yezz,Andy 3.5EI3,https://www.gsmarena.com/yezz_andy_3_5ei3-7424.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-35-ei3.jpg,Success,
53,Yezz,Classic C60,https://www.gsmarena.com/yezz_classic_c60-7264.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-c60.jpg,Success,
54,Yezz,Andy 4E LTE,https://www.gsmarena.com/yezz_andy_4e_lte-7130.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-4e-lte.jpg,Success,
55,Yezz,Andy 4E2I,https://www.gsmarena.com/yezz_andy_4e2i-7129.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-4E2I.jpg,Success,
56,Yezz,Andy 3.5E2I,https://www.gsmarena.com/yezz_andy_3_5e2i-7128.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-35E2I.jpg,Success,
57,Yezz,Z50,https://www.gsmarena.com/yezz_z50-6966.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-z50.jpg,Success,
58,Yezz,ZC20,https://www.gsmarena.com/yezz_zc20-6965.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-zc20.jpg,Success,
59,Yezz,Billy 5S LTE,https://www.gsmarena.com/yezz_billy_5s_lte-6923.php,https://fdn2.gsmarena.com/vv/bigpic/yess-billy-5s-lte.jpg,Success,
60,Yezz,Andy C5ML,https://www.gsmarena.com/yezz_andy_c5ml-6872.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-c5ml.jpg,Success,
61,Yezz,Andy C5QL,https://www.gsmarena.com/yezz_andy_c5ql-6871.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-c5ql.jpg,Success,
62,Yezz,Classic C50,https://www.gsmarena.com/yezz_classic_c50-6825.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-C50.jpg,Success,
63,Yezz,Classic C22,https://www.gsmarena.com/yezz_classic_c22-6824.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-C221.jpg,Success,
64,Yezz,Classic C21A,https://www.gsmarena.com/yezz_classic_c21a-6823.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-C21A-.jpg,Success,
