STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,YU,Ace,https://www.gsmarena.com/yu_ace-9308.php,https://fdn2.gsmarena.com/vv/bigpic/yu-ace-2.jpg,Success,
2,YU,Yureka 2,https://www.gsmarena.com/yu_yureka_2-8864.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka2-yu5551.jpg,Success,
3,YU,Yunique 2,https://www.gsmarena.com/yu_yunique_2-8788.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-2-yu5011.jpg,Success,
4,YU,Yureka Black,https://www.gsmarena.com/yu_yureka_black-8714.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-yu5040.jpg,Success,
5,YU,Yunique Plus,https://www.gsmarena.com/yu_yunique_plus-8287.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-plus.jpg,Success,
6,YU,Yureka S,https://www.gsmarena.com/yu_yureka_s-8286.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-s.jpg,Success,
7,YU,Yunicorn,https://www.gsmarena.com/yu_yunicorn-8002.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yunicorn.jpg,Success,
8,YU,Yureka Note,https://www.gsmarena.com/yu_yureka_note-8035.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-note.jpg,Success,
9,YU,Yutopia,https://www.gsmarena.com/yu_yutopia-7827.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yutopia.jpg,Success,
10,YU,Yunique,https://www.gsmarena.com/yu_yunique-7554.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-.jpg,Success,
11,YU,Yureka Plus,https://www.gsmarena.com/yu_yureka_plus-7436.php,https://fdn2.gsmarena.com/vv/bigpic/yureka.jpg,Success,
12,YU,Yuphoria,https://www.gsmarena.com/yu_yuphoria-7241.php,https://fdn2.gsmarena.com/vv/bigpic/yu-yuphoria-1.jpg,Success,
13,YU,Yureka,https://www.gsmarena.com/yu_yureka-6987.php,https://fdn2.gsmarena.com/vv/bigpic/yureka.jpg,Success,
