STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,ZTE,nubia A57,https://www.gsmarena.com/zte_nubia_a57-14910.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-a57.jpg,Success,
2,ZTE,nubia A77,https://www.gsmarena.com/zte_nubia_a77_5g-14908.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-a77.jpg,Success,
3,ZTE,nubia A77 4G,https://www.gsmarena.com/zte_nubia_a77-14909.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-a77-4g.jpg,Success,
4,ZTE,nubia Neo 5 Max,https://www.gsmarena.com/zte_nubia_neo_5_max_5g-14903.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-neo-5-max-padphone.jpg,Success,
5,ZTE,RedMagic Astra 2,https://www.gsmarena.com/zte_redmagic_gaming_tablet_5_pro-14762.php,https://fdn2.gsmarena.com/vv/bigpic/zte-redmagic-astra2.jpg,Success,
6,ZTE,nubia Air Pro,https://www.gsmarena.com/zte_nubia_air_pro_5g-14754.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-air-pro.jpg,Success,
7,ZTE,nubia RedMagic 11S Pro,https://www.gsmarena.com/zte_nubia_redmagic_11s_pro_5g-14669.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-11s-pro.jpg,Success,
8,ZTE,nubia RedMagic 11S Pro+,https://www.gsmarena.com/zte_nubia_redmagic_11s_pro+_5g-14671.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-11s-pro.jpg,Success,
9,ZTE,nubia RedMagic 11S Pro (China),https://www.gsmarena.com/zte_nubia_redmagic_11s_pro_5g_(china)-14670.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-11s-pro-cn.jpg,Success,
10,ZTE,nubia Neo 5 GT,https://www.gsmarena.com/zte_nubia_neo_5_gt_5g-14524.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-neo-5-gt.jpg,Success,
11,ZTE,nubia Neo 5 Pro,https://www.gsmarena.com/zte_nubia_neo_5_pro_5g-14594.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-neo-5-pro-.jpg,Success,
12,ZTE,nubia Neo 5,https://www.gsmarena.com/zte_nubia_neo_5_5g-14595.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-neo-5-5g.jpg,Success,
13,ZTE,Blade X1001,https://www.gsmarena.com/zte_blade_x1001-14525.php,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-x1001.jpg,Success,
14,ZTE,nubia A76,https://www.gsmarena.com/zte_nubia_a76-14906.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-a76.jpg,Success,
15,ZTE,nubia A75,https://www.gsmarena.com/zte_nubia_a75-14907.php,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-a75.jpg,Success,
