STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Bird,M32,https://www.gsmarena.com/bird_m32-1966.php,https://fdn2.gsmarena.com/vv/bigpic/bird-m32.gif,Success,
2,Bird,D636,https://www.gsmarena.com/bird_d636-1965.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d636.gif,Success,
3,Bird,D706,https://www.gsmarena.com/bird_d706-1964.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d706.gif,Success,
4,Bird,D615,https://www.gsmarena.com/bird_d615-1963.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d615.gif,Success,
5,Bird,S768,https://www.gsmarena.com/bird_s768-1962.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s768.gif,Success,
6,Bird,S758,https://www.gsmarena.com/bird_s758-1961.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s758.gif,Success,
7,Bird,S618,https://www.gsmarena.com/bird_s618-1960.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s618.gif,Success,
8,Bird,D736,https://www.gsmarena.com/bird_d736-1959.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d736.gif,Success,
9,Bird,D716,https://www.gsmarena.com/bird_d716-1955.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d716.gif,Success,
10,Bird,D720,https://www.gsmarena.com/bird_d720-1952.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d720.gif,Success,
11,Bird,D611,https://www.gsmarena.com/bird_d611-1951.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d611.gif,Success,
12,Bird,D515,https://www.gsmarena.com/bird_d515-1950.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d515.gif,Success,
13,Bird,D612,https://www.gsmarena.com/bird_d612-1949.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d612.gif,Success,
14,Bird,M29,https://www.gsmarena.com/bird_m29-1948.php,https://fdn2.gsmarena.com/vv/bigpic/bird-M29.gif,Success,
