STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,BlackBerry,KEY2 LE,https://www.gsmarena.com/blackberry_key2_le-9292.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-le-.jpg,Success,
2,BlackBerry,Evolve X,https://www.gsmarena.com/blackberry_evolve_x-9282.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg,Success,
3,BlackBerry,Evolve,https://www.gsmarena.com/blackberry_evolve-9281.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg,Success,
4,BlackBerry,KEY2,https://www.gsmarena.com/blackberry_key2-9187.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-new.jpg,Success,
5,BlackBerry,Motion,https://www.gsmarena.com/blackberry_motion-8891.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-motion.jpg,Success,
6,BlackBerry,Aurora,https://www.gsmarena.com/blackberry_aurora-8612.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-aurora.jpg,Success,
7,BlackBerry,Keyone,https://www.gsmarena.com/blackberry_keyone-8508.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-keyone-mercury.jpg,Success,
8,BlackBerry,DTEK60,https://www.gsmarena.com/blackberry_dtek60-8351.php,https://fdn2.gsmarena.com/vv/bigpic/bb-dtek-60r.jpg,Success,
9,BlackBerry,DTEK50,https://www.gsmarena.com/blackberry_dtek50-8229.php,https://fdn2.gsmarena.com/vv/bigpic/bb-dtek.jpg,Success,
10,BlackBerry,Priv,https://www.gsmarena.com/blackberry_priv-7587.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-priv.jpg,Success,
11,BlackBerry,Leap,https://www.gsmarena.com/blackberry_leap-7099.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-leap1.jpg,Success,
12,BlackBerry,Classic Non Camera,https://www.gsmarena.com/blackberry_classic_non_camera-7066.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-classic-no.jpg,Success,
13,BlackBerry,Porsche Design P'9983,https://www.gsmarena.com/blackberry_porsche_design_p_9983-6691.php,https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Porsche-Design-P9983-1.jpg,Success,
