STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Blackview,Xplore 6,https://www.gsmarena.com/blackview_xplore_6_5g-14857.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore6.jpg,Success,
2,Blackview,Xplore X1 Pro,https://www.gsmarena.com/blackview_xplore_x1_pro_5g-14858.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore-x1-pro.jpg,Success,
3,Blackview,BL7000 Pro,https://www.gsmarena.com/blackview_bl7000_pro_5g-14852.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-bl7000-pro.jpg,Success,
4,Blackview,Active 7,https://www.gsmarena.com/blackview_active_7-14851.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-active7.jpg,Success,
5,Blackview,Active 5,https://www.gsmarena.com/blackview_active_5-14850.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-active5.jpg,Success,
6,Blackview,Link Mini Kids,https://www.gsmarena.com/blackview_link_mini_kids-14842.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-link-mini-kids.jpg,Success,
7,Blackview,Link 1 Kids,https://www.gsmarena.com/blackview_link_1_kids-14841.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-link-1-kids.jpg,Success,
8,Blackview,Wave 2C,https://www.gsmarena.com/blackview_wave_2c-14840.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-wave2c.jpg,Success,
9,Blackview,Xplore 2 Satellite,https://www.gsmarena.com/blackview_xplore_2_satellite_5g-14838.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore2-satellite.jpg,Success,
10,Blackview,Xplore 2 Projector,https://www.gsmarena.com/blackview_xplore_2_projector_5g-14837.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore-2-projector.jpg,Success,
11,Blackview,Xplore 1 Pro,https://www.gsmarena.com/blackview_xplore_1_pro_5g-14836.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore-1-pro.jpg,Success,
12,Blackview,Zeno 5,https://www.gsmarena.com/blackview_zeno_5-14793.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-zeno5.jpg,Success,
13,Blackview,Mega 5,https://www.gsmarena.com/blackview_mega_5-14792.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-mega5.jpg,Success,
14,Blackview,Wave 10C,https://www.gsmarena.com/blackview_wave_10c-14791.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-wave-10c.jpg,Success,
15,Blackview,Wave 10,https://www.gsmarena.com/blackview_wave_10-14790.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-wave-10.jpg,Success,
16,Blackview,Rock 5,https://www.gsmarena.com/blackview_rock_5-14786.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-rock5.jpg,Success,
17,Blackview,Rock 3,https://www.gsmarena.com/blackview_rock_3-14785.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-rock3.jpg,Success,
18,Blackview,Rock 2 Pro,https://www.gsmarena.com/blackview_rock_2_pro_5g-14784.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-rock2-pro.jpg,Success,
19,Blackview,Rock 2,https://www.gsmarena.com/blackview_rock_2_5g-14783.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-rock2.jpg,Success,
20,Blackview,Rock 1 Pro,https://www.gsmarena.com/blackview_rock_1_pro-14770.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-rock1-pro.jpg,Success,
21,Blackview,Rock 1,https://www.gsmarena.com/blackview_rock_1-14769.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-rock1.jpg,Success,
22,Blackview,Fort 200,https://www.gsmarena.com/blackview_fort_200-14767.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-fort-200.jpg,Success,
23,Blackview,Fort 100,https://www.gsmarena.com/blackview_fort_100-14766.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-fort-100.jpg,Success,
24,Blackview,Fort 5,https://www.gsmarena.com/blackview_fort_5-14765.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-fort5.jpg,Success,
25,Blackview,Wave 7C,https://www.gsmarena.com/blackview_wave_7c-14755.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-wave-7c.jpg,Success,
26,Blackview,Mega 12,https://www.gsmarena.com/blackview_mega_12_5g-14437.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-mega12.jpg,Success,
27,Blackview,Xplore 1 Walkie Talkie,https://www.gsmarena.com/blackview_xplore_1_walkie_talkie_5g-14438.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore1-wt.jpg,Success,
28,Blackview,Xplore X1,https://www.gsmarena.com/blackview_xplore_x1_5g-14439.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore-x1.jpg,Success,
29,Blackview,Wave 9C,https://www.gsmarena.com/blackview_wave_9c-14440.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-wave-9c.jpg,Success,
30,Blackview,Zeno 10,https://www.gsmarena.com/blackview_zeno_10_5g-14441.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-zeno10.jpg,Success,
31,Blackview,Link 2,https://www.gsmarena.com/blackview_link_2-14442.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-link2.jpg,Success,
32,Blackview,Link 8,https://www.gsmarena.com/blackview_link_8-14443.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-link8.jpg,Success,
33,Blackview,Fort 2,https://www.gsmarena.com/blackview_fort_2-14444.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-fort2.jpg,Success,
34,Blackview,Xplore 2,https://www.gsmarena.com/blackview_xplore_2_5g-14229.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore2.jpg,Success,
35,Blackview,Zeno 1,https://www.gsmarena.com/blackview_zeno_1-14154.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-zeno1.jpg,Success,
36,Blackview,Shark 6,https://www.gsmarena.com/blackview_shark_6_5g-14153.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-shark6.jpg,Success,
37,Blackview,Color 6,https://www.gsmarena.com/blackview_color_6-14152.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-color6.jpg,Success,
