STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,BLU,Bold N3,https://www.gsmarena.com/blu_bold_n3-12603.php,https://fdn2.gsmarena.com/vv/bigpic/blu-bold-n3.jpg,Success,
2,BLU,G93,https://www.gsmarena.com/blu_g93-12460.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g93.jpg,Success,
3,BLU,G73,https://www.gsmarena.com/blu_g73-12459.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g73.jpg,Success,
4,BLU,G63,https://www.gsmarena.com/blu_g63-12458.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g63.jpg,Success,
5,BLU,G53,https://www.gsmarena.com/blu_g53-12457.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g53.jpg,Success,
6,BLU,G33,https://www.gsmarena.com/blu_g33-12456.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g33.jpg,Success,
7,BLU,F92e,https://www.gsmarena.com/blu_f92e-12153.php,https://fdn2.gsmarena.com/vv/bigpic/blu-f92e-5g.jpg,Success,
8,BLU,G72 Max,https://www.gsmarena.com/blu_g72_max-12110.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g72-max.jpg,Success,
9,BLU,G52L,https://www.gsmarena.com/blu_g52l-12102.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g52l.jpg,Success,
10,BLU,Studio X5 Max,https://www.gsmarena.com/blu_studio_x5_max-11830.php,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x5-max.jpg,Success,
11,BLU,Studio X5,https://www.gsmarena.com/blu_studio_x5-11829.php,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x5.jpg,Success,
12,BLU,G40,https://www.gsmarena.com/blu_g40-11828.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g40.jpg,Success,
13,BLU,Bold N2,https://www.gsmarena.com/blu_bold_n2-11757.php,https://fdn2.gsmarena.com/vv/bigpic/blu-bold-n2-new.jpg,Success,
14,BLU,Studio X10L 2022,https://www.gsmarena.com/blu_studio_x10l_2022-11716.php,https://fdn2.gsmarena.com/vv/bigpic/blu-studiox10l-2022.jpg,Success,
15,BLU,S91 Pro,https://www.gsmarena.com/blu_s91_pro-11715.php,https://fdn2.gsmarena.com/vv/bigpic/blu-s91pro.jpg,Success,
16,BLU,J6S,https://www.gsmarena.com/blu_j6s-11673.php,https://fdn2.gsmarena.com/vv/bigpic/blu-j6s.jpg,Success,
17,BLU,C7X,https://www.gsmarena.com/blu_c7x-11672.php,https://fdn2.gsmarena.com/vv/bigpic/blu-c7x.jpg,Success,
18,BLU,S91,https://www.gsmarena.com/blu_s91-11643.php,https://fdn2.gsmarena.com/vv/bigpic/blu-s91.jpg,Success,
19,BLU,G51,https://www.gsmarena.com/blu_g51-11623.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g51.jpg,Success,
20,BLU,G61s,https://www.gsmarena.com/blu_g61s-11536.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g61s.jpg,Success,
21,BLU,G50 Mega 2022,https://www.gsmarena.com/blu_g50_mega_2022-11509.php,https://fdn2.gsmarena.com/vv/bigpic/glu-g50-mega-2022.jpg,Success,
22,BLU,F91,https://www.gsmarena.com/blu_f91-11483.php,https://fdn2.gsmarena.com/vv/bigpic/blu-f91-5g.jpg,Success,
23,BLU,G71L,https://www.gsmarena.com/blu_g71l-11398.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g71l.jpg,Success,
