STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Bosch,909 Dual S,https://www.gsmarena.com/bosch_909_dual_s-183.php,https://fdn2.gsmarena.com/vv/bigpic/boc909sb.gif,Success,
2,Bosch,909 Dual,https://www.gsmarena.com/bosch_909_dual-142.php,https://fdn2.gsmarena.com/vv/bigpic/boc909b.gif,Success,
3,Bosch,Com 908,https://www.gsmarena.com/bosch_com_908-141.php,https://fdn2.gsmarena.com/vv/bigpic/boc908b.gif,Success,
4,Bosch,Com 509,https://www.gsmarena.com/bosch_com_509-140.php,https://fdn2.gsmarena.com/vv/bigpic/boc509b.gif,Success,
5,Bosch,World 718,https://www.gsmarena.com/bosch_world_718-139.php,https://fdn2.gsmarena.com/vv/bigpic/bow718b.gif,Success,
6,Bosch,Com 738,https://www.gsmarena.com/bosch_com_738-138.php,https://fdn2.gsmarena.com/vv/bigpic/boc738b.gif,Success,
7,Bosch,Com 906,https://www.gsmarena.com/bosch_com_906-137.php,https://fdn2.gsmarena.com/vv/bigpic/boc906b.gif,Success,
8,Bosch,Com 608,https://www.gsmarena.com/bosch_com_608-136.php,https://fdn2.gsmarena.com/vv/bigpic/boc608b.gif,Success,
9,Bosch,Com 607,https://www.gsmarena.com/bosch_com_607-135.php,https://fdn2.gsmarena.com/vv/bigpic/boc607b.gif,Success,
10,Bosch,Com 207,https://www.gsmarena.com/bosch_com_207-134.php,https://fdn2.gsmarena.com/vv/bigpic/boc207b.gif,Success,
