STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,BQ,Aquaris X2 Pro,https://www.gsmarena.com/bq_aquaris_x2_pro-9197.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2-pro.jpg,Success,
2,BQ,Aquaris X2,https://www.gsmarena.com/bq_aquaris_x2-9198.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2.jpg,Success,
3,BQ,Aquaris VS Plus,https://www.gsmarena.com/bq_aquaris_vs_plus-9078.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs-plus.jpg,Success,
4,BQ,Aquaris VS,https://www.gsmarena.com/bq_aquaris_vs-9077.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs.jpg,Success,
5,BQ,Aquaris U2 Lite,https://www.gsmarena.com/bq_aquaris_u2_lite-9037.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2-lite.jpg,Success,
6,BQ,Aquaris U2,https://www.gsmarena.com/bq_aquaris_u2-9036.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2.jpg,Success,
7,BQ,Aquaris V Plus,https://www.gsmarena.com/bq_aquaris_v_plus-9035.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg,Success,
8,BQ,Aquaris V,https://www.gsmarena.com/bq_aquaris_v-9034.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg,Success,
9,BQ,Aquaris X Pro,https://www.gsmarena.com/bq_aquaris_x_pro-8641.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-xpro.jpg,Success,
10,BQ,Aquaris X,https://www.gsmarena.com/bq_aquaris_x-8642.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris.jpg,Success,
11,BQ,Aquaris U Lite,https://www.gsmarena.com/bq_aquaris_u_lite-8380.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u.jpg,Success,
12,BQ,Aquaris U,https://www.gsmarena.com/bq_aquaris_u-8379.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u.jpg,Success,
13,BQ,Aquaris U Plus,https://www.gsmarena.com/bq_aquaris_u_plus-8378.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u-plus.jpg,Success,
14,BQ,Aquaris X5 Plus,https://www.gsmarena.com/bq_aquaris_x5_plus-8236.php,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x5-plus.jpg,Success,
15,BQ,Aquaris E5s,https://www.gsmarena.com/bq_aquaris_e5s-7837.php,https://fdn2.gsmarena.com/vv/bigpic/bq-e5s.jpg,Success,
16,BQ,Aquaris X5,https://www.gsmarena.com/bq_aquaris_x5-7838.php,https://fdn2.gsmarena.com/vv/bigpic/bq-x5.jpg,Success,
17,BQ,Aquaris M5,https://www.gsmarena.com/bq_aquaris_m5-7839.php,https://fdn2.gsmarena.com/vv/bigpic/bq-m5.jpg,Success,
18,BQ,Aquaris M5.5,https://www.gsmarena.com/bq_aquaris_m5_5-7840.php,https://fdn2.gsmarena.com/vv/bigpic/bq-m55.jpg,Success,
19,BQ,Aquaris M4.5,https://www.gsmarena.com/bq_aquaris_m4_5-7841.php,https://fdn2.gsmarena.com/vv/bigpic/bq-m45.jpg,Success,
20,BQ,Aquaris M10,https://www.gsmarena.com/bq__aquaris_m10-7842.php,https://fdn2.gsmarena.com/vv/bigpic/bq-m10.jpg,Success,
