STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Cat,S75,https://www.gsmarena.com/cat_s75-12140.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s75.jpg,Success,
2,Cat,S53,https://www.gsmarena.com/cat_s53-11766.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s53.jpg,Success,
3,Cat,S22 Flip,https://www.gsmarena.com/cat_s22_flip-11141.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s22-flip.jpg,Success,
4,Cat,S62,https://www.gsmarena.com/cat_s62-11300.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s62.jpg,Success,
5,Cat,S42 H+,https://www.gsmarena.com/cat_s42_h+-10975.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s42-plus.jpg,Success,
6,Cat,B40,https://www.gsmarena.com/cat_b40-10976.php,https://fdn2.gsmarena.com/vv/bigpic/cat-b40.jpg,Success,
7,Cat,S62 Pro,https://www.gsmarena.com/cat_s62_pro-10358.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s62-pro.jpg,Success,
8,Cat,S42,https://www.gsmarena.com/cat_s42-10029.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s32.jpg,Success,
9,Cat,S52,https://www.gsmarena.com/cat_s52-9938.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s52.jpg,Success,
10,Cat,B35,https://www.gsmarena.com/cat_b35-9348.php,https://fdn2.gsmarena.com/vv/bigpic/cat-b35.jpg,Success,
11,Cat,S41,https://www.gsmarena.com/cat_s41-8848.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s41.jpg,Success,
12,Cat,S31,https://www.gsmarena.com/cat_s31-8847.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s31.jpg,Success,
13,Cat,S61,https://www.gsmarena.com/cat_s61-9076.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s61.jpg,Success,
14,Cat,S60,https://www.gsmarena.com/cat_s60-7928.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s60-.jpg,Success,
15,Cat,S30,https://www.gsmarena.com/cat_s30-7730.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s30.jpg,Success,
16,Cat,S40,https://www.gsmarena.com/cat_s40-7456.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s40.jpg,Success,
17,Cat,B30,https://www.gsmarena.com/cat_b30-7312.php,https://fdn2.gsmarena.com/vv/bigpic/cat-b30.jpg,Success,
18,Cat,B15 Q,https://www.gsmarena.com/cat_b15_q-6698.php,https://fdn2.gsmarena.com/vv/bigpic/cat-b15q.jpg,Success,
19,Cat,S50,https://www.gsmarena.com/cat_s50-6664.php,https://fdn2.gsmarena.com/vv/bigpic/cat-s50.jpg,Success,
20,Cat,B15,https://www.gsmarena.com/cat_b15-5985.php,https://fdn2.gsmarena.com/vv/bigpic/cat-b15.jpg,Success,
21,Cat,B100,https://www.gsmarena.com/cat_b100-5984.php,https://fdn2.gsmarena.com/vv/bigpic/cat-b100.jpg,Success,
22,Cat,B25,https://www.gsmarena.com/cat_b25-5983.php,https://fdn2.gsmarena.com/vv/bigpic/cat-b25.jpg,Success,
