STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Celkon,A403,https://www.gsmarena.com/celkon_a403-7618.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a403.jpg,Success,
2,Celkon,Campus Prime,https://www.gsmarena.com/celkon_campus_prime-7617.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-prime.jpg,Success,
3,Celkon,Millennia Everest,https://www.gsmarena.com/celkon_millennia_everest-7616.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-everest.jpg,Success,
4,Celkon,Millennia Hero,https://www.gsmarena.com/celkon_millennia_hero-7615.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-hero.jpg,Success,
5,Celkon,Millennia Xplore,https://www.gsmarena.com/celkon_millennia_xplore-7461.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q58-xplore.jpg,Success,
6,Celkon,Q455L,https://www.gsmarena.com/celkon_q455l-7460.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q455.jpg,Success,
7,Celkon,2GB Xpress,https://www.gsmarena.com/celkon_2gb_xpress-7459.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-2gb-xpress.jpg,Success,
8,Celkon,A35k Remote,https://www.gsmarena.com/celkon_a35k_remote-7376.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a35k-remote.jpg,Success,
9,Celkon,Q3K Power,https://www.gsmarena.com/celkon_q3k_power-7375.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q3k-power.jpg,Success,
10,Celkon,Q5K Power,https://www.gsmarena.com/celkon_q5k_power-7374.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q5k-power.jpg,Success,
11,Celkon,Q452,https://www.gsmarena.com/celkon_q452-7373.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q452.jpg,Success,
12,Celkon,A402,https://www.gsmarena.com/celkon_a402-7372.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a402.jpg,Success,
13,Celkon,Q54+,https://www.gsmarena.com/celkon_q54+-7287.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q54-plus.jpg,Success,
14,Celkon,Q519,https://www.gsmarena.com/celkon_q519-7286.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q519.jpg,Success,
15,Celkon,Q450,https://www.gsmarena.com/celkon_q450-7285.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q450.jpg,Success,
16,Celkon,Q405,https://www.gsmarena.com/celkon_q405-7284.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q405.jpg,Success,
17,Celkon,A518,https://www.gsmarena.com/celkon_a518-7283.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a518.jpg,Success,
18,Celkon,A407,https://www.gsmarena.com/celkon_a407-7282.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a407.jpg,Success,
19,Celkon,A359,https://www.gsmarena.com/celkon_a359-7281.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a359.jpg,Success,
20,Celkon,A355,https://www.gsmarena.com/celkon_a355-7280.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a355.jpg,Success,
21,Celkon,Campus Buddy A404,https://www.gsmarena.com/celkon_campus_buddy_a404-7138.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a404.jpg,Success,
22,Celkon,Millennia OCTA510,https://www.gsmarena.com/celkon_millennia_octa510-6922.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-octa510.jpg,Success,
23,Celkon,Win 400,https://www.gsmarena.com/celkon_win_400-6820.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-win400.jpg,Success,
24,Celkon,Campus Whizz Q42,https://www.gsmarena.com/celkon_campus_whizz_q42-6798.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-campus-whizz-q42.jpg,Success,
25,Celkon,Millennia Epic Q550,https://www.gsmarena.com/celkon_millennia_epic_q550-6783.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q550.jpg,Success,
26,Celkon,Xion s CT695,https://www.gsmarena.com/celkon_xion_s_ct695-6757.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-ct695.jpg,Success,
27,Celkon,Campus Colt A401,https://www.gsmarena.com/celkon_campus_colt_a401-6756.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a401.jpg,Success,
28,Celkon,Campus Crown Q40,https://www.gsmarena.com/celkon_campus_crown_q40-6724.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q40.jpg,Success,
29,Celkon,Glory Q5,https://www.gsmarena.com/celkon_glory_q5-6723.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q5.jpg,Success,
30,Celkon,Campus One A354C,https://www.gsmarena.com/celkon_campus_one_a354c-6722.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a354c.jpg,Success,
31,Celkon,Campus Nova A352E,https://www.gsmarena.com/celkon_campus_nova_a352e-6721.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a352e.jpg,Success,
32,Celkon,A43,https://www.gsmarena.com/celkon_a43-6550.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-a43.jpg,Success,
33,Celkon,A42,https://www.gsmarena.com/celkon_a42-6549.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-a42.jpg,Success,
