STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Chea,A90,https://www.gsmarena.com/chea_a90-651.php,https://fdn2.gsmarena.com/vv/bigpic/cha90.gif,Success,
2,Chea,JMS-110,https://www.gsmarena.com/chea_jms_110-650.php,https://fdn2.gsmarena.com/vv/bigpic/chjms110.gif,Success,
3,Chea,328,https://www.gsmarena.com/chea_328-505.php,https://fdn2.gsmarena.com/vv/bigpic/ch328.gif,Success,
4,Chea,318,https://www.gsmarena.com/chea_318-504.php,https://fdn2.gsmarena.com/vv/bigpic/ch318.gif,Success,
5,Chea,308,https://www.gsmarena.com/chea_308-503.php,https://fdn2.gsmarena.com/vv/bigpic/ch308.gif,Success,
6,Chea,228,https://www.gsmarena.com/chea_228-502.php,https://fdn2.gsmarena.com/vv/bigpic/ch228.gif,Success,
7,Chea,218,https://www.gsmarena.com/chea_218-501.php,https://fdn2.gsmarena.com/vv/bigpic/ch218.gif,Success,
8,Chea,208,https://www.gsmarena.com/chea_208-500.php,https://fdn2.gsmarena.com/vv/bigpic/ch208.gif,Success,
9,Chea,198,https://www.gsmarena.com/chea_198-499.php,https://fdn2.gsmarena.com/vv/bigpic/ch198.gif,Success,
10,Chea,188,https://www.gsmarena.com/chea_188-498.php,https://fdn2.gsmarena.com/vv/bigpic/ch188.gif,Success,
11,Chea,178,https://www.gsmarena.com/chea_178-497.php,https://fdn2.gsmarena.com/vv/bigpic/ch178.gif,Success,
12,Chea,168,https://www.gsmarena.com/chea_168-496.php,https://fdn2.gsmarena.com/vv/bigpic/ch168.gif,Success,
