STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Coolpad,C35c,https://www.gsmarena.com/coolpad_c35c-14833.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c35c.jpg,Success,
2,Coolpad,C35 Plus,https://www.gsmarena.com/coolpad_c35_plus-14427.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c35-plus.jpg,Success,
3,Coolpad,C35,https://www.gsmarena.com/coolpad_c35-14426.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c35.jpg,Success,
4,Coolpad,CP12 Neo Plus,https://www.gsmarena.com/coolpad_cp12_neo_plus-14425.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12-neo-plus.jpg,Success,
5,Coolpad,CP12 Neo,https://www.gsmarena.com/coolpad_cp12_neo-13759.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12-neo1.jpg,Success,
6,Coolpad,X100,https://www.gsmarena.com/coolpad_x100-13669.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-x100.jpg,Success,
7,Coolpad,Cool 40i,https://www.gsmarena.com/coolpad_cool_40i-13575.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-40i.jpg,Success,
8,Coolpad,C16s,https://www.gsmarena.com/coolpad_c16s-13535.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c16s-new.jpg,Success,
9,Coolpad,C16,https://www.gsmarena.com/coolpad_c16-13348.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c16.jpg,Success,
10,Coolpad,Cool 30 Play,https://www.gsmarena.com/coolpad_cool_30_play-13149.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-30-play.jpg,Success,
11,Coolpad,C15,https://www.gsmarena.com/coolpad_c15-13136.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c15.jpg,Success,
12,Coolpad,Cool 30i,https://www.gsmarena.com/coolpad_cool_30i-12766.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-30i.jpg,Success,
13,Coolpad,CP12s,https://www.gsmarena.com/coolpad_cp12s-12729.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12s.jpg,Success,
14,Coolpad,CP12,https://www.gsmarena.com/coolpad_cp12-12422.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12.jpg,Success,
15,Coolpad,Cool 20+,https://www.gsmarena.com/coolpad_cool_20+-12421.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool20-plus.jpg,Success,
16,Coolpad,CP12p,https://www.gsmarena.com/coolpad_cp12p-12423.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12p.jpg,Success,
17,Coolpad,Cool 20s,https://www.gsmarena.com/coolpad_cool_20s-11615.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20s-5g.jpg,Success,
18,Coolpad,Cool 20,https://www.gsmarena.com/coolpad_cool_20-11620.php,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20.jpg,Success,
