STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Cubot,X5,https://www.gsmarena.com/cubot_x5-14915.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-x5.jpg,Success,
2,Cubot,U3,https://www.gsmarena.com/cubot_u3-14916.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-u3.jpg,Success,
3,Cubot,U2,https://www.gsmarena.com/cubot_u2-14917.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-u2.jpg,Success,
4,Cubot,A50,https://www.gsmarena.com/cubot_a50-14893.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-a50.jpg,Success,
5,Cubot,KingKong ES Pro,https://www.gsmarena.com/cubot_kingkong_es_pro-14855.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-es-pro.jpg,Success,
6,Cubot,KingKong Dura,https://www.gsmarena.com/cubot_kingkong_dura-14854.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-dura.jpg,Success,
7,Cubot,KingKong ES5,https://www.gsmarena.com/cubot_kingkong_es5-14732.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kk-es5.jpg,Success,
8,Cubot,GT5,https://www.gsmarena.com/cubot_gt5-14461.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-gt5.jpg,Success,
9,Cubot,Beatbox,https://www.gsmarena.com/cubot_beatbox-14460.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-beatbox.jpg,Success,
10,Cubot,KingKong Ace 5,https://www.gsmarena.com/cubot_kingkong_ace_5-14381.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-ace5.jpg,Success,
11,Cubot,Note 60,https://www.gsmarena.com/cubot_note_60-14287.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-note60.jpg,Success,
12,Cubot,Tab KingKong S,https://www.gsmarena.com/cubot_tab_kingkong_s-14197.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-tab-kingkong-s.jpg,Success,
13,Cubot,Tab KingKong Mini,https://www.gsmarena.com/cubot_tab_kingkong_mini-14196.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-tab-kingkong-mini.jpg,Success,
14,Cubot,KingKong Mini 4,https://www.gsmarena.com/cubot_kingkong_mini_4-14099.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-mini4.jpg,Success,
15,Cubot,X100,https://www.gsmarena.com/cubot_x100_5g-14098.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-x100.jpg,Success,
16,Cubot,KingKong 11,https://www.gsmarena.com/cubot_kingkong_11_5g-14063.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-11.jpg,Success,
17,Cubot,KingKong ES 3,https://www.gsmarena.com/cubot_kingkong_es_3-14062.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-es3.jpg,Success,
18,Cubot,A40,https://www.gsmarena.com/cubot_a40-14019.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-a40.jpg,Success,
19,Cubot,P90,https://www.gsmarena.com/cubot_p90-13962.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-p90.jpg,Success,
20,Cubot,KingKong Power 5,https://www.gsmarena.com/cubot_kingkong_power_5-13876.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-power5.jpg,Success,
21,Cubot,Tab 65,https://www.gsmarena.com/cubot_tab_65-13880.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-tab-65.jpg,Success,
22,Cubot,GT3,https://www.gsmarena.com/cubot_gt3-13765.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-gt3.jpg,Success,
23,Cubot,X3,https://www.gsmarena.com/cubot_x3-13732.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-x3.jpg,Success,
24,Cubot,U1,https://www.gsmarena.com/cubot_u1-13731.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-u1.jpg,Success,
25,Cubot,Tab 70,https://www.gsmarena.com/cubot_tab_70-13630.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-tab70.jpg,Success,
26,Cubot,Tab KingKong 2,https://www.gsmarena.com/cubot_tab_kingkong_2-13561.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-tab-kingkong2.jpg,Success,
27,Cubot,A30,https://www.gsmarena.com/cubot_a30-13532.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-a30.jpg,Success,
28,Cubot,KingKong Ace 2,https://www.gsmarena.com/cubot_kingkong_ace_2-13533.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kk-ace2.jpg,Success,
29,Cubot,GT1,https://www.gsmarena.com/cubot_gt1-13534.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-gt1.jpg,Success,
30,Cubot,KingKong X Pro,https://www.gsmarena.com/cubot_kingkong_x_pro-13485.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-x-pro.jpg,Success,
31,Cubot,KingKong Power 3,https://www.gsmarena.com/cubot_kingkong_power_3-13370.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-power3.jpg,Success,
32,Cubot,KingKong Star 2,https://www.gsmarena.com/cubot_kingkong_star_2-13369.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-star2.jpg,Success,
33,Cubot,A20,https://www.gsmarena.com/cubot_a20-13368.php,https://fdn2.gsmarena.com/vv/bigpic/cubot-a20.jpg,Success,
