STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Dell,Venue 10 7000,https://www.gsmarena.com/dell_venue_10_7000-7188.php,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-10-7000.jpg,Success,
2,Dell,Venue 8 7000,https://www.gsmarena.com/dell_venue_8_7000-6714.php,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8-7000.jpg,Success,
3,Dell,Venue 8,https://www.gsmarena.com/dell_venue_8-5752.php,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8.jpg,Success,
4,Dell,Venue 7 8 GB,https://www.gsmarena.com/dell_venue_7_8_gb-6053.php,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7-8gb.jpg,Success,
5,Dell,Venue 7,https://www.gsmarena.com/dell_venue_7-5751.php,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7.jpg,Success,
6,Dell,XPS 10,https://www.gsmarena.com/dell_xps_10-5160.php,https://fdn2.gsmarena.com/vv/bigpic/dell-xps-10.jpg,Success,
7,Dell,Streak 10 Pro,https://www.gsmarena.com/dell_streak_10_pro-4398.php,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-10-pro.jpg,Success,
8,Dell,Streak Pro D43,https://www.gsmarena.com/dell_streak_pro_d43-4384.php,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-pro-d43.jpg,Success,
9,Dell,Streak 7,https://www.gsmarena.com/dell_streak_7-3881.php,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,Success,
10,Dell,Streak 7 Wi-Fi,https://www.gsmarena.com/dell_streak_7_wi_fi-3882.php,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,Success,
11,Dell,Venue,https://www.gsmarena.com/dell_venue-3281.php,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-ofic.jpg,Success,
12,Dell,XCD35,https://www.gsmarena.com/dell_xcd35-3623.php,https://fdn2.gsmarena.com/vv/bigpic/dell-xcd35-new.jpg,Success,
13,Dell,XCD28,https://www.gsmarena.com/dell_xcd28-3622.php,https://fdn2.gsmarena.com/vv/bigpic/dell-xcd28.jpg,Success,
14,Dell,Smoke,https://www.gsmarena.com/dell_smoke-3282.php,https://fdn2.gsmarena.com/vv/bigpic/dell-smoke.jpg,Success,
15,Dell,Flash,https://www.gsmarena.com/dell_flash-3283.php,https://fdn2.gsmarena.com/vv/bigpic/dell-flash.jpg,Success,
16,Dell,Venue Pro,https://www.gsmarena.com/dell_venue_pro-3280.php,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-pro.jpg,Success,
17,Dell,Streak,https://www.gsmarena.com/dell_streak-3353.php,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-official.jpg,Success,
18,Dell,Aero,https://www.gsmarena.com/dell_aero-3248.php,https://fdn2.gsmarena.com/vv/bigpic/dell-aero.jpg,Success,
19,Dell,Mini 3i,https://www.gsmarena.com/dell_mini_3i-3033.php,https://fdn2.gsmarena.com/vv/bigpic/dell-mini-3i.jpg,Success,
20,Dell,Mini 3iX,https://www.gsmarena.com/dell_mini_3ix-3010.php,https://fdn2.gsmarena.com/vv/bigpic/dell-mini-3ix-official.jpg,Success,
