STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Doogee,S300 Pro,https://www.gsmarena.com/doogee_s300_pro_5g-14741.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-s300-pro.jpg,Success,
2,Doogee,S300 Plus,https://www.gsmarena.com/doogee_s300_plus_5g-14742.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-s300-pro.jpg,Success,
3,Doogee,S300 Plus Thermal,https://www.gsmarena.com/doogee_s300_plus_thermal_5g-14743.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-s300-plus-thermal.jpg,Success,
4,Doogee,V Max 2 Pro,https://www.gsmarena.com/doogee_v_max_2_pro_5g-14736.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-v-max2.jpg,Success,
5,Doogee,V Max 2,https://www.gsmarena.com/doogee_v_max_2_5g-14735.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-v-max2.jpg,Success,
6,Doogee,Blade 10 Energy,https://www.gsmarena.com/doogee_blade_10_energy-14492.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-10-energy.jpg,Success,
7,Doogee,Blade 10 Pro Energy,https://www.gsmarena.com/doogee_blade_10_pro_energy-14493.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-10-pro-energy.jpg,Success,
8,Doogee,Blade 10 Ultra Energy,https://www.gsmarena.com/doogee_blade_10_ultra_energy-14494.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-10-ultra-energy.jpg,Success,
9,Doogee,Blade 20 Pro,https://www.gsmarena.com/doogee_blade_20_pro-14495.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-20-pro.jpg,Success,
10,Doogee,Blade 20 Max,https://www.gsmarena.com/doogee_blade_20_max-14496.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-20-max.jpg,Success,
11,Doogee,Anywise W1 Pro,https://www.gsmarena.com/doogee_anywise_w1_pro-14472.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-anywise-w1-pro.jpg,Success,
