STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Emporia,Glam,https://www.gsmarena.com/emporia_glam-6264.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaGLAM.jpg,Success,
2,Emporia,Flip Basic,https://www.gsmarena.com/emporia_flip_basic-6263.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-flip-f210.jpg,Success,
3,Emporia,Eco,https://www.gsmarena.com/emporia_eco-6262.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-eco-c160.jpg,Success,
4,Emporia,Click Plus,https://www.gsmarena.com/emporia_click_plus-6261.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-click-plus.jpg,Success,
5,Emporia,Essence Plus,https://www.gsmarena.com/emporia_essence_plus-6260.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-essence.jpg,Success,
6,Emporia,Solid Plus,https://www.gsmarena.com/emporia_solid_plus-6231.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaSOLIDplus.jpg,Success,
7,Emporia,Care Plus,https://www.gsmarena.com/emporia_care_plus-6230.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCAREplus.jpg,Success,
8,Emporia,Elegance Plus,https://www.gsmarena.com/emporia_elegance_plus-6229.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCEplus.jpg,Success,
9,Emporia,Elegance,https://www.gsmarena.com/emporia_elegance-6259.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCE-V35.jpg,Success,
10,Emporia,Connect,https://www.gsmarena.com/emporia_connect-6228.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCONNECT.jpg,Success,
11,Emporia,Click,https://www.gsmarena.com/emporia_click-6226.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaclick.jpg,Success,
12,Emporia,Talk Comfort Plus,https://www.gsmarena.com/emporia_talk_comfort_plus-6258.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKcomfortplus.jpg,Success,
13,Emporia,Talk Comfort,https://www.gsmarena.com/emporia_talk_comfort-6225.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKcomfort.jpg,Success,
14,Emporia,RL1,https://www.gsmarena.com/emporia_rl1-6224.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporia-rl1.jpg,Success,
15,Emporia,Talk Premium,https://www.gsmarena.com/emporia_talk_premium-6223.php,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKpremium1.jpg,Success,
