STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Energizer,Ultimate U6G,https://www.gsmarena.com/energizer_ultimate_u6g-13547.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-u6g.jpg,Success,
2,Energizer,E288s,https://www.gsmarena.com/energizer_e288s-13137.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-e288s.jpg,Success,
3,Energizer,E246SC,https://www.gsmarena.com/energizer_e246sc-13117.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-e246sc.jpg,Success,
4,Energizer,Ultimate U652S,https://www.gsmarena.com/energizer_ultimate_u652s-12966.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-u652s.jpg,Success,
5,Energizer,E130S,https://www.gsmarena.com/energizer_e130s-12934.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-e130s.jpg,Success,
6,Energizer,U506S,https://www.gsmarena.com/energizer_u506s-12918.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-u506s.jpg,Success,
7,Energizer,Ultimate 65G,https://www.gsmarena.com/energizer_ultimate_65g-12906.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u65g.jpg,Success,
8,Energizer,Hard Case P28K,https://www.gsmarena.com/energizer_hard_case_p28k-12825.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-hard-case-p28k.jpg,Success,
9,Energizer,U683S,https://www.gsmarena.com/energizer_u683s-12814.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-u683s.jpg,Success,
10,Energizer,H67G,https://www.gsmarena.com/energizer_h67g-12801.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-h67g.jpg,Success,
11,Energizer,E242s+,https://www.gsmarena.com/energizer_e242s+-12774.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-e242s-plus.jpg,Success,
12,Energizer,E244s,https://www.gsmarena.com/energizer_e244s-12767.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-e244s.jpg,Success,
13,Energizer,E13,https://www.gsmarena.com/energizer_e13-12758.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-e13.jpg,Success,
14,Energizer,E20+,https://www.gsmarena.com/energizer_e20+-12740.php,https://fdn2.gsmarena.com/vv/bigpic/energizer-e20-plus.jpg,Success,
