STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Eten,glofiish X610,https://www.gsmarena.com/eten_glofiish_x610-2419.php,https://fdn2.gsmarena.com/vv/bigpic/eten-x610.jpg,Success,
2,Eten,glofiish V900,https://www.gsmarena.com/eten_glofiish_v900-2418.php,https://fdn2.gsmarena.com/vv/bigpic/eten-v900.jpg,Success,
3,Eten,glofiish X900,https://www.gsmarena.com/eten_glofiish_x900-2417.php,https://fdn2.gsmarena.com/vv/bigpic/eten-x900.jpg,Success,
4,Eten,glofiish DX900,https://www.gsmarena.com/eten_glofiish_dx900-2416.php,https://fdn2.gsmarena.com/vv/bigpic/eten-dx900.jpg,Success,
5,Eten,glofiish M750,https://www.gsmarena.com/eten_glofiish_m750-2344.php,https://fdn2.gsmarena.com/vv/bigpic/eten-m750.jpg,Success,
6,Eten,glofiish M810,https://www.gsmarena.com/eten_glofiish_m810-2343.php,https://fdn2.gsmarena.com/vv/bigpic/eten-m810.jpg,Success,
7,Eten,glofiish X650,https://www.gsmarena.com/eten_glofiish_x650-2204.php,https://fdn2.gsmarena.com/vv/bigpic/eten-x650.jpg,Success,
8,Eten,glofiish M800,https://www.gsmarena.com/eten_glofiish_m800-2163.php,https://fdn2.gsmarena.com/vv/bigpic/eten-m800.gif,Success,
9,Eten,glofiish X600,https://www.gsmarena.com/eten_glofiish_x600-2162.php,https://fdn2.gsmarena.com/vv/bigpic/eten-x600.gif,Success,
10,Eten,glofiish X500+,https://www.gsmarena.com/eten_glofiish_x500+-1986.php,https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif,Success,
11,Eten,glofiish X800,https://www.gsmarena.com/eten_glofiish_x800-1926.php,https://fdn2.gsmarena.com/vv/bigpic/eten-x800.gif,Success,
12,Eten,glofiish M700,https://www.gsmarena.com/eten_glofiish_m700-1788.php,https://fdn2.gsmarena.com/vv/bigpic/eten-m700.gif,Success,
13,Eten,glofiish X500,https://www.gsmarena.com/eten_glofiish_x500-1764.php,https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif,Success,
14,Eten,M550,https://www.gsmarena.com/eten_m550-1848.php,https://fdn2.gsmarena.com/vv/bigpic/eten-m550.gif,Success,
15,Eten,G500+,https://www.gsmarena.com/eten_g500+-1655.php,https://fdn2.gsmarena.com/vv/bigpic/eten-g500p.gif,Success,
16,Eten,M600+,https://www.gsmarena.com/eten_m600+-1582.php,https://fdn2.gsmarena.com/vv/bigpic/eten-m600p.gif,Success,
17,Eten,G500,https://www.gsmarena.com/eten_g500-1418.php,https://fdn2.gsmarena.com/vv/bigpic/eten-g500.gif,Success,
18,Eten,M600,https://www.gsmarena.com/eten_m600-1337.php,https://fdn2.gsmarena.com/vv/bigpic/eten-m600.gif,Success,
19,Eten,M500,https://www.gsmarena.com/eten_m500-1223.php,https://fdn2.gsmarena.com/vv/bigpic/eten-m500.gif,Success,
20,Eten,P300B,https://www.gsmarena.com/eten_p300b-1224.php,https://fdn2.gsmarena.com/vv/bigpic/eten-p300b.gif,Success,
21,Eten,P700,https://www.gsmarena.com/eten_p700-1226.php,https://fdn2.gsmarena.com/vv/bigpic/eten-p700.gif,Success,
22,Eten,P300,https://www.gsmarena.com/eten_p300-1225.php,https://fdn2.gsmarena.com/vv/bigpic/eten-p300.gif,Success,
