STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Gigabyte,GSmart Essence 4,https://www.gsmarena.com/gigabyte_gsmart_essence_4-7703.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence4.jpg,Success,
2,Gigabyte,GSmart Classic Lite,https://www.gsmarena.com/gigabyte_gsmart_classic_lite-7702.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic-lite.jpg,Success,
3,Gigabyte,GSmart Essence,https://www.gsmarena.com/gigabyte_gsmart_essence-7701.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence.jpg,Success,
4,Gigabyte,GSmart Classic,https://www.gsmarena.com/gigabyte_gsmart_classic-7700.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg,Success,
5,Gigabyte,GSmart Guru GX,https://www.gsmarena.com/gigabyte_gsmart_guru_gx-6985.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-gx.jpg,Success,
6,Gigabyte,GSmart Mika MX,https://www.gsmarena.com/gigabyte_gsmart_mika_mx-6988.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-mx.jpg,Success,
7,Gigabyte,GSmart Roma RX,https://www.gsmarena.com/gigabyte_gsmart_roma_rx-6989.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-rx.jpg,Success,
8,Gigabyte,GSmart Akta A4,https://www.gsmarena.com/gigabyte_gsmart_akta_a4-6832.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Akta-A4.jpg,Success,
9,Gigabyte,GSmart Mika M3,https://www.gsmarena.com/gigabyte_gsmart_mika_m3-6797.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Mika-M4.jpg,Success,
10,Gigabyte,GSmart GX2,https://www.gsmarena.com/gigabyte_gsmart_gx2-6587.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-gx2.jpg,Success,
11,Gigabyte,GSmart Guru (White Edition),https://www.gsmarena.com/gigabyte_gsmart_guru_(white_edition)-6586.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-white.jpg,Success,
12,Gigabyte,GSmart T4 (Lite Edition),https://www.gsmarena.com/gigabyte_gsmart_t4_(lite_edition)-6585.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-t4-lite.jpg,Success,
13,Gigabyte,GSmart Arty A3,https://www.gsmarena.com/gigabyte_gsmart_arty_a3-6584.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-a3.jpg,Success,
14,Gigabyte,GSmart Mika M2,https://www.gsmarena.com/gigabyte_gsmart_mika_m2-6583.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-m2.jpg,Success,
15,Gigabyte,GSmart T4,https://www.gsmarena.com/gigabyte_gsmart_t4-6335.php,https://fdn2.gsmarena.com/vv/bigpic/GSmart-T4.jpg,Success,
16,Gigabyte,GSmart Saga S3,https://www.gsmarena.com/gigabyte_gsmart_saga_s3-6334.php,https://fdn2.gsmarena.com/vv/bigpic/GSmart-Saga-S3.jpg,Success,
17,Gigabyte,GSmart Rey R3,https://www.gsmarena.com/gigabyte_gsmart_rey_r3-6211.php,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Rey-R3.jpg,Success,
18,Gigabyte,GSmart Guru,https://www.gsmarena.com/gigabyte_gsmart_guru-5807.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru.jpg,Success,
19,Gigabyte,GSmart Alto A2,https://www.gsmarena.com/gigabyte_gsmart_alto_a2-5809.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-alto-a2.jpg,Success,
20,Gigabyte,GSmart Roma R2,https://www.gsmarena.com/gigabyte_gsmart_roma_r2-5808.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-r2.jpg,Success,
21,Gigabyte,GSmart Aku A1,https://www.gsmarena.com/gigabyte_gsmart_aku_a1-5610.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-aku-a1.jpg,Success,
22,Gigabyte,GSmart Tuku T2,https://www.gsmarena.com/gigabyte_gsmart_tuku_t2-5611.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-tuku-t2.jpg,Success,
23,Gigabyte,GSmart Maya M1 v2,https://www.gsmarena.com/gigabyte_gsmart_maya_m1_v2-5551.php,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Maya-M1-v2-new.jpg,Success,
24,Gigabyte,GSmart Sierra S1,https://www.gsmarena.com/gigabyte_gsmart_sierra_s1-5516.php,https://fdn2.gsmarena.com/vv/bigpic/GSmart-Sierra-new.jpg,Success,
25,Gigabyte,GSmart Simba SX1,https://www.gsmarena.com/gigabyte_gsmart_simba_sx1-5515.php,https://fdn2.gsmarena.com/vv/bigpic/GSmart-Simba-new.jpg,Success,
26,Gigabyte,GSmart Maya M1,https://www.gsmarena.com/gigabyte_gsmart_maya_m1-5401.php,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Maya-M1.jpg,Success,
27,Gigabyte,GSmart Rio R1,https://www.gsmarena.com/gigabyte_gsmart_rio_r1-5400.php,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Rio-R1.jpg,Success,
28,Gigabyte,GSmart GS202,https://www.gsmarena.com/gigabyte_gsmart_gs202-5174.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-gs202.jpg,Success,
29,Gigabyte,GSmart G1362,https://www.gsmarena.com/gigabyte_gsmart_g1362-4935.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-g1362.jpg,Success,
30,Gigabyte,GSmart G1355,https://www.gsmarena.com/gigabyte_gsmart_g1355-4547.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g1355.jpg,Success,
31,Gigabyte,GSmart G1345,https://www.gsmarena.com/gigabyte_gsmart_g1345-4190.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-g1345.jpg,Success,
32,Gigabyte,GSmart G1342 Houston,https://www.gsmarena.com/gigabyte_gsmart_g1342_houston-4637.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-houston-g1342.jpg,Success,
33,Gigabyte,GSmart M3447,https://www.gsmarena.com/gigabyte_gsmart_m3447-3763.php,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-M3447.jpg,Success,
34,Gigabyte,GSmart G1310,https://www.gsmarena.com/gigabyte_gsmart_g1310-3720.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g1310.jpg,Success,
