STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Gionee,G13 Pro,https://www.gsmarena.com/gionee_g13_pro-11339.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-g13-pro.jpg,Success,
2,Gionee,P15,https://www.gsmarena.com/gionee_p15-11027.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-p15.jpg,Success,
3,Gionee,Smartwatch 7,https://www.gsmarena.com/gionee_smartwatch_7-10957.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-smartwatch-7.jpg,Success,
4,Gionee,M15,https://www.gsmarena.com/gionee_m15-10931.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-m15.jpg,Success,
5,Gionee,M3,https://www.gsmarena.com/gionee_m3-10835.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-m3.jpg,Success,
6,Gionee,P15 Pro,https://www.gsmarena.com/gionee_p15_pro-10814.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-p15-pro.jpg,Success,
7,Gionee,Max Pro,https://www.gsmarena.com/gionee_max_pro-10757.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-max-pro.jpg,Success,
8,Gionee,K30 Pro,https://www.gsmarena.com/gionee_k30_pro-10628.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-k30-pro.jpg,Success,
9,Gionee,P12,https://www.gsmarena.com/gionee_p12-10638.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-p12.jpg,Success,
10,Gionee,M12,https://www.gsmarena.com/gionee_m12-10600.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-m12-.jpg,Success,
11,Gionee,S12 Lite,https://www.gsmarena.com/gionee_s12_lite-10477.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-s12-lite.jpg,Success,
12,Gionee,S12,https://www.gsmarena.com/gionee_s12-10534.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-s12.jpg,Success,
13,Gionee,M30,https://www.gsmarena.com/gionee_m30-10392.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-m30.jpg,Success,
14,Gionee,Max,https://www.gsmarena.com/gionee_max-10391.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-max.jpg,Success,
