STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Google,Pixel 11 Pro Fold,https://www.gsmarena.com/google_pixel_11_pro_fold-14874.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-11-pro-fold.jpg,Success,
2,Google,Pixel 11 Pro XL,https://www.gsmarena.com/google_pixel_11_pro_xl_5g-14800.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-11-pro-xl.jpg,Success,
3,Google,Pixel 11 Pro,https://www.gsmarena.com/google_pixel_11_pro_5g-14801.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-11-pro.jpg,Success,
4,Google,Pixel 11,https://www.gsmarena.com/google_pixel_11_5g-14799.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-11.jpg,Success,
5,Google,Pixel Watch 5,https://www.gsmarena.com/google_pixel_watch_5-14860.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-watch5-1.jpg,Success,
6,Google,Pixel 10a,https://www.gsmarena.com/google_pixel_10a_5g-14474.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10a.jpg,Success,
7,Google,Pixel 10 Pro Fold,https://www.gsmarena.com/google_pixel_10_pro_fold-14014.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10-pro-fold--.jpg,Success,
8,Google,Pixel 10 Pro XL,https://www.gsmarena.com/google_pixel_10_pro_xl_5g-13988.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10-pro-xl-.jpg,Success,
9,Google,Pixel 10 Pro,https://www.gsmarena.com/google_pixel_10_pro_5g-13987.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10-pro-.jpg,Success,
10,Google,Pixel 10,https://www.gsmarena.com/google_pixel_10_5g-13979.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10-.jpg,Success,
11,Google,Pixel Watch 4,https://www.gsmarena.com/google_pixel_watch_4-14088.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-watch4.jpg,Success,
12,Google,Pixel 9a,https://www.gsmarena.com/google_pixel_9a-13478.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-9a.jpg,Success,
13,Google,Pixel 9 Pro XL,https://www.gsmarena.com/google_pixel_9_pro_xl-13217.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-9-pro-xl-.jpg,Success,
14,Google,Pixel 9 Pro,https://www.gsmarena.com/google_pixel_9_pro-13218.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-9-pro-.jpg,Success,
15,Google,Pixel 9,https://www.gsmarena.com/google_pixel_9-13219.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-9-.jpg,Success,
16,Google,Pixel 9 Pro Fold,https://www.gsmarena.com/google_pixel_9_pro_fold-13220.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-9-pro-fold-.jpg,Success,
17,Google,Pixel Watch 3,https://www.gsmarena.com/google_pixel_watch_3-13253.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-watch3-.jpg,Success,
18,Google,Pixel 8a,https://www.gsmarena.com/google_pixel_8a-12937.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-8a.jpg,Success,
19,Google,Pixel 8 Pro,https://www.gsmarena.com/google_pixel_8_pro-12545.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-8-pro.jpg,Success,
20,Google,Pixel 8,https://www.gsmarena.com/google_pixel_8-12546.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-8.jpg,Success,
