STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Haier,C300,https://www.gsmarena.com/haier_c300-9170.php,https://fdn2.gsmarena.com/vv/bigpic/haier-c300.jpg,Success,
2,Haier,Hurricane,https://www.gsmarena.com/haier_hurricane-9169.php,https://fdn2.gsmarena.com/vv/bigpic/haier-hurricane.jpg,Success,
3,Haier,G8,https://www.gsmarena.com/haier_g8-9057.php,https://fdn2.gsmarena.com/vv/bigpic/haier-g8.jpg,Success,
4,Haier,L8,https://www.gsmarena.com/haier_l8-9055.php,https://fdn2.gsmarena.com/vv/bigpic/haier-l8.jpg,Success,
5,Haier,I6,https://www.gsmarena.com/haier_i6-9056.php,https://fdn2.gsmarena.com/vv/bigpic/haier-l6.jpg,Success,
6,Haier,L7,https://www.gsmarena.com/haier_l7-9048.php,https://fdn2.gsmarena.com/vv/bigpic/haier-l7.jpg,Success,
7,Haier,G7,https://www.gsmarena.com/haier_g7-9049.php,https://fdn2.gsmarena.com/vv/bigpic/haier-g7.jpg,Success,
8,Haier,G51,https://www.gsmarena.com/haier_g51-9050.php,https://fdn2.gsmarena.com/vv/bigpic/haier-g51-.jpg,Success,
9,Haier,U69,https://www.gsmarena.com/haier_u69-3389.php,https://fdn2.gsmarena.com/vv/bigpic/haier-u69.jpg,Success,
10,Haier,U60,https://www.gsmarena.com/haier_u60-3388.php,https://fdn2.gsmarena.com/vv/bigpic/haier-u60.jpg,Success,
11,Haier,U56,https://www.gsmarena.com/haier_u56-3387.php,https://fdn2.gsmarena.com/vv/bigpic/haier-u56.jpg,Success,
12,Haier,U53,https://www.gsmarena.com/haier_u53-3386.php,https://fdn2.gsmarena.com/vv/bigpic/haier-u53.jpg,Success,
13,Haier,K3,https://www.gsmarena.com/haier_k3-3385.php,https://fdn2.gsmarena.com/vv/bigpic/haier-k3.jpg,Success,
14,Haier,A66,https://www.gsmarena.com/haier_a66-3384.php,https://fdn2.gsmarena.com/vv/bigpic/haier-u66.jpg,Success,
15,Haier,V730,https://www.gsmarena.com/haier_v730-3383.php,https://fdn2.gsmarena.com/vv/bigpic/haier-v730.jpg,Success,
16,Haier,V700,https://www.gsmarena.com/haier_v700-3382.php,https://fdn2.gsmarena.com/vv/bigpic/haier-v700.jpg,Success,
17,Haier,M320+,https://www.gsmarena.com/haier_m320+-3381.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m320-plus.jpg,Success,
18,Haier,M306,https://www.gsmarena.com/haier_m306-3380.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m306.jpg,Success,
19,Haier,M300,https://www.gsmarena.com/haier_m300-3379.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m300.jpg,Success,
20,Haier,M180,https://www.gsmarena.com/haier_m180-3376.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m180.jpg,Success,
21,Haier,M160,https://www.gsmarena.com/haier_m160-3378.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m160.jpg,Success,
22,Haier,M150,https://www.gsmarena.com/haier_m150-3377.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m150.jpg,Success,
23,Haier,A7,https://www.gsmarena.com/haier_a7-1767.php,https://fdn2.gsmarena.com/vv/bigpic/haier-haiera7.gif,Success,
24,Haier,M600 Black Pearl,https://www.gsmarena.com/haier_m600_black_pearl-1742.php,https://fdn2.gsmarena.com/vv/bigpic/haier-blackpearl.gif,Success,
25,Haier,P8,https://www.gsmarena.com/haier_p8-1689.php,https://fdn2.gsmarena.com/vv/bigpic/haier-p8.gif,Success,
26,Haier,A600,https://www.gsmarena.com/haier_a600-1688.php,https://fdn2.gsmarena.com/vv/bigpic/haier-a600.gif,Success,
27,Haier,M2000,https://www.gsmarena.com/haier_m2000-1687.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m2000.gif,Success,
28,Haier,M1200,https://www.gsmarena.com/haier_m1200-1686.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m1200.gif,Success,
29,Haier,M1100,https://www.gsmarena.com/haier_m1100-1685.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m1100.gif,Success,
30,Haier,M1000,https://www.gsmarena.com/haier_m1000-1684.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m1000.gif,Success,
31,Haier,M80,https://www.gsmarena.com/haier_m80-1680.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m80.gif,Success,
32,Haier,M260,https://www.gsmarena.com/haier_m260-1679.php,https://fdn2.gsmarena.com/vv/bigpic/haier-m260.gif,Success,
33,Haier,N90,https://www.gsmarena.com/haier_n90-1678.php,https://fdn2.gsmarena.com/vv/bigpic/haier-n90.gif,Success,
34,Haier,N70,https://www.gsmarena.com/haier_n70-1674.php,https://fdn2.gsmarena.com/vv/bigpic/haier-n70.gif,Success,
35,Haier,N60,https://www.gsmarena.com/haier_n60-1192.php,https://fdn2.gsmarena.com/vv/bigpic/haier-n60.gif,Success,
36,Haier,T3000,https://www.gsmarena.com/haier_t3000-1176.php,https://fdn2.gsmarena.com/vv/bigpic/haier-t3000.gif,Success,
37,Haier,V280,https://www.gsmarena.com/haier_v280-1175.php,https://fdn2.gsmarena.com/vv/bigpic/haier-v280.gif,Success,
38,Haier,F1100,https://www.gsmarena.com/haier_f1100-1016.php,https://fdn2.gsmarena.com/vv/bigpic/haf1100.gif,Success,
39,Haier,L1000,https://www.gsmarena.com/haier_l1000-1015.php,https://fdn2.gsmarena.com/vv/bigpic/hal1000.gif,Success,
40,Haier,P7,https://www.gsmarena.com/haier_p7-939.php,https://fdn2.gsmarena.com/vv/bigpic/hap7.gif,Success,
41,Haier,V7000,https://www.gsmarena.com/haier_v7000-977.php,https://fdn2.gsmarena.com/vv/bigpic/hav7000.gif,Success,
42,Haier,V6200,https://www.gsmarena.com/haier_v6200-976.php,https://fdn2.gsmarena.com/vv/bigpic/hav6200.gif,Success,
43,Haier,V6100,https://www.gsmarena.com/haier_v6100-975.php,https://fdn2.gsmarena.com/vv/bigpic/hav6100.gif,Success,
44,Haier,V6000,https://www.gsmarena.com/haier_v6000-842.php,https://fdn2.gsmarena.com/vv/bigpic/hav6000.gif,Success,
45,Haier,P6,https://www.gsmarena.com/haier_p6-837.php,https://fdn2.gsmarena.com/vv/bigpic/hap6.gif,Success,
46,Haier,V2000,https://www.gsmarena.com/haier_v2000-841.php,https://fdn2.gsmarena.com/vv/bigpic/hav2000.gif,Success,
47,Haier,V200,https://www.gsmarena.com/haier_v200-974.php,https://fdn2.gsmarena.com/vv/bigpic/hav200.gif,Success,
48,Haier,V190,https://www.gsmarena.com/haier_v190-973.php,https://fdn2.gsmarena.com/vv/bigpic/hav190.gif,Success,
49,Haier,V160,https://www.gsmarena.com/haier_v160-972.php,https://fdn2.gsmarena.com/vv/bigpic/hav160.gif,Success,
50,Haier,V100,https://www.gsmarena.com/haier_v100-839.php,https://fdn2.gsmarena.com/vv/bigpic/hav100.gif,Success,
51,Haier,Z300,https://www.gsmarena.com/haier_z300-971.php,https://fdn2.gsmarena.com/vv/bigpic/haz300.gif,Success,
52,Haier,Z100,https://www.gsmarena.com/haier_z100-970.php,https://fdn2.gsmarena.com/vv/bigpic/haz100.gif,Success,
53,Haier,V1000,https://www.gsmarena.com/haier_v1000-840.php,https://fdn2.gsmarena.com/vv/bigpic/hav1000.gif,Success,
54,Haier,P5,https://www.gsmarena.com/haier_p5-836.php,https://fdn2.gsmarena.com/vv/bigpic/hap5.gif,Success,
55,Haier,Z7100,https://www.gsmarena.com/haier_z7100-968.php,https://fdn2.gsmarena.com/vv/bigpic/haz7100.gif,Success,
56,Haier,Z7000,https://www.gsmarena.com/haier_z7000-969.php,https://fdn2.gsmarena.com/vv/bigpic/haz7000.gif,Success,
57,Haier,Z3000,https://www.gsmarena.com/haier_z3000-966.php,https://fdn2.gsmarena.com/vv/bigpic/haz3000.gif,Success,
58,Haier,Z8000,https://www.gsmarena.com/haier_z8000-838.php,https://fdn2.gsmarena.com/vv/bigpic/haz8000.gif,Success,
59,Haier,D6000,https://www.gsmarena.com/haier_d6000-835.php,https://fdn2.gsmarena.com/vv/bigpic/had6000.gif,Success,
