STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,HMD,102,https://www.gsmarena.com/hmd_102-14914.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-102.jpg,Success,
2,HMD,Asha 305 Lite,https://www.gsmarena.com/hmd_asha_305_lite-14832.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-asha-305.jpg,Success,
3,HMD,Arc 2,https://www.gsmarena.com/hmd_arc_2-14788.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-arc2.jpg,Success,
4,HMD,Vibe2,https://www.gsmarena.com/hmd_vibe_2_5g-14668.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-vibe2-5g.jpg,Success,
5,HMD,Luma,https://www.gsmarena.com/hmd_luma-14517.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-luma.jpg,Success,
6,HMD,Terra M,https://www.gsmarena.com/hmd_terra_m-14480.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-terra-m.jpg,Success,
7,HMD,Watch X1,https://www.gsmarena.com/hmd_watch_x1-14447.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-watch-x1.jpg,Success,
8,HMD,Watch P1,https://www.gsmarena.com/hmd_watch_p1-14448.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-watch-p1.jpg,Success,
9,HMD,101,https://www.gsmarena.com/hmd_101-14349.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-101.jpg,Success,
10,HMD,100,https://www.gsmarena.com/hmd_100-14348.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-100.jpg,Success,
11,HMD,Touch 4G,https://www.gsmarena.com/hmd_touch_4g-14208.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-touch.jpg,Success,
12,HMD,Ivalo XE,https://www.gsmarena.com/hmd_ivalo_xe_5g-14207.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-ivalo-xe.jpg,Success,
13,HMD,Vibe,https://www.gsmarena.com/hmd_vibe_5g-14145.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-vibe-5g.jpg,Success,
14,HMD,102 4G,https://www.gsmarena.com/hmd_102_4g-14147.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-102-4g.jpg,Success,
15,HMD,101 4G,https://www.gsmarena.com/hmd_101_4g-14146.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-101-4g.jpg,Success,
16,HMD,3210,https://www.gsmarena.com/hmd_3210-13714.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-fcb-3210.jpg,Success,
17,HMD,2660 Flip,https://www.gsmarena.com/hmd_2660_flip-13690.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-2660-flip.jpg,Success,
18,HMD,150 Music,https://www.gsmarena.com/hmd_150_music-13689.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-150-music-2025.jpg,Success,
19,HMD,130 Music,https://www.gsmarena.com/hmd_130_music-13687.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-130-music-2025.jpg,Success,
20,HMD,Aura 2,https://www.gsmarena.com/hmd_aura_2-13661.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-aura2.jpg,Success,
21,HMD,Key,https://www.gsmarena.com/hmd_key-13605.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-key.jpg,Success,
22,HMD,Arc,https://www.gsmarena.com/hmd_arc-13576.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-arc.jpg,Success,
23,HMD,105 4G,https://www.gsmarena.com/hmd_105_4g-13337.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-105-4g.jpg,Success,
24,HMD,110 4G,https://www.gsmarena.com/hmd_110_4g-13336.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-110-4g-.jpg,Success,
25,HMD,Fusion,https://www.gsmarena.com/hmd_fusion-13304.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-fusion.jpg,Success,
26,HMD,Barbie,https://www.gsmarena.com/hmd_barbie-13254.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-barbie.jpg,Success,
27,HMD,Crest Max,https://www.gsmarena.com/hmd_crest_max-13235.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-crest-max.jpg,Success,
28,HMD,Crest,https://www.gsmarena.com/hmd_crest-13234.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-crest-.jpg,Success,
29,HMD,Skyline,https://www.gsmarena.com/hmd_skyline-13153.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-skyline.jpg,Success,
30,HMD,110,https://www.gsmarena.com/hmd_110-13168.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-110.jpg,Success,
31,HMD,105,https://www.gsmarena.com/hmd_105-13169.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-105.jpg,Success,
32,HMD,Aura,https://www.gsmarena.com/hmd_aura-13048.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-aura.jpg,Success,
33,HMD,T21,https://www.gsmarena.com/hmd_t21-13005.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-t21.jpg,Success,
34,HMD,XR21,https://www.gsmarena.com/hmd_xr21-13004.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-xr21.jpg,Success,
35,HMD,Vibe 4G,https://www.gsmarena.com/hmd_vibe-12957.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-vibe.jpg,Success,
36,HMD,Pulse Pro,https://www.gsmarena.com/hmd_pulse_pro-12952.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-pro.jpg,Success,
37,HMD,Pulse+,https://www.gsmarena.com/hmd_pulse+-12956.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-plus-.jpg,Success,
38,HMD,Pulse,https://www.gsmarena.com/hmd_pulse-12939.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-.jpg,Success,
39,HMD,Pulse 2 Pro,https://www.gsmarena.com/hmd_pulse_2_pro-14106.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse2-pro.jpg,Success,
40,HMD,Bold,https://www.gsmarena.com/hmd_bold-13996.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-plus-.jpg,Success,
