STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Honor,Play20A,https://www.gsmarena.com/honor_play20a-14897.php,https://fdn2.gsmarena.com/vv/bigpic/honor-play-20a.jpg,Success,
2,Honor,X7e Plus 4G,https://www.gsmarena.com/honor_x7e_plus-14896.php,https://fdn2.gsmarena.com/vv/bigpic/honor-x7e-plus-4g.jpg,Success,
3,Honor,Turbo,https://www.gsmarena.com/honor_turbo_5g-14881.php,https://fdn2.gsmarena.com/vv/bigpic/honor-turbo.jpg,Success,
4,Honor,Robot Phone,https://www.gsmarena.com/honor_robot_phone_5g-14827.php,https://fdn2.gsmarena.com/vv/bigpic/honor-robot-phone.jpg,Success,
5,Honor,Pad 20 Pro,https://www.gsmarena.com/honor_pad_20_pro-14889.php,https://fdn2.gsmarena.com/vv/bigpic/honor-pad20-pro.jpg,Success,
6,Honor,X6e,https://www.gsmarena.com/honor_x6e-14843.php,https://fdn2.gsmarena.com/vv/bigpic/honor-x6e-.jpg,Success,
7,Honor,X7e Plus,https://www.gsmarena.com/honor_x7e_plus_5g-14834.php,https://fdn2.gsmarena.com/vv/bigpic/honor-x7e-plus.jpg,Success,
8,Honor,Watch 6 Plus,https://www.gsmarena.com/honor_watch_6_plus-14817.php,https://fdn2.gsmarena.com/vv/bigpic/honor-watch-6-plus.jpg,Success,
9,Honor,X80 Pro Max,https://www.gsmarena.com/honor_x80_pro_max_5g-14718.php,https://fdn2.gsmarena.com/vv/bigpic/honor-x80-pro-max.jpg,Success,
10,Honor,600 Smart,https://www.gsmarena.com/honor_600_smart_5g-14738.php,https://fdn2.gsmarena.com/vv/bigpic/honor-600-smart-5g.jpg,Success,
11,Honor,Watch 6,https://www.gsmarena.com/honor_watch_6-14737.php,https://fdn2.gsmarena.com/vv/bigpic/honor-watch-6.jpg,Success,
12,Honor,X70 Pro Max,https://www.gsmarena.com/honor_x70_pro_max_5g-14729.php,https://fdn2.gsmarena.com/vv/bigpic/honor-x70-pro-max.jpg,Success,
13,Honor,Play10,https://www.gsmarena.com/honor_play10_5g-14713.php,https://fdn2.gsmarena.com/vv/bigpic/honor-play10-5g.jpg,Success,
14,Honor,Win Turbo,https://www.gsmarena.com/honor_win_turbo_5g-14684.php,https://fdn2.gsmarena.com/vv/bigpic/honor-win-turbo-.jpg,Success,
