STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,HP,Elite x3,https://www.gsmarena.com/hp_elite_x3-7954.php,https://fdn2.gsmarena.com/vv/bigpic/hp-elite-x3-new.jpg,Success,
2,HP,Slate 17,https://www.gsmarena.com/hp_slate_17-7030.php,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-17.jpg,Success,
3,HP,Pro Slate 12,https://www.gsmarena.com/hp_pro_slate_12-6963.php,https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-12.jpg,Success,
4,HP,Pro Slate 10 EE G1,https://www.gsmarena.com/hp_pro_slate_10_ee_g1-6964.php,https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-10-ee.jpg,Success,
5,HP,Pro Slate 8,https://www.gsmarena.com/hp_pro_slate_8-6962.php,https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-8-new.jpg,Success,
6,HP,Slate6 VoiceTab II,https://www.gsmarena.com/hp_slate6_voicetab_ii-6831.php,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-6-voicetab-ii.jpg,Success,
7,HP,10 Plus,https://www.gsmarena.com/hp_10_plus-6811.php,https://fdn2.gsmarena.com/vv/bigpic/hp-10-plus-2201er.jpg,Success,
8,HP,7 VoiceTab,https://www.gsmarena.com/hp_7_voicetab-6784.php,https://fdn2.gsmarena.com/vv/bigpic/hp-7-voicetab-1351ra.jpg,Success,
9,HP,7 Plus,https://www.gsmarena.com/hp_7_plus-6377.php,https://fdn2.gsmarena.com/vv/bigpic/hp-7-plus.jpg,Success,
10,HP,8,https://www.gsmarena.com/hp_8-6199.php,https://fdn2.gsmarena.com/vv/bigpic/hp-8.jpg,Success,
11,HP,Slate7 VoiceTab Ultra,https://www.gsmarena.com/hp_slate7_voicetab_ultra-7013.php,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-voicetab-ultra.jpg,Success,
12,HP,Slate7 VoiceTab,https://www.gsmarena.com/hp_slate7_voicetab-5971.php,https://fdn2.gsmarena.com/vv/bigpic/HP-Slate7-VoiceTab1.jpg,Success,
13,HP,Slate6 VoiceTab,https://www.gsmarena.com/hp_slate6_voicetab-5970.php,https://fdn2.gsmarena.com/vv/bigpic/HP-Slate6-VoiceTab.jpg,Success,
14,HP,Slate8 Pro,https://www.gsmarena.com/hp_slate8_pro-5885.php,https://fdn2.gsmarena.com/vv/bigpic/hp-slate8-pro.jpg,Success,
15,HP,Slate10 HD,https://www.gsmarena.com/hp_slate10_hd-5884.php,https://fdn2.gsmarena.com/vv/bigpic/hp-slate10-hd.jpg,Success,
16,HP,Slate7 Extreme,https://www.gsmarena.com/hp_slate7_extreme-5883.php,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-extreme.jpg,Success,
17,HP,Slate7 Plus,https://www.gsmarena.com/hp_slate7_plus-5882.php,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-plus.jpg,Success,
18,HP,Slate 7,https://www.gsmarena.com/hp_slate_7-5317.php,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-7-new.jpg,Success,
19,HP,TouchPad 4G,https://www.gsmarena.com/hp_touchpad_4g-4044.php,https://fdn2.gsmarena.com/vv/bigpic/hp-touchpad-4g.jpg,Success,
20,HP,Veer 4G,https://www.gsmarena.com/hp_veer_4g-3943.php,https://fdn2.gsmarena.com/vv/bigpic/hp-veer-4g-new.jpg,Success,
21,HP,Veer,https://www.gsmarena.com/hp_veer-3771.php,https://fdn2.gsmarena.com/vv/bigpic/hp-veer-ofic.jpg,Success,
22,HP,Pre 3 CDMA,https://www.gsmarena.com/hp_pre_3_cdma-4105.php,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-3-ofic.jpg,Success,
23,HP,Pre 3,https://www.gsmarena.com/hp_pre_3-3770.php,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-3-ofic.jpg,Success,
24,HP,TouchPad,https://www.gsmarena.com/hp_touchpad-3839.php,https://fdn2.gsmarena.com/vv/bigpic/hp-touch-pad-new.jpg,Success,
25,HP,iPAQ Glisten,https://www.gsmarena.com/hp_ipaq_glisten-3036.php,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq-glisten.jpg,Success,
26,HP,iPAQ Voice Messenger,https://www.gsmarena.com/hp_ipaq_voice_messenger-2561.php,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq-voice-messenger.jpg,Success,
27,HP,iPAQ Data Messenger,https://www.gsmarena.com/hp_ipaq_data_messenger-2560.php,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq-data-messenger.jpg,Success,
28,HP,iPAQ 910c,https://www.gsmarena.com/hp_ipaq_910c-2095.php,https://fdn2.gsmarena.com/vv/bigpic/hp-910c.jpg,Success,
29,HP,iPAQ 610c,https://www.gsmarena.com/hp_ipaq_610c-2094.php,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq600.gif,Success,
30,HP,iPAQ 514,https://www.gsmarena.com/hp_ipaq_514-1900.php,https://fdn2.gsmarena.com/vv/bigpic/hp-514.gif,Success,
31,HP,iPAQ rw6815,https://www.gsmarena.com/hp_ipaq_rw6815-1803.php,https://fdn2.gsmarena.com/vv/bigpic/hp-rw6815.gif,Success,
32,HP,iPAQ rw6828,https://www.gsmarena.com/hp_ipaq_rw6828-1606.php,https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif,Success,
33,HP,iPAQ rw6818,https://www.gsmarena.com/hp_ipaq_rw6818-1607.php,https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif,Success,
34,HP,iPAQ hw6915,https://www.gsmarena.com/hp_ipaq_hw6915-1459.php,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif,Success,
35,HP,iPAQ hw6910,https://www.gsmarena.com/hp_ipaq_hw6910-1720.php,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif,Success,
36,HP,iPAQ hw6515,https://www.gsmarena.com/hp_ipaq_hw6515-1312.php,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6515.gif,Success,
37,HP,iPAQ hw6510,https://www.gsmarena.com/hp_ipaq_hw6510-1313.php,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6510.gif,Success,
38,HP,iPAQ h6325,https://www.gsmarena.com/hp_ipaq_h6325-1310.php,https://fdn2.gsmarena.com/vv/bigpic/hp-h6325.gif,Success,
39,HP,iPAQ h6320,https://www.gsmarena.com/hp_ipaq_h6320-1311.php,https://fdn2.gsmarena.com/vv/bigpic/hp-h6320.gif,Success,
40,HP,iPAQ h6315,https://www.gsmarena.com/hp_ipaq_h6315-1309.php,https://fdn2.gsmarena.com/vv/bigpic/hp-h6315.gif,Success,
41,HP,iPAQ h6310,https://www.gsmarena.com/hp_ipaq_h6310-1308.php,https://fdn2.gsmarena.com/vv/bigpic/hp-h6310.gif,Success,
