STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,HTC,Wildfire E7 Plus,https://www.gsmarena.com/htc_wildfire_e7_plus-14717.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e7-plus.jpg,Success,
2,HTC,Wildfire E5 Life,https://www.gsmarena.com/htc_wildfire_e5_life-14222.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e5-life.jpg,Success,
3,HTC,Wildfire E6,https://www.gsmarena.com/htc_wildfire_e6-14070.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e6.jpg,Success,
4,HTC,Wildfire E6 Star,https://www.gsmarena.com/htc_wildfire_e6_star-14069.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e6-star-.jpg,Success,
5,HTC,Wildfire E4 Plus,https://www.gsmarena.com/htc_wildfire_e4_plus-14068.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e4-plus.jpg,Success,
6,HTC,Wildfire E5,https://www.gsmarena.com/htc_wildfire_e5-14067.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e5.jpg,Success,
7,HTC,Wildfire E5 Plus,https://www.gsmarena.com/htc_wildfire_e5_plus-13719.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e5-plus.jpg,Success,
8,HTC,U24 Pro,https://www.gsmarena.com/htc_u24_pro-13138.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u24-pro.jpg,Success,
9,HTC,A101 Plus,https://www.gsmarena.com/htc_a101_plus-12975.php,https://fdn2.gsmarena.com/vv/bigpic/htc-a101-plus.jpg,Success,
10,HTC,A104,https://www.gsmarena.com/htc_a104-12976.php,https://fdn2.gsmarena.com/vv/bigpic/htc-a104.jpg,Success,
11,HTC,Wildfire E star,https://www.gsmarena.com/htc_wildfire_e_star-12454.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e-star.jpg,Success,
12,HTC,U23,https://www.gsmarena.com/htc_u23-12427.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u23.jpg,Success,
13,HTC,U23 Pro,https://www.gsmarena.com/htc_u23_pro-12269.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u23-pro.jpg,Success,
14,HTC,A103 Plus,https://www.gsmarena.com/htc_a103_plus-12522.php,https://fdn2.gsmarena.com/vv/bigpic/htc-a103-plus.jpg,Success,
15,HTC,A103,https://www.gsmarena.com/htc_a103-12523.php,https://fdn2.gsmarena.com/vv/bigpic/htc-a103.jpg,Success,
16,HTC,A102,https://www.gsmarena.com/htc_a102-12524.php,https://fdn2.gsmarena.com/vv/bigpic/htc-a102.jpg,Success,
17,HTC,A101,https://www.gsmarena.com/htc_a101-12525.php,https://fdn2.gsmarena.com/vv/bigpic/htc-a101.jpg,Success,
18,HTC,Wildfire E2 Play,https://www.gsmarena.com/htc_wildfire_e2_play-12232.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2-plus.jpg,Success,
19,HTC,Wildfire E3 lite,https://www.gsmarena.com/htc_wildfire_e3_lite-12221.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e3-lite.jpg,Success,
20,HTC,Wildfire E plus,https://www.gsmarena.com/htc_wildfire_e_plus-11948.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e-plus.jpg,Success,
21,HTC,Desire 22 Pro,https://www.gsmarena.com/htc_desire_22_pro-11642.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-22-pro.jpg,Success,
22,HTC,Wildfire E2 Plus,https://www.gsmarena.com/htc_wildfire_e2_plus-11266.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2-plus.jpg,Success,
23,HTC,Wildfire E3,https://www.gsmarena.com/htc_wildfire_e3-10790.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e3.jpg,Success,
24,HTC,Desire 21 Pro 5G,https://www.gsmarena.com/htc_desire_21_pro_5g-10681.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-21-pro-5g.jpg,Success,
25,HTC,Desire 20+,https://www.gsmarena.com/htc_desire_20+-10529.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-20-plus.jpg,Success,
26,HTC,Wildfire E1 lite,https://www.gsmarena.com/htc_wildfire_e1_lite-10594.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-lite-.jpg,Success,
27,HTC,Wildfire E2,https://www.gsmarena.com/htc_wildfire_e2-10357.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2.jpg,Success,
28,HTC,Wildfire E1 plus,https://www.gsmarena.com/htc_wildfire_e1_plus-10593.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-plus.jpg,Success,
29,HTC,Wildfire E1,https://www.gsmarena.com/htc_wildfire_e1-10592.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1.jpg,Success,
30,HTC,Wildfire E,https://www.gsmarena.com/htc_wildfire_e-10595.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e.jpg,Success,
31,HTC,U20 5G,https://www.gsmarena.com/htc_u20_5g-10298.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u20-5g.jpg,Success,
32,HTC,Desire 20 Pro,https://www.gsmarena.com/htc_desire_20_pro-10297.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire20-pro.jpg,Success,
33,HTC,Desire 19s,https://www.gsmarena.com/htc_desire_19s-9965.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-19s.jpg,Success,
34,HTC,Exodus 1s,https://www.gsmarena.com/htc_exodus_1s-9924.php,https://fdn2.gsmarena.com/vv/bigpic/htc-exodus-1s-.jpg,Success,
35,HTC,Wildfire X,https://www.gsmarena.com/htc_wildfire_x-9797.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-x-.jpg,Success,
36,HTC,U19e,https://www.gsmarena.com/htc_u19e-9735.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u19e.jpg,Success,
37,HTC,Desire 19+,https://www.gsmarena.com/htc_desire_19+-9734.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-19-plus-.jpg,Success,
38,HTC,Desire 12s,https://www.gsmarena.com/htc_desire_12s-9487.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12s-.jpg,Success,
39,HTC,Exodus 1,https://www.gsmarena.com/htc_exodus_1-9385.php,https://fdn2.gsmarena.com/vv/bigpic/htc-exodus-1-new.jpg,Success,
40,HTC,U12 life,https://www.gsmarena.com/htc_u12_life-9179.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u12-life.jpg,Success,
41,HTC,U12+,https://www.gsmarena.com/htc_u12+-9119.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u12-plus-.jpg,Success,
42,HTC,Desire 12+,https://www.gsmarena.com/htc_desire_12+-9102.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12-plus.jpg,Success,
43,HTC,Desire 12,https://www.gsmarena.com/htc_desire_12-9071.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12.jpg,Success,
44,HTC,U11 Eyes,https://www.gsmarena.com/htc_u11_eyes-8990.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u11-eyes-.jpg,Success,
45,HTC,U11+,https://www.gsmarena.com/htc_u11+-8908.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u11-plus-.jpg,Success,
46,HTC,U11 Life,https://www.gsmarena.com/htc_u11_life-8885.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u11-life-r1.jpg,Success,
47,HTC,U11,https://www.gsmarena.com/htc_u11-8630.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u11.jpg,Success,
48,HTC,One X10,https://www.gsmarena.com/htc_one_x10-8487.php,https://fdn2.gsmarena.com/vv/bigpic/htc-one-x10.jpg,Success,
49,HTC,U Ultra,https://www.gsmarena.com/htc_u_ultra-8519.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u-ultra.jpg,Success,
50,HTC,U Play,https://www.gsmarena.com/htc_u_play-8518.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u-play.jpg,Success,
51,HTC,10 evo,https://www.gsmarena.com/htc_10_evo-8404.php,https://fdn2.gsmarena.com/vv/bigpic/htc-10-evo.jpg,Success,
52,HTC,Desire 650,https://www.gsmarena.com/htc_desire_650-8444.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-650.jpg,Success,
53,HTC,Desire 10 Pro,https://www.gsmarena.com/htc_desire_10_pro-8277.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-10-pro.jpg,Success,
54,HTC,Desire 10 Compact,https://www.gsmarena.com/htc_desire_10_compact-8884.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-10-compact.jpg,Success,
55,HTC,One A9s,https://www.gsmarena.com/htc_one_a9s-8297.php,https://fdn2.gsmarena.com/vv/bigpic/htc-a9sr.jpg,Success,
56,HTC,Desire 10 Lifestyle,https://www.gsmarena.com/htc_desire_10_lifestyle-8276.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-10-lifestyle-new.jpg,Success,
57,HTC,Desire 728 Ultra,https://www.gsmarena.com/htc_desire_728_ultra-8633.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-728-ultra-edition.jpg,Success,
58,HTC,Desire 628,https://www.gsmarena.com/htc_desire_628-8128.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-628.jpg,Success,
59,HTC,One M9 Prime Camera,https://www.gsmarena.com/htc_one_m9_prime_camera-8086.php,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m9s-.jpg,Success,
60,HTC,Desire 830,https://www.gsmarena.com/htc_desire_830-8066.php,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-830.jpg,Success,
61,HTC,One S9,https://www.gsmarena.com/htc_one_s9-8072.php,https://fdn2.gsmarena.com/vv/bigpic/htc-s9.jpg,Success,
