STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Huawei,Watch 6 Pro,https://www.gsmarena.com/huawei_watch_6_pro-14925.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch6-pro.jpg,Success,
2,Huawei,Watch 6,https://www.gsmarena.com/huawei_watch_6-14924.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch6.jpg,Success,
3,Huawei,Watch D3,https://www.gsmarena.com/huawei_watch_d3-14926.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-d3.jpg,Success,
4,Huawei,nova 16s Pro,https://www.gsmarena.com/huawei_nova_16s_pro_5g-14922.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova16-pro-.jpg,Success,
5,Huawei,nova 16s,https://www.gsmarena.com/huawei_nova_16s_5g-14923.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova16-.jpg,Success,
6,Huawei,Watch GT 7 Pro,https://www.gsmarena.com/huawei_watch_gt_7_pro-14872.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt7-pro.jpg,Success,
7,Huawei,Watch GT 7,https://www.gsmarena.com/huawei_watch_gt_7-14873.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt7.jpg,Success,
8,Huawei,MatePad Pro 12 (2026),https://www.gsmarena.com/huawei_matepad_pro_12_(2026)-14864.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-pro-12-2026.jpg,Success,
9,Huawei,nova 16 SE,https://www.gsmarena.com/huawei_nova_16_se-14861.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova16-fe.jpg,Success,
10,Huawei,Pura 90s Pro Max,https://www.gsmarena.com/huawei_pura_90s_pro_max_5g-14794.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura-90s-pro-max.jpg,Success,
11,Huawei,Pura 90s Pro,https://www.gsmarena.com/huawei_pura_90s_pro_5g-14795.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura-90s-pro.jpg,Success,
12,Huawei,MatePad Air (2026),https://www.gsmarena.com/huawei_matepad_air_(2026)-14796.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-air-2026.jpg,Success,
13,Huawei,nova 16 Ultra,https://www.gsmarena.com/huawei_nova_16_ultra_5g-14698.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova16-ultra.jpg,Success,
14,Huawei,nova 16 Pro,https://www.gsmarena.com/huawei_nova_16_pro_5g-14699.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova16-pro-.jpg,Success,
15,Huawei,nova 16,https://www.gsmarena.com/huawei_nova_16_5g-14700.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova16-.jpg,Success,
16,Huawei,nova 16z,https://www.gsmarena.com/huawei_nova_16z_5g-14701.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova16z.jpg,Success,
17,Huawei,nova Y74,https://www.gsmarena.com/huawei_nova_y74-14703.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y74.jpg,Success,
18,Huawei,MatePad Pro Max,https://www.gsmarena.com/huawei_matepad_pro_max-14658.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-pro-max.jpg,Success,
19,Huawei,nova 15 Max,https://www.gsmarena.com/huawei_nova_15_max-14656.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-15-max.jpg,Success,
20,Huawei,Watch Ultimate Design Spring,https://www.gsmarena.com/huawei_watch_ultimate_design_spring-14657.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-ultimate-design-spring-edition.jpg,Success,
21,Huawei,Watch Buds 2,https://www.gsmarena.com/huawei_watch_buds_2-14664.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-buds2.jpg,Success,
22,Huawei,Pura X Max,https://www.gsmarena.com/huawei_pura_x_max_5g-14607.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura-x-max.jpg,Success,
23,Huawei,Pura 90 Pro Max,https://www.gsmarena.com/huawei_pura_90_pro_max_5g-14609.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura90-pro-max-new.jpg,Success,
24,Huawei,Pura 90 Pro,https://www.gsmarena.com/huawei_pura_90_pro_5g-14610.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura90-pro.jpg,Success,
25,Huawei,Pura 90,https://www.gsmarena.com/huawei_pura_90_5g-14612.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura90-new.jpg,Success,
26,Huawei,Watch Fit 5 Pro,https://www.gsmarena.com/huawei_watch_fit_5_pro-14614.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-fit5-pro.jpg,Success,
27,Huawei,Watch Fit 5,https://www.gsmarena.com/huawei_watch_fit_5-14613.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-fit5.jpg,Success,
28,Huawei,Enjoy 90 Pro Max,https://www.gsmarena.com/huawei_enjoy_90_pro_max-14553.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-90-pro-max.jpg,Success,
29,Huawei,Enjoy 90m Plus,https://www.gsmarena.com/huawei_enjoy_90m_plus-14587.php,https://fdn2.gsmarena.com/vv/bigpic/huawei_enjoy_90m_plus.jpg,Success,
30,Huawei,Enjoy 90 Plus,https://www.gsmarena.com/huawei_enjoy_90_plus-14554.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-90-plus.jpg,Success,
31,Huawei,Enjoy 90,https://www.gsmarena.com/huawei_enjoy_90-14556.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-90.jpg,Success,
32,Huawei,Mate 80 Pro Max Wind,https://www.gsmarena.com/huawei_mate_80_pro_max_wind_5g-14555.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-80-pro-max-wind.jpg,Success,
33,Huawei,Watch GT Runner 2,https://www.gsmarena.com/huawei_watch_gt_runner_2-14514.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-gt-runner2.jpg,Success,
34,Huawei,nova 15 Ultra,https://www.gsmarena.com/huawei_nova_15_ultra_5g-14370.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova15-ultra.jpg,Success,
35,Huawei,nova 15 Pro,https://www.gsmarena.com/huawei_nova_15_pro_5g-14371.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova15-pro.jpg,Success,
36,Huawei,nova 15,https://www.gsmarena.com/huawei_nova_15_5g-14372.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova15.jpg,Success,
37,Huawei,MatePad 11.5 (2026),https://www.gsmarena.com/huawei_matepad_11_5_(2026)-14375.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-11-5-2025.jpg,Success,
38,Huawei,Mate X7,https://www.gsmarena.com/huawei_mate_x7_5g-14314.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-x7.jpg,Success,
39,Huawei,Mate 80 RS Ultimate,https://www.gsmarena.com/huawei_mate_80_rs_ultimate_5g-14313.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-80-rs-ultimate.jpg,Success,
40,Huawei,Mate 80 Pro Max,https://www.gsmarena.com/huawei_mate_80_pro_max_5g-14310.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-80-pro-max.jpg,Success,
41,Huawei,Mate 80 Pro,https://www.gsmarena.com/huawei_mate_80_pro_5g-14311.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-80-pro.jpg,Success,
42,Huawei,Mate 80,https://www.gsmarena.com/huawei_mate_80_5g-14312.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-80.jpg,Success,
43,Huawei,MatePad Edge,https://www.gsmarena.com/huawei_matepad_edge-14316.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-edge.jpg,Success,
44,Huawei,Mate 70 Air,https://www.gsmarena.com/huawei_mate_70_air_5g-14283.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-70-air.jpg,Success,
45,Huawei,nova 14 Lite,https://www.gsmarena.com/huawei_nova_14_lite_5g-14241.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-14-energy-.jpg,Success,
46,Huawei,nova Flip S,https://www.gsmarena.com/huawei_nova_flip_s_5g-14240.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-s.jpg,Success,
47,Huawei,nova 14i,https://www.gsmarena.com/huawei_nova_14i-14193.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-14i.jpg,Success,
48,Huawei,Watch Ultimate 2,https://www.gsmarena.com/huawei_watch_ultimate_2-14166.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-ultimate2.jpg,Success,
49,Huawei,Watch GT 6 Pro,https://www.gsmarena.com/huawei_watch_gt_6_pro-14167.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt6-pro.jpg,Success,
50,Huawei,Watch GT 6,https://www.gsmarena.com/huawei_watch_gt_6-14168.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt6.jpg,Success,
51,Huawei,MatePad 12 X (2025),https://www.gsmarena.com/huawei_matepad_12_x_(2025)-14169.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-12x-2025.jpg,Success,
52,Huawei,Mate XTs Ultimate,https://www.gsmarena.com/huawei_mate_xts_ultimate_5g-14121.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-xts-ultimate.jpg,Success,
53,Huawei,MatePad Mini,https://www.gsmarena.com/huawei_matepad_mini_5g-14122.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-mini.jpg,Success,
54,Huawei,MatePad Air (2025),https://www.gsmarena.com/huawei_matepad_air_(2025)-14084.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-air-2025.jpg,Success,
55,Huawei,MatePad 11.5 S (2025),https://www.gsmarena.com/huawei_matepad_11_5_s_(2025)-14083.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-115-s-2025.jpg,Success,
56,Huawei,MatePad 11.5 (2025),https://www.gsmarena.com/huawei_matepad_11_5_(2025)-14008.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-11-5-2025.jpg,Success,
57,Huawei,Pura 80 Ultra,https://www.gsmarena.com/huawei_pura_80_ultra_5g-13944.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura80-ultra-.jpg,Success,
