STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Icemobile,G8 LTE,https://www.gsmarena.com/icemobile_g8_lte-8786.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8-.jpg,Success,
2,Icemobile,Mash,https://www.gsmarena.com/icemobile_mash-7982.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-mash.jpg,Success,
3,Icemobile,G8,https://www.gsmarena.com/icemobile_g8-7560.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8.jpg,Success,
4,Icemobile,Prime 5.0 Plus,https://www.gsmarena.com/icemobile_prime_5_0_plus-7040.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5-plus.jpg,Success,
5,Icemobile,Prime 5.0,https://www.gsmarena.com/icemobile_prime_5_0-7041.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5.jpg,Success,
6,Icemobile,Prime 4.0 Plus,https://www.gsmarena.com/icemobile_prime_4_0_plus-7039.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-4-plus.jpg,Success,
7,Icemobile,Gravity 4.0,https://www.gsmarena.com/icemobile_gravity_4_0-6810.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-gravity-40.jpg,Success,
8,Icemobile,Rock 2.4,https://www.gsmarena.com/icemobile_rock_2_4-6809.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-24.jpg,Success,
9,Icemobile,Prime 5.5,https://www.gsmarena.com/icemobile_prime_5_5-6618.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-55.jpg,Success,
10,Icemobile,Prime 3.5,https://www.gsmarena.com/icemobile_prime_3_5-6544.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-35.jpg,Success,
11,Icemobile,Prime 4.0,https://www.gsmarena.com/icemobile_prime_4_0-6361.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-4.jpg,Success,
12,Icemobile,Apollo Touch 3G,https://www.gsmarena.com/icemobile_apollo_touch_3g-6106.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch-3g.jpg,Success,
13,Icemobile,Apollo 3G,https://www.gsmarena.com/icemobile_apollo_3g-6105.php,https://fdn2.gsmarena.com/vv/bigpic/apollo-3g.jpg,Success,
14,Icemobile,G7 Pro,https://www.gsmarena.com/icemobile_g7_pro-6076.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g7-pro.jpg,Success,
15,Icemobile,G3,https://www.gsmarena.com/icemobile_g3-6075.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g3.jpg,Success,
16,Icemobile,Prime 4.5,https://www.gsmarena.com/icemobile_prime_4_5-6044.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-45.jpg,Success,
17,Icemobile,Charm II,https://www.gsmarena.com/icemobile_charm_ii-6043.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-charm2.jpg,Success,
18,Icemobile,G10,https://www.gsmarena.com/icemobile_g10-5976.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g10.jpg,Success,
19,Icemobile,Gravity Pro,https://www.gsmarena.com/icemobile_gravity_pro-5874.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-gravity-pro.jpg,Success,
20,Icemobile,Sol III,https://www.gsmarena.com/icemobile_sol_iii-5844.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-sol-3.jpg,Success,
21,Icemobile,Hydro,https://www.gsmarena.com/icemobile_hydro-5838.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-hydro.jpg,Success,
22,Icemobile,Rock Bold,https://www.gsmarena.com/icemobile_rock_bold-5738.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-bold.jpg,Success,
23,Icemobile,G2,https://www.gsmarena.com/icemobile_g2-5607.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g2.jpg,Success,
24,Icemobile,Gprime Extreme,https://www.gsmarena.com/icemobile_gprime_extreme-5538.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-gprime-extreme.jpg,Success,
25,Icemobile,G7,https://www.gsmarena.com/icemobile_g7-5393.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g7.jpg,Success,
26,Icemobile,G5,https://www.gsmarena.com/icemobile_g5-5260.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g51.jpg,Success,
27,Icemobile,Tropical 3,https://www.gsmarena.com/icemobile_tropical_3-5116.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-tropical3.jpg,Success,
28,Icemobile,Quattro,https://www.gsmarena.com/icemobile_quattro-5115.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-quattro.jpg,Success,
29,Icemobile,Prime Plus,https://www.gsmarena.com/icemobile_prime_plus-5101.php,https://fdn2.gsmarena.com/vv/bigpic/icemobile-galaxy-prime-plus.jpg,Success,
