STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Infinix,Hot 70 Pro,https://www.gsmarena.com/infinix_hot_70_pro_5g-14806.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-70-pro.jpg,Success,
2,Infinix,Hot 70,https://www.gsmarena.com/infinix_hot_70-14683.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot70-4g.jpg,Success,
3,Infinix,GT 50 Pro,https://www.gsmarena.com/infinix_gt_50_pro_5g-14497.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-gt50-pro.jpg,Success,
4,Infinix,Note 60 Ultra,https://www.gsmarena.com/infinix_note_60_ultra_5g-14528.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note60-ultra.jpg,Success,
5,Infinix,Note 60 Pro,https://www.gsmarena.com/infinix_note_60_pro_5g-14499.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note60-pro.jpg,Success,
6,Infinix,Note 60,https://www.gsmarena.com/infinix_note_60_5g-14498.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note60.jpg,Success,
7,Infinix,Smart 20,https://www.gsmarena.com/infinix_smart_20-14502.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart20.jpg,Success,
8,Infinix,Note Edge,https://www.gsmarena.com/infinix_note_edge_5g-14421.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note-edge.jpg,Success,
9,Infinix,Xpad 20 Pro,https://www.gsmarena.com/infinix_xpad_20_pro-14116.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-xpad-20-pro.jpg,Success,
10,Infinix,Hot 60i,https://www.gsmarena.com/infinix_hot_60i_5g-14072.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-60i-5g-official.jpg,Success,
11,Infinix,GT 30,https://www.gsmarena.com/infinix_gt_30_5g-14044.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-gt30-5g.jpg,Success,
12,Infinix,Hot 60,https://www.gsmarena.com/infinix_hot_60_5g-14006.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot60-5g.jpg,Success,
13,Infinix,Hot 60 Pro+,https://www.gsmarena.com/infinix_hot_60_pro+-14002.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-60-pro-plus.jpg,Success,
14,Infinix,Hot 60 Pro,https://www.gsmarena.com/infinix_hot_60_pro-14003.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-60-pro.jpg,Success,
15,Infinix,Hot 60i 4G,https://www.gsmarena.com/infinix_hot_60i-13983.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-60i.jpg,Success,
16,Infinix,Smart 10 HD,https://www.gsmarena.com/infinix_smart_10_hd-13954.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart10-hd.jpg,Success,
17,Infinix,Smart 10 Plus,https://www.gsmarena.com/infinix_smart_10_plus-13953.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-10-plus-.jpg,Success,
18,Infinix,Smart 10,https://www.gsmarena.com/infinix_smart_10-13933.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-10.jpg,Success,
19,Infinix,Xpad 20,https://www.gsmarena.com/infinix_xpad_20-13922.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-xpad20.jpg,Success,
20,Infinix,GT 30 Pro,https://www.gsmarena.com/infinix_gt_30_pro_5g-13889.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-gt30-pro.jpg,Success,
21,Infinix,Xpad GT,https://www.gsmarena.com/infinix_xpad_gt-13890.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-xpad-gt.jpg,Success,
22,Infinix,Note 50s,https://www.gsmarena.com/infinix_note_50s_5g-13793.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note-50s.jpg,Success,
23,Infinix,Note 50x,https://www.gsmarena.com/infinix_note_50x-13747.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note-50x.jpg,Success,
24,Infinix,Note 50 Pro+,https://www.gsmarena.com/infinix_note_50_pro+-13746.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note50-pro-plus-5g.jpg,Success,
25,Infinix,Note 50 Pro 4G,https://www.gsmarena.com/infinix_note_50_pro_4g-13701.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note50-pro.jpg,Success,
26,Infinix,Note 50 4G,https://www.gsmarena.com/infinix_note_50_4g-13705.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note50.jpg,Success,
27,Infinix,Smart 9 HD,https://www.gsmarena.com/infinix_smart_9_hd-13590.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-9-hd.jpg,Success,
