STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Intex,Aqua Craze,https://www.gsmarena.com/intex_aqua_craze-8040.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-craze.jpg,Success,
2,Intex,Aqua GenX,https://www.gsmarena.com/intex_aqua_genx-8039.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-genx.jpg,Success,
3,Intex,Aqua Ace,https://www.gsmarena.com/intex_aqua_ace-7651.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-ace.jpg,Success,
4,Intex,Aqua Trend,https://www.gsmarena.com/intex_aqua_trend-7563.php,https://fdn2.gsmarena.com/vv/bigpic/intel-aqua-trend.jpg,Success,
5,Intex,IRist Smartwatch,https://www.gsmarena.com/intex_irist_smartwatch-7462.php,https://fdn2.gsmarena.com/vv/bigpic/intex-watch.jpg,Success,
6,Intex,Aqua 4G+,https://www.gsmarena.com/intex_aqua_4g+-7359.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-4g.jpg,Success,
7,Intex,Aqua Xtreme II,https://www.gsmarena.com/intex_aqua_xtreme_ii-7358.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-xtreme-ii.jpg,Success,
8,Intex,Aqua Y2 Remote,https://www.gsmarena.com/intex_aqua_y2_remote-7304.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-y2-remote.jpg,Success,
9,Intex,Aqua Xtreme,https://www.gsmarena.com/intex_aqua_xtreme-7303.php,https://fdn2.gsmarena.com/vv/bigpic/intex-xtreme.jpg,Success,
10,Intex,Aqua Star L,https://www.gsmarena.com/intex_aqua_star_l-7302.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-star.jpg,Success,
11,Intex,Aqua Star 2,https://www.gsmarena.com/intex_aqua_star_2-7301.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-star2.jpg,Success,
12,Intex,Aqua Speed,https://www.gsmarena.com/intex_aqua_speed-7300.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-speed.jpg,Success,
13,Intex,Aqua Power,https://www.gsmarena.com/intex_aqua_power-7299.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-power.jpg,Success,
14,Intex,Aqua Power +,https://www.gsmarena.com/intex_aqua_power_+-7298.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-power-plus.jpg,Success,
15,Intex,Aqua 4.5E,https://www.gsmarena.com/intex_aqua_4_5e-7297.php,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-45e.jpg,Success,
