STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,itel,A100Cs,https://www.gsmarena.com/itel_a100cs-14816.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a100cs.jpg,Success,
2,itel,City 200s,https://www.gsmarena.com/itel_city_200s-14815.php,https://fdn2.gsmarena.com/vv/bigpic/itel-city-200s.jpg,Success,
3,itel,Power 80,https://www.gsmarena.com/itel_power_80-14814.php,https://fdn2.gsmarena.com/vv/bigpic/itel-power80.jpg,Success,
4,itel,A100 Pro,https://www.gsmarena.com/itel_a100_pro-14678.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a100-pro.jpg,Success,
5,itel,Zeno 100,https://www.gsmarena.com/itel_zeno_100-14533.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a100c.jpg,Success,
6,itel,A200+,https://www.gsmarena.com/itel_a200+-14477.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a200-plus.jpg,Success,
7,itel,A200,https://www.gsmarena.com/itel_a200-14478.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a200.jpg,Success,
8,itel,City 200,https://www.gsmarena.com/itel_city_200-14479.php,https://fdn2.gsmarena.com/vv/bigpic/itel-city-200-.jpg,Success,
9,itel,Zeno 20 Max,https://www.gsmarena.com/itel_zeno_20_max-14374.php,https://fdn2.gsmarena.com/vv/bigpic/itel-zeno-20-max.jpg,Success,
10,itel,VistaTab 10 mini,https://www.gsmarena.com/itel_vistatab_10_mini-14355.php,https://fdn2.gsmarena.com/vv/bigpic/itel-vistatab-10-mini.jpg,Success,
11,itel,VistaTab 30GT,https://www.gsmarena.com/itel_vistatab_30gt-14352.php,https://fdn2.gsmarena.com/vv/bigpic/itel-vistatab-30gt.jpg,Success,
12,itel,VistaTab 30 Pro,https://www.gsmarena.com/itel_vistatab_30_pro-14350.php,https://fdn2.gsmarena.com/vv/bigpic/itel-vistatab-30-pro.jpg,Success,
13,itel,TS Pro,https://www.gsmarena.com/itel_ts_pro-14223.php,https://fdn2.gsmarena.com/vv/bigpic/itel-ts-pro.jpg,Success,
14,itel,A100C,https://www.gsmarena.com/itel_a100c-14212.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a100c.jpg,Success,
15,itel,A100,https://www.gsmarena.com/itel_a100-14211.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a100.jpg,Success,
16,itel,A95,https://www.gsmarena.com/itel_a95_5g-14210.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a95-5g.jpg,Success,
17,itel,A90 Limited,https://www.gsmarena.com/itel_a90_limited-14209.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a90-limited.jpg,Success,
18,itel,Super 26 Ultra,https://www.gsmarena.com/itel_super_26_ultra-14128.php,https://fdn2.gsmarena.com/vv/bigpic/itel-super-26-ultra.jpg,Success,
19,itel,Zeno 20,https://www.gsmarena.com/itel_zeno_20-14096.php,https://fdn2.gsmarena.com/vv/bigpic/itel-zeno20.jpg,Success,
20,itel,City 100,https://www.gsmarena.com/itel_city_100-13853.php,https://fdn2.gsmarena.com/vv/bigpic/itel-city-100.jpg,Success,
21,itel,A90,https://www.gsmarena.com/itel_a90-13852.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a90.jpg,Success,
22,itel,Power 70,https://www.gsmarena.com/itel_power_70-13684.php,https://fdn2.gsmarena.com/vv/bigpic/itel-power70.jpg,Success,
23,itel,Zeno 10,https://www.gsmarena.com/itel_zeno_10-13618.php,https://fdn2.gsmarena.com/vv/bigpic/itel-zeno10.jpg,Success,
24,itel,S25 Ultra,https://www.gsmarena.com/itel_s25_ultra-13504.php,https://fdn2.gsmarena.com/vv/bigpic/itel-s25-ultra.jpg,Success,
25,itel,S25,https://www.gsmarena.com/itel_s25-13505.php,https://fdn2.gsmarena.com/vv/bigpic/itel-s25.jpg,Success,
26,itel,VistaTab 30,https://www.gsmarena.com/itel_vistatab_30-13344.php,https://fdn2.gsmarena.com/vv/bigpic/itel-vistatab-30.jpg,Success,
27,itel,A80,https://www.gsmarena.com/itel_a80-13343.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a80.jpg,Success,
28,itel,A50C,https://www.gsmarena.com/itel_a50c-13287.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a50c.jpg,Success,
29,itel,P65,https://www.gsmarena.com/itel_p65-13258.php,https://fdn2.gsmarena.com/vv/bigpic/itel-p65.jpg,Success,
30,itel,Color Pro,https://www.gsmarena.com/itel_color_pro-13626.php,https://fdn2.gsmarena.com/vv/bigpic/itel-color-pro-5g.jpg,Success,
31,itel,A50,https://www.gsmarena.com/itel_a50-13183.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a50.jpg,Success,
32,itel,RS4,https://www.gsmarena.com/itel_rs4-12930.php,https://fdn2.gsmarena.com/vv/bigpic/itel-rs4.jpg,Success,
33,itel,S24,https://www.gsmarena.com/itel_s24-12917.php,https://fdn2.gsmarena.com/vv/bigpic/itel-s24.jpg,Success,
34,itel,P55+,https://www.gsmarena.com/itel_p55+-12809.php,https://fdn2.gsmarena.com/vv/bigpic/itel-p55-plus.jpg,Success,
35,itel,P55,https://www.gsmarena.com/itel_p55-12808.php,https://fdn2.gsmarena.com/vv/bigpic/itel-p55.jpg,Success,
36,itel,A70,https://www.gsmarena.com/itel_a70-12704.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a70.jpg,Success,
37,itel,P55 5G,https://www.gsmarena.com/itel_p55_5g-12604.php,https://fdn2.gsmarena.com/vv/bigpic/itel-power-55.jpg,Success,
38,itel,S23+,https://www.gsmarena.com/itel_s23+-12571.php,https://fdn2.gsmarena.com/vv/bigpic/itel-s23-plus-.jpg,Success,
39,itel,S23,https://www.gsmarena.com/itel_s23-12478.php,https://fdn2.gsmarena.com/vv/bigpic/itel-s23.jpg,Success,
40,itel,S18 Pro,https://www.gsmarena.com/itel_s18_pro-12479.php,https://fdn2.gsmarena.com/vv/bigpic/itel-s18-pro.jpg,Success,
41,itel,P40+,https://www.gsmarena.com/itel_p40+-12480.php,https://fdn2.gsmarena.com/vv/bigpic/itel-p40-plus.jpg,Success,
42,itel,Pad One,https://www.gsmarena.com/itel_pad_one-12502.php,https://fdn2.gsmarena.com/vv/bigpic/itel-pad-one.jpg,Success,
43,itel,Smartwatch 2ES,https://www.gsmarena.com/itel_smartwatch_2es-12506.php,https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-2es.jpg,Success,
44,itel,Smart Watch 2,https://www.gsmarena.com/itel_smart_watch_2-12505.php,https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-2.jpg,Success,
45,itel,P40,https://www.gsmarena.com/itel_p40-12481.php,https://fdn2.gsmarena.com/vv/bigpic/itel-p40.jpg,Success,
46,itel,A60s,https://www.gsmarena.com/itel_a60s-12485.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a60s-.jpg,Success,
47,itel,A05s,https://www.gsmarena.com/itel_a05s-12486.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a05s.jpg,Success,
48,itel,S18,https://www.gsmarena.com/itel_s18-12487.php,https://fdn2.gsmarena.com/vv/bigpic/itel-s18.jpg,Success,
49,itel,P38 Pro,https://www.gsmarena.com/itel_p38_pro-12488.php,https://fdn2.gsmarena.com/vv/bigpic/itel-p38-pro.jpg,Success,
50,itel,P38,https://www.gsmarena.com/itel_p38-12489.php,https://fdn2.gsmarena.com/vv/bigpic/itel-p38.jpg,Success,
51,itel,A60,https://www.gsmarena.com/itel_a60-12490.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a60.jpg,Success,
52,itel,A04,https://www.gsmarena.com/itel_a04-12491.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a04.jpg,Success,
53,itel,Vision 3 Turbo,https://www.gsmarena.com/itel_vision_3_turbo-12492.php,https://fdn2.gsmarena.com/vv/bigpic/itel-vision-3-turbo.jpg,Success,
54,itel,Vision 3,https://www.gsmarena.com/itel_vision_3-12493.php,https://fdn2.gsmarena.com/vv/bigpic/itel-vision3.jpg,Success,
55,itel,A23S,https://www.gsmarena.com/itel_a23s-12494.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a23s.jpg,Success,
56,itel,A27,https://www.gsmarena.com/itel_a27-12495.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a27.jpg,Success,
57,itel,A49,https://www.gsmarena.com/itel_a49-12496.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a49.jpg,Success,
