STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Karbonn,Titanium Mach Two S360,https://www.gsmarena.com/karbonn_titanium_mach_two_s360-7236.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-mach-two.jpg,Success,
2,Karbonn,Titanium Wind W4,https://www.gsmarena.com/karbonn_titanium_wind_w4-7209.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-w4.jpg,Success,
3,Karbonn,Titanium S99,https://www.gsmarena.com/karbonn_titanium_s99-7210.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s99.jpg,Success,
4,Karbonn,Sparkle V,https://www.gsmarena.com/karbonn_sparkle_v-6687.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-sparkle-v.jpg,Success,
5,Karbonn,Titanium S19,https://www.gsmarena.com/karbonn_titanium_s19-6597.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s19.jpg,Success,
6,Karbonn,Smart A12 Star,https://www.gsmarena.com/karbonn_smart_a12_star-6530.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-smart-a12-star.jpg,Success,
7,Karbonn,Titanium S1 Plus,https://www.gsmarena.com/karbonn_titanium_s1_plus-6372.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s1-plus.jpg,Success,
8,Karbonn,Titanium Hexa,https://www.gsmarena.com/karbonn_titanium_hexa-6218.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-hexa.jpg,Success,
9,Karbonn,Titanium Octane Plus,https://www.gsmarena.com/karbonn_titanium_octane_plus-6219.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,Success,
10,Karbonn,Titanium Octane,https://www.gsmarena.com/karbonn_titanium_octane-6220.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,Success,
11,Karbonn,Titanium X,https://www.gsmarena.com/karbonn_titanium_x-5999.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-x.jpg,Success,
12,Karbonn,A16,https://www.gsmarena.com/karbonn_a16-6172.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a16.jpg,Success,
13,Karbonn,A12+,https://www.gsmarena.com/karbonn_a12+-5931.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a12-plus.jpg,Success,
14,Karbonn,Titanium S5 Plus,https://www.gsmarena.com/karbonn_titanium_s5_plus-5925.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s5-plus.jpg,Success,
15,Karbonn,S7 Titanium,https://www.gsmarena.com/karbonn_s7_titanium-5880.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s7.jpg,Success,
16,Karbonn,S9 Titanium,https://www.gsmarena.com/karbonn_s9_titanium-5645.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s9.jpg,Success,
17,Karbonn,A10,https://www.gsmarena.com/karbonn_a10-5644.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a10.jpg,Success,
18,Karbonn,A5,https://www.gsmarena.com/karbonn_a5-5643.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a5.jpg,Success,
19,Karbonn,A37,https://www.gsmarena.com/karbonn_a37-5522.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a37.jpg,Success,
20,Karbonn,A34,https://www.gsmarena.com/karbonn_a34-5521.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a34.jpg,Success,
21,Karbonn,A25,https://www.gsmarena.com/karbonn_a25-5520.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a25.jpg,Success,
22,Karbonn,A7 Star,https://www.gsmarena.com/karbonn_a7_star-5519.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a7.jpg,Success,
23,Karbonn,A4+,https://www.gsmarena.com/karbonn_a4+-5518.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a4plus.jpg,Success,
24,Karbonn,A2+,https://www.gsmarena.com/karbonn_a2+-5517.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a2plus.jpg,Success,
25,Karbonn,A27 Retina,https://www.gsmarena.com/karbonn_a27_retina-5508.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a27-retina.jpg,Success,
26,Karbonn,A111,https://www.gsmarena.com/karbonn_a111-5381.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a111.jpg,Success,
27,Karbonn,A6,https://www.gsmarena.com/karbonn_a6-5380.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a6.jpg,Success,
28,Karbonn,A4,https://www.gsmarena.com/karbonn_a4-5379.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a4.jpg,Success,
29,Karbonn,A3,https://www.gsmarena.com/karbonn_a3-5378.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a3.jpg,Success,
30,Karbonn,A2,https://www.gsmarena.com/karbonn_a2-5377.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a2.jpg,Success,
31,Karbonn,S5 Titanium,https://www.gsmarena.com/karbonn_s5_titanium-5374.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s5-titanium.jpg,Success,
32,Karbonn,S1 Titanium,https://www.gsmarena.com/karbonn_s1_titanium-5273.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s1.jpg,Success,
33,Karbonn,Smart Tab 9,https://www.gsmarena.com/karbonn_smart_tab_9-5219.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-st9.jpg,Success,
