STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Kyocera,DuraForce Pro 3,https://www.gsmarena.com/kyocera_duraforce_pro_3-13562.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro3.jpg,Success,
2,Kyocera,DuraSport UW,https://www.gsmarena.com/kyocera_durasport_uw-13563.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-durasport-uw.jpg,Success,
3,Kyocera,DuraSlate,https://www.gsmarena.com/kyocera_duraslate-13565.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-kc-t304c-duraslate.jpg,Success,
4,Kyocera,DuraForce Ultra,https://www.gsmarena.com/kyocera_duraforce_ultra-13564.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-ultra.jpg,Success,
5,Kyocera,DuraForce Pro 2,https://www.gsmarena.com/kyocera_duraforce_pro_2-9407.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro2.jpg,Success,
6,Kyocera,DuraForce Pro,https://www.gsmarena.com/kyocera_duraforce_pro-8268.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro.jpg,Success,
7,Kyocera,DuraForce XD,https://www.gsmarena.com/kyocera_duraforce_xd-7699.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-xd.jpg,Success,
8,Kyocera,DuraForce,https://www.gsmarena.com/kyocera_duraforce-6829.php,https://fdn2.gsmarena.com/vv/bigpic/Kyocera-DuraForce2.jpg,Success,
9,Kyocera,Hydro Life,https://www.gsmarena.com/kyocera_hydro_life-6598.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-life.jpg,Success,
10,Kyocera,Brigadier,https://www.gsmarena.com/kyocera_brigadier-6602.php,https://fdn2.gsmarena.com/vv/bigpic/Kyocera-Brigadier.jpg,Success,
11,Kyocera,Hydro Elite,https://www.gsmarena.com/kyocera_hydro_elite-5754.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-elite.jpg,Success,
12,Kyocera,Hydro Xtrm,https://www.gsmarena.com/kyocera_hydro_xtrm-5555.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-xtrm.jpg,Success,
13,Kyocera,Torque E6710,https://www.gsmarena.com/kyocera_torque_e6710-5270.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-torque-e6710.jpg,Success,
14,Kyocera,Hydro C5170,https://www.gsmarena.com/kyocera_hydro_c5170-4748.php,https://fdn2.gsmarena.com/vv/bigpic/huawei-hydro-c5170.jpg,Success,
15,Kyocera,Rise C5155,https://www.gsmarena.com/kyocera_rise_c5155-4747.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-rise-c5155.jpg,Success,
16,Kyocera,Milano C5121,https://www.gsmarena.com/kyocera_milano_c5121-4316.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-milano-c5121.jpg,Success,
17,Kyocera,Milano C5120,https://www.gsmarena.com/kyocera_milano_c5120-4314.php,https://fdn2.gsmarena.com/vv/bigpic/Kyocera-Milano.jpg,Success,
18,Kyocera,Presto S1350,https://www.gsmarena.com/kyocera_presto_s1350-4319.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-presto-s1350.jpg,Success,
19,Kyocera,Brio,https://www.gsmarena.com/kyocera_brio-4315.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-brio.jpg,Success,
20,Kyocera,Echo,https://www.gsmarena.com/kyocera_echo-3914.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-echo.jpg,Success,
21,Kyocera,DuraCore E4210,https://www.gsmarena.com/kyocera_duracore_e4210-4318.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-duracore-e4210.jpg,Success,
22,Kyocera,DuraMax,https://www.gsmarena.com/kyocera_duramax-4317.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-duramax.jpg,Success,
23,Kyocera,E4600,https://www.gsmarena.com/kyocera_e4600-3227.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-e4600.jpg,Success,
24,Kyocera,Solo E4000,https://www.gsmarena.com/kyocera_solo_e4000-3223.php,https://fdn2.gsmarena.com/vv/bigpic/Kyocera-Solo-E4000.jpg,Success,
25,Kyocera,E3500,https://www.gsmarena.com/kyocera_e3500-3224.php,https://fdn2.gsmarena.com/vv/bigpic/Kyocera-E3500.jpg,Success,
26,Kyocera,E2500,https://www.gsmarena.com/kyocera_e2500-3225.php,https://fdn2.gsmarena.com/vv/bigpic/Kyocera-E2500.jpg,Success,
27,Kyocera,S1600,https://www.gsmarena.com/kyocera_s1600-3226.php,https://fdn2.gsmarena.com/vv/bigpic/kyocera-s1600.jpg,Success,
28,Kyocera,TG 200,https://www.gsmarena.com/kyocera_tg_200-184.php,https://fdn2.gsmarena.com/vv/bigpic/kytg200b.gif,Success,
