STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Lava,Virat V1 Pro,https://www.gsmarena.com/lava_virat_v1_pro_5g-14901.php,https://fdn2.gsmarena.com/vv/bigpic/lava-virat-v1-pro.jpg,Success,
2,Lava,Virat V1,https://www.gsmarena.com/lava_virat_v1_5g-14831.php,https://fdn2.gsmarena.com/vv/bigpic/lava-virat-v1-5g.jpg,Success,
3,Lava,Virat V1 4G,https://www.gsmarena.com/lava_virat_v1-14830.php,https://fdn2.gsmarena.com/vv/bigpic/lava-smart-4-plus.jpg,Success,
4,Lava,Smart 4,https://www.gsmarena.com/lava_smart_4-14902.php,https://fdn2.gsmarena.com/vv/bigpic/lava-smart4.jpg,Success,
5,Lava,Smart 4 Plus,https://www.gsmarena.com/lava_smart_4_plus-14753.php,https://fdn2.gsmarena.com/vv/bigpic/lava-smart-4-plus.jpg,Success,
6,Lava,Shark 2,https://www.gsmarena.com/lava_shark_2_5g-14691.php,https://fdn2.gsmarena.com/vv/bigpic/lava-shark2-5g.jpg,Success,
7,Lava,Bold N2 Lite,https://www.gsmarena.com/lava_bold_n2_lite-14574.php,https://fdn2.gsmarena.com/vv/bigpic/lava-bold-n2-lite-.jpg,Success,
8,Lava,Bold N2 Pro,https://www.gsmarena.com/lava_bold_n2_pro-14570.php,https://fdn2.gsmarena.com/vv/bigpic/lava-bold-n2-pro.jpg,Success,
9,Lava,Yuva Star 3,https://www.gsmarena.com/lava_yuva_star_3-14486.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-star-3.jpg,Success,
10,Lava,Blaze Duo 3,https://www.gsmarena.com/lava_blaze_duo_3_5g-14428.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-duo3.jpg,Success,
11,Lava,Play Max,https://www.gsmarena.com/lava_play_max_5g-14344.php,https://fdn2.gsmarena.com/vv/bigpic/lava-play-max-.jpg,Success,
12,Lava,Agni 4,https://www.gsmarena.com/lava_agni_4_5g-14304.php,https://fdn2.gsmarena.com/vv/bigpic/lava-agni4.jpg,Success,
13,Lava,Bold N1,https://www.gsmarena.com/lava_bold_n1_5g-14136.php,https://fdn2.gsmarena.com/vv/bigpic/lava-bold-n1-5g.jpg,Success,
14,Lava,Play Ultra,https://www.gsmarena.com/lava_play_ultra_5g-14089.php,https://fdn2.gsmarena.com/vv/bigpic/lava-play-ultra.jpg,Success,
15,Lava,Blaze Amoled 2,https://www.gsmarena.com/lava_blaze_amoled_2_5g-14061.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-amoled2.jpg,Success,
16,Lava,Blaze Dragon,https://www.gsmarena.com/lava_blaze_dragon_5g-14025.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-dragon-5g.jpg,Success,
17,Lava,Storm Play,https://www.gsmarena.com/lava_storm_play_5g-13950.php,https://fdn2.gsmarena.com/vv/bigpic/lava-storm-play.jpg,Success,
18,Lava,Storm Lite,https://www.gsmarena.com/lava_storm_lite_5g-13949.php,https://fdn2.gsmarena.com/vv/bigpic/lava-storm-lite.jpg,Success,
19,Lava,Bold N1 Pro,https://www.gsmarena.com/lava_bold_n1_pro-13936.php,https://fdn2.gsmarena.com/vv/bigpic/lava-bold-n1-pro.jpg,Success,
20,Lava,Bold N1 4G,https://www.gsmarena.com/lava_bold_n1-13937.php,https://fdn2.gsmarena.com/vv/bigpic/lava-bold-n1.jpg,Success,
21,Lava,Shark,https://www.gsmarena.com/lava_shark_5g-13903.php,https://fdn2.gsmarena.com/vv/bigpic/lava-shark-5g.jpg,Success,
22,Lava,Yuva Star 2,https://www.gsmarena.com/lava_yuva_star_2-13838.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-star.jpg,Success,
23,Lava,Bold,https://www.gsmarena.com/lava_bold_5g-13775.php,https://fdn2.gsmarena.com/vv/bigpic/lava-bold-5g.jpg,Success,
24,Lava,Shark 4G,https://www.gsmarena.com/lava_shark-13758.php,https://fdn2.gsmarena.com/vv/bigpic/lava-shark.jpg,Success,
25,Lava,Prowatch V1,https://www.gsmarena.com/lava_prowatch_v1-13619.php,https://fdn2.gsmarena.com/vv/bigpic/lava-prowatch-v1.jpg,Success,
26,Lava,Yuva 2 5G,https://www.gsmarena.com/lava_yuva_2_5g-13594.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-2-5g.jpg,Success,
27,Lava,Blaze Duo,https://www.gsmarena.com/lava_blaze_duo-13560.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-duo-new.jpg,Success,
28,Lava,Yuva 4,https://www.gsmarena.com/lava_yuva_4-13526.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva4.jpg,Success,
29,Lava,Agni 3,https://www.gsmarena.com/lava_agni_3-13396.php,https://fdn2.gsmarena.com/vv/bigpic/lava-agni3.jpg,Success,
30,Lava,Blaze 3 5G,https://www.gsmarena.com/lava_blaze_3_5g-13340.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze3-5g.jpg,Success,
31,Lava,Yuva Star,https://www.gsmarena.com/lava_yuva_star-13249.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-star.jpg,Success,
32,Lava,Blaze X,https://www.gsmarena.com/lava_blaze_x-13197.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-x.jpg,Success,
33,Lava,Yuva 5G,https://www.gsmarena.com/lava_yuva_5g-13086.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-5g.jpg,Success,
34,Lava,Prowatch ZN,https://www.gsmarena.com/lava_prowatch_zn-12950.php,https://fdn2.gsmarena.com/vv/bigpic/lava-prowatch-zn-.jpg,Success,
35,Lava,Prowatch VN,https://www.gsmarena.com/lava_prowatch_vn-12951.php,https://fdn2.gsmarena.com/vv/bigpic/lava-prowatch-vn.jpg,Success,
36,Lava,O2,https://www.gsmarena.com/lava_o2-12891.php,https://fdn2.gsmarena.com/vv/bigpic/lava-o2.jpg,Success,
37,Lava,Blaze Curve,https://www.gsmarena.com/lava_blaze_curve-12859.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-curve-5g.jpg,Success,
38,Lava,Yuva 3,https://www.gsmarena.com/lava_yuva_3-12816.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-3.jpg,Success,
39,Lava,Storm,https://www.gsmarena.com/lava_storm-12753.php,https://fdn2.gsmarena.com/vv/bigpic/lava-storm-5g.jpg,Success,
40,Lava,Yuva 3 Pro,https://www.gsmarena.com/lava_yuva_3_pro-12742.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-3-pro.jpg,Success,
41,Lava,Blaze 2 5G,https://www.gsmarena.com/lava_blaze_2_5g-12668.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-2-5g.jpg,Success,
42,Lava,Blaze Pro 5G,https://www.gsmarena.com/lava_blaze_pro_5g-12724.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-pro-5g.jpg,Success,
43,Lava,Blaze 2 Pro,https://www.gsmarena.com/lava_blaze_2_pro-12552.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-2-pro.jpg,Success,
44,Lava,O1,https://www.gsmarena.com/lava_o1-14048.php,https://fdn2.gsmarena.com/vv/bigpic/lava-o1.jpg,Success,
45,Lava,Yuva 2,https://www.gsmarena.com/lava_yuva_2-12450.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-2.jpg,Success,
46,Lava,Agni 2,https://www.gsmarena.com/lava_agni_2-12271.php,https://fdn2.gsmarena.com/vv/bigpic/lava-agni2-5g.jpg,Success,
47,Lava,Blaze 1X,https://www.gsmarena.com/lava_blaze_1x-12247.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-1x-5g.jpg,Success,
48,Lava,Blaze 2,https://www.gsmarena.com/lava_blaze_2-12222.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-2.jpg,Success,
49,Lava,Yuva 2 Pro,https://www.gsmarena.com/lava_yuva_2_pro-12133.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-2-pro.jpg,Success,
50,Lava,X3,https://www.gsmarena.com/lava_x3-12040.php,https://fdn2.gsmarena.com/vv/bigpic/lava-x3-2022.jpg,Success,
51,Lava,Blaze Nxt,https://www.gsmarena.com/lava_blaze_nxt-12001.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-nxt.jpg,Success,
52,Lava,Yuva Pro,https://www.gsmarena.com/lava_yuva_pro-11928.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-pro.jpg,Success,
53,Lava,Yuva,https://www.gsmarena.com/lava_yuva-14047.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva.jpg,Success,
54,Lava,Blaze 5G,https://www.gsmarena.com/lava_blaze_5g-11916.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-5g.jpg,Success,
55,Lava,Blaze Pro,https://www.gsmarena.com/lava_blaze_pro-11892.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-pro.jpg,Success,
56,Lava,Blaze,https://www.gsmarena.com/lava_blaze-11657.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze.jpg,Success,
57,Lava,Z3 Pro,https://www.gsmarena.com/lava_z3_pro-12553.php,https://fdn2.gsmarena.com/vv/bigpic/lava-z3-pro.jpg,Success,
58,Lava,Z3,https://www.gsmarena.com/lava_z3-11421.php,https://fdn2.gsmarena.com/vv/bigpic/lava-z3.jpg,Success,
59,Lava,X2,https://www.gsmarena.com/lava_x2-11401.php,https://fdn2.gsmarena.com/vv/bigpic/lava-x2.jpg,Success,
60,Lava,Agni 5G,https://www.gsmarena.com/lava_agni_5g-11210.php,https://fdn2.gsmarena.com/vv/bigpic/lava-agni-5g.jpg,Success,
61,Lava,Z2s,https://www.gsmarena.com/lava_z2s-11024.php,https://fdn2.gsmarena.com/vv/bigpic/lava-z2s.jpg,Success,
62,Lava,Z2 Max,https://www.gsmarena.com/lava_z2_max-10902.php,https://fdn2.gsmarena.com/vv/bigpic/lava-z2-max.jpg,Success,
63,Lava,Z6,https://www.gsmarena.com/lava_z6-10666.php,https://fdn2.gsmarena.com/vv/bigpic/lava-z6.jpg,Success,
64,Lava,Z4,https://www.gsmarena.com/lava_z4-10667.php,https://fdn2.gsmarena.com/vv/bigpic/lava-z4.jpg,Success,
65,Lava,Z2,https://www.gsmarena.com/lava_z2-10668.php,https://fdn2.gsmarena.com/vv/bigpic/lava-z2.jpg,Success,
66,Lava,Z1,https://www.gsmarena.com/lava_z1-10669.php,https://fdn2.gsmarena.com/vv/bigpic/lava-z1.jpg,Success,
