STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Lenovo,Legion Y700 AI,https://www.gsmarena.com/lenovo_legion_y700_ai_5g-14904.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-ai.jpg,Success,
2,Lenovo,Legion Y900 13,https://www.gsmarena.com/lenovo_legion_y900_13-14778.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y900-13.jpg,Success,
3,Lenovo,Legion Y900 11,https://www.gsmarena.com/lenovo_legion_y900_11-14779.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y900-11.jpg,Success,
4,Lenovo,Tab Plus Gen 2,https://www.gsmarena.com/lenovo_tab_plus_gen_2-14733.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-plus-gen2.jpg,Success,
5,Lenovo,Legion Y70 (2026),https://www.gsmarena.com/lenovo_legion_y70_5g_(2026)-14666.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y70-2026.jpg,Success,
6,Lenovo,Idea Tab Pro Gen 2,https://www.gsmarena.com/lenovo_idea_tab_pro_gen_2-14575.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-idea-tab-pro-gen2.jpg,Success,
7,Lenovo,ThinkTab X11 Gen 1,https://www.gsmarena.com/lenovo_thinktab_x11_gen_1-14576.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-thinktab-x11.jpg,Success,
8,Lenovo,Legion Y700 (Gen 5),https://www.gsmarena.com/lenovo_legion_y700_(gen_5)-14549.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-gen5.jpg,Success,
9,Lenovo,Idea Tab Plus,https://www.gsmarena.com/lenovo_idea_tab_plus_5g-14214.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-idea-tab-plus.jpg,Success,
10,Lenovo,Idea Tab,https://www.gsmarena.com/lenovo_idea_tab_5g-14215.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-idea-tab.jpg,Success,
11,Lenovo,Yoga Tab,https://www.gsmarena.com/lenovo_yoga_tab-14213.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tab.jpg,Success,
12,Lenovo,Tab,https://www.gsmarena.com/lenovo_tab-14075.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab.jpg,Success,
13,Lenovo,Tab One,https://www.gsmarena.com/lenovo_tab_one-14073.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-k9.jpg,Success,
14,Lenovo,Legion Y700 (Gen 4),https://www.gsmarena.com/lenovo_legion_y700_(gen_4)-13993.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-gen4.jpg,Success,
15,Lenovo,Idea Tab Pro,https://www.gsmarena.com/lenovo_idea_tab_pro-13733.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-idea-tab-pro.jpg,Success,
16,Lenovo,Yoga Tab Plus,https://www.gsmarena.com/lenovo_yoga_tab_plus-13666.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tab-plus.jpg,Success,
17,Lenovo,Legion Y700 (2025),https://www.gsmarena.com/lenovo_legion_y700_(2025)-13438.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-tab-gen3.jpg,Success,
18,Lenovo,Legion Tab,https://www.gsmarena.com/lenovo_legion_tab-13266.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-2023.jpg,Success,
19,Lenovo,Tab K11 Plus,https://www.gsmarena.com/lenovo_tab_k11_plus-13186.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-k-11-plus.jpg,Success,
20,Lenovo,Tab Plus,https://www.gsmarena.com/lenovo_tab_plus-13164.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-plus.jpg,Success,
21,Lenovo,Tab M11,https://www.gsmarena.com/lenovo_tab_m11-12783.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m11.jpg,Success,
22,Lenovo,Legion Y700 (2023),https://www.gsmarena.com/lenovo_legion_y700_(2023)-12476.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-2023.jpg,Success,
23,Lenovo,Tab P12,https://www.gsmarena.com/lenovo_tab_p12-12443.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p12-new.jpg,Success,
24,Lenovo,Tab M10,https://www.gsmarena.com/lenovo_tab_m10-12425.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-5g-10.jpg,Success,
25,Lenovo,Tab Extreme,https://www.gsmarena.com/lenovo_tab_extreme-12071.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-extreme.jpg,Success,
26,Lenovo,Tab M9,https://www.gsmarena.com/lenovo_tab_m9-12052.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m9.jpg,Success,
27,Lenovo,Tab M8 (4th Gen),https://www.gsmarena.com/lenovo_tab_m8_(4th_gen)-12521.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-4th-gen.jpg,Success,
28,Lenovo,Tab P11 Gen 2,https://www.gsmarena.com/lenovo_tab_p11_gen_2-11842.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro-gen2.jpg,Success,
29,Lenovo,Tab P11 Pro Gen 2,https://www.gsmarena.com/lenovo_tab_p11_pro_gen_2-11841.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro-gen2.jpg,Success,
30,Lenovo,Tab M10 Gen 3,https://www.gsmarena.com/lenovo_tab_m10_gen_3-12162.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-gen3.jpg,Success,
