STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,LG,Ultra Tab,https://www.gsmarena.com/lg_ultra_tab-11751.php,https://fdn2.gsmarena.com/vv/bigpic/lg_ultratab.jpg,Success,
2,LG,W41 Pro,https://www.gsmarena.com/lg_w41_pro-10742.php,https://fdn2.gsmarena.com/vv/bigpic/lg-w41-pro.jpg,Success,
3,LG,W41+,https://www.gsmarena.com/lg_w41+-10743.php,https://fdn2.gsmarena.com/vv/bigpic/lg-w41-plus.jpg,Success,
4,LG,W41,https://www.gsmarena.com/lg_w41-10744.php,https://fdn2.gsmarena.com/vv/bigpic/lg-w41.jpg,Success,
5,LG,W31+,https://www.gsmarena.com/lg_w31+-10585.php,https://fdn2.gsmarena.com/vv/bigpic/lg-w31-plus.jpg,Success,
6,LG,W31,https://www.gsmarena.com/lg_w31-10586.php,https://fdn2.gsmarena.com/vv/bigpic/lg-w31.jpg,Success,
7,LG,W11,https://www.gsmarena.com/lg_w11-10587.php,https://fdn2.gsmarena.com/vv/bigpic/lg-w11.jpg,Success,
8,LG,K92 5G,https://www.gsmarena.com/lg_k92_5g-10564.php,https://fdn2.gsmarena.com/vv/bigpic/lg-k92-5g.jpg,Success,
9,LG,K62,https://www.gsmarena.com/lg_k62-10464.php,https://fdn2.gsmarena.com/vv/bigpic/lg-k62.jpg,Success,
10,LG,Q52,https://www.gsmarena.com/lg_q52-10558.php,https://fdn2.gsmarena.com/vv/bigpic/lg-q52.jpg,Success,
11,LG,K52,https://www.gsmarena.com/lg_k52-10463.php,https://fdn2.gsmarena.com/vv/bigpic/lg-k52.jpg,Success,
12,LG,K42,https://www.gsmarena.com/lg_k42-10459.php,https://fdn2.gsmarena.com/vv/bigpic/lg-k42.jpg,Success,
13,LG,K71,https://www.gsmarena.com/lg_k71-10458.php,https://fdn2.gsmarena.com/vv/bigpic/lg-stylo6.jpg,Success,
14,LG,Wing 5G,https://www.gsmarena.com/lg_wing_5g-10442.php,https://fdn2.gsmarena.com/vv/bigpic/lg-wing.jpg,Success,
15,LG,K22,https://www.gsmarena.com/lg_k22-10597.php,https://fdn2.gsmarena.com/vv/bigpic/lg-k22.jpg,Success,
