STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Maxwest,Nitro 55M,https://www.gsmarena.com/maxwest_nitro_55m-8540.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55-m.jpg,Success,
2,Maxwest,Nitro 55 LTE,https://www.gsmarena.com/maxwest_nitro_55_lte-8539.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55m.jpg,Success,
3,Maxwest,Nitro 5M,https://www.gsmarena.com/maxwest_nitro_5m-8538.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5m.jpg,Success,
4,Maxwest,Astro 5s,https://www.gsmarena.com/maxwest_astro_5s-8412.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-5s.jpg,Success,
5,Maxwest,Gravity 5 LTE,https://www.gsmarena.com/maxwest_gravity_5_lte-8021.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5-lte-.jpg,Success,
6,Maxwest,Astro X4,https://www.gsmarena.com/maxwest_astro_x4-7930.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x4.jpg,Success,
7,Maxwest,Astro X55,https://www.gsmarena.com/maxwest_astro_x55-7889.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x55.jpg,Success,
8,Maxwest,Vice,https://www.gsmarena.com/maxwest_vice-7873.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-vice.jpg,Success,
9,Maxwest,Gravity 5.5 LTE,https://www.gsmarena.com/maxwest_gravity_5_5_lte-7629.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-55-lte.jpg,Success,
10,Maxwest,Gravity 5,https://www.gsmarena.com/maxwest_gravity_5-7589.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5.jpg,Success,
11,Maxwest,Astro 6,https://www.gsmarena.com/maxwest_astro_6-7566.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-60.jpg,Success,
12,Maxwest,Astro X5,https://www.gsmarena.com/maxwest_astro_x5-7565.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x5.jpg,Success,
13,Maxwest,Astro 3.5,https://www.gsmarena.com/maxwest_astro_3_5-7564.php,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-35.jpg,Success,
