STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Micromax,In 2c,https://www.gsmarena.com/micromax_in_2c-11496.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2c.jpg,Success,
2,Micromax,In note 2,https://www.gsmarena.com/micromax_in_note_2-11332.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note2.jpg,Success,
3,Micromax,In 2b,https://www.gsmarena.com/micromax_in_2b-11036.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2b.jpg,Success,
4,Micromax,In 1,https://www.gsmarena.com/micromax_in_1-10800.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in1.jpg,Success,
5,Micromax,In note 1,https://www.gsmarena.com/micromax_in_note_1-10569.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note1.jpg,Success,
6,Micromax,In 1b,https://www.gsmarena.com/micromax_in_1b-10568.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-1b.jpg,Success,
7,Micromax,Infinity N12,https://www.gsmarena.com/micromax_infinity_n12-9515.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n12-.jpg,Success,
8,Micromax,Infinity N11,https://www.gsmarena.com/micromax_infinity_n11-9516.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n11-n8216.jpg,Success,
9,Micromax,Bharat 5 Infinity,https://www.gsmarena.com/micromax_bharat_5_infinity-9517.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-infinity-edition-q4204.jpg,Success,
10,Micromax,Bharat Go,https://www.gsmarena.com/micromax_bharat_go-9207.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-go-.jpg,Success,
11,Micromax,Canvas 1 2018,https://www.gsmarena.com/micromax_canvas_1_2018-9181.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-1-2018.jpg,Success,
12,Micromax,Canvas Infinity Life,https://www.gsmarena.com/micromax_canvas_infinity_life-9136.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-infinity-life.jpg,Success,
13,Micromax,Bharat 5 Pro,https://www.gsmarena.com/micromax_bharat_5_pro-9125.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-pro.jpg,Success,
14,Micromax,Bharat 5 Plus,https://www.gsmarena.com/micromax_bharat_5_plus-9054.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5.jpg,Success,
15,Micromax,Bharat 5,https://www.gsmarena.com/micromax_bharat_5-9053.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5.jpg,Success,
