STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Microsoft,Surface Duo 2,https://www.gsmarena.com/microsoft_surface_duo_2-11117.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo2.jpg,Success,
2,Microsoft,Surface Duo,https://www.gsmarena.com/microsoft_surface_duo-10365.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo.jpg,Success,
3,Microsoft,Lumia 650,https://www.gsmarena.com/microsoft_lumia_650-7859.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-650-s.jpg,Success,
4,Microsoft,Lumia 950 XL Dual SIM,https://www.gsmarena.com/microsoft_lumia_950_xl_dual_sim-7631.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg,Success,
5,Microsoft,Lumia 950 XL,https://www.gsmarena.com/microsoft_lumia_950_xl-7263.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg,Success,
6,Microsoft,Lumia 950 Dual SIM,https://www.gsmarena.com/microsoft_lumia_950_dual_sim-7632.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg,Success,
7,Microsoft,Lumia 950,https://www.gsmarena.com/microsoft_lumia_950-7262.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg,Success,
8,Microsoft,Lumia 550,https://www.gsmarena.com/microsoft_lumia_550-7612.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-550-.jpg,Success,
9,Microsoft,Lumia 540 Dual SIM,https://www.gsmarena.com/microsoft_lumia_540_dual_sim-7196.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-540-ds1.jpg,Success,
10,Microsoft,Lumia 430 Dual SIM,https://www.gsmarena.com/microsoft_lumia_430_dual_sim-7127.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-430.jpg,Success,
11,Microsoft,Lumia 640 XL LTE Dual SIM,https://www.gsmarena.com/microsoft_lumia_640_xl_lte_dual_sim-7086.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-4g-ds.jpg,Success,
12,Microsoft,Lumia 640 XL LTE,https://www.gsmarena.com/microsoft_lumia_640_xl_lte-7087.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-4g.jpg,Success,
13,Microsoft,Lumia 640 XL Dual SIM,https://www.gsmarena.com/microsoft_lumia_640_xl_dual_sim-7085.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-3g-ds.jpg,Success,
14,Microsoft,Lumia 640 XL,https://www.gsmarena.com/microsoft_lumia_640_xl-7084.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-3g.jpg,Success,
15,Microsoft,Lumia 640 LTE Dual SIM,https://www.gsmarena.com/microsoft_lumia_640_lte_dual_sim-7083.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-4g-ds.jpg,Success,
16,Microsoft,Lumia 640 LTE,https://www.gsmarena.com/microsoft_lumia_640_lte-7055.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-4g.jpg,Success,
