STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Mitac,MIO Explora K75,https://www.gsmarena.com/mitac_mio_explora_k75-2817.php,https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-k75.jpg,Success,
2,Mitac,MIO Explora K70,https://www.gsmarena.com/mitac_mio_explora_k70-2735.php,https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-k70.jpg,Success,
3,Mitac,MIO Leap G50,https://www.gsmarena.com/mitac_mio_leap_g50-3206.php,https://fdn2.gsmarena.com/vv/bigpic/mitak-mio-leap-g50.jpg,Success,
4,Mitac,MIO Leap K1,https://www.gsmarena.com/mitac_mio_leap_k1-3207.php,https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-leap-k1.jpg,Success,
5,Mitac,MIO A502,https://www.gsmarena.com/mitac_mio_a502-2159.php,https://fdn2.gsmarena.com/vv/bigpic/mio-a502.gif,Success,
6,Mitac,MIO A501,https://www.gsmarena.com/mitac_mio_a501-2122.php,https://fdn2.gsmarena.com/vv/bigpic/mio-a501.gif,Success,
7,Mitac,MIO A702,https://www.gsmarena.com/mitac_mio_a702-2109.php,https://fdn2.gsmarena.com/vv/bigpic/mio-a702.gif,Success,
8,Mitac,MIO A701,https://www.gsmarena.com/mitac_mio_a701-1261.php,https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-a701.gif,Success,
9,Mitac,MIO 8870,https://www.gsmarena.com/mitac_mio_8870-929.php,https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-8870.gif,Success,
10,Mitac,MIO 8860,https://www.gsmarena.com/mitac_mio_8860-726.php,https://fdn2.gsmarena.com/vv/bigpic/mtc8860.gif,Success,
11,Mitac,MIO 8390,https://www.gsmarena.com/mitac_mio_8390-590.php,https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-8390.gif,Success,
12,Mitac,MIO 8380,https://www.gsmarena.com/mitac_mio_8380-589.php,https://fdn2.gsmarena.com/vv/bigpic/mtc8380.gif,Success,
