STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Motorola,Edge 70 Plus,https://www.gsmarena.com/motorola_edge_70_plus_5g-14920.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-70-plus.jpg,Success,
2,Motorola,Watch Ultra,https://www.gsmarena.com/motorola_watch_ultra-14921.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-ultra-watch.jpg,Success,
3,Motorola,Moto Pad 70,https://www.gsmarena.com/motorola_moto_pad_70-14888.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-pad-70.jpg,Success,
4,Motorola,Moto G Max,https://www.gsmarena.com/motorola_moto_g_max_5g-14724.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-max.jpg,Success,
5,Motorola,Moto Pad 70 Groove,https://www.gsmarena.com/motorola_moto_pad_70_groove-14853.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-pad-70-groove.jpg,Success,
6,Motorola,Edge 70 Max,https://www.gsmarena.com/motorola_edge_70_max_5g-14789.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-70-max.jpg,Success,
7,Motorola,Moto G77 Power,https://www.gsmarena.com/motorola_moto_g77_power_5g-14772.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g77-power.jpg,Success,
8,Motorola,Moto Pad 70 Pro,https://www.gsmarena.com/motorola_moto_pad_70_pro-14756.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-pad-70-pro-wi-fi.jpg,Success,
9,Motorola,Edge (2026),https://www.gsmarena.com/motorola_edge_5g_(2026)-14705.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-2026.jpg,Success,
10,Motorola,Edge 70 Pro+,https://www.gsmarena.com/motorola_edge_70_pro+_5g-14702.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-70-pro-plus.jpg,Success,
11,Motorola,Moto G87,https://www.gsmarena.com/motorola_moto_g87_5g-14644.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-g87.jpg,Success,
12,Motorola,Moto G47,https://www.gsmarena.com/motorola_moto_g47-14645.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-g47.jpg,Success,
13,Motorola,Moto G37 Power,https://www.gsmarena.com/motorola_moto_g37_power-14647.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g37-power.jpg,Success,
14,Motorola,Moto G37,https://www.gsmarena.com/motorola_moto_g37-14646.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g37.jpg,Success,
15,Motorola,Razr Ultra 2026,https://www.gsmarena.com/motorola_razr_ultra_2026-14638.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-ultra-2026.jpg,Success,
16,Motorola,Razr 70 Ultra,https://www.gsmarena.com/motorola_razr_70_ultra-14641.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-ultra-2026.jpg,Success,
17,Motorola,Razr+ 2026,https://www.gsmarena.com/motorola_razr+_2026-14639.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-plus-2026.jpg,Success,
18,Motorola,Razr 70+,https://www.gsmarena.com/motorola_razr_70+-14642.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-plus-2026.jpg,Success,
19,Motorola,Razr 2026,https://www.gsmarena.com/motorola_razr_2026-14640.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-2026.jpg,Success,
20,Motorola,Razr 70,https://www.gsmarena.com/motorola_razr_70-14643.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-2026.jpg,Success,
21,Motorola,Edge 70 Pro,https://www.gsmarena.com/motorola_edge_70_pro_5g-14620.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-70-pro-.jpg,Success,
22,Motorola,Moto Pad (2026),https://www.gsmarena.com/motorola_moto_pad_(2026)-14582.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-pad-2026-.jpg,Success,
23,Motorola,Moto G Stylus (2026),https://www.gsmarena.com/motorola_moto_g_stylus_(2026)-14581.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-5g-2026-2.jpg,Success,
24,Motorola,Edge 70 Fusion+,https://www.gsmarena.com/motorola_edge_70_fusion+_5g-14540.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-70-fusion-plus.jpg,Success,
