STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,NEC,Terrain,https://www.gsmarena.com/nec_terrain-5553.php,https://fdn2.gsmarena.com/vv/bigpic/nec-terrain.jpg,Success,
2,NEC,804N,https://www.gsmarena.com/nec_804n-1611.php,https://fdn2.gsmarena.com/vv/bigpic/nec-804N.gif,Success,
3,NEC,e1108,https://www.gsmarena.com/nec_e1108-1927.php,https://fdn2.gsmarena.com/vv/bigpic/nec-e1108.gif,Success,
4,NEC,N344i,https://www.gsmarena.com/nec_n344i-1610.php,https://fdn2.gsmarena.com/vv/bigpic/nec-N344i.gif,Success,
5,NEC,e373,https://www.gsmarena.com/nec_e373-1603.php,https://fdn2.gsmarena.com/vv/bigpic/nec-e373.gif,Success,
6,NEC,e636,https://www.gsmarena.com/nec_e636-1476.php,https://fdn2.gsmarena.com/vv/bigpic/nec-e636.gif,Success,
7,NEC,N500i,https://www.gsmarena.com/nec_n500i-1475.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n500i.gif,Success,
8,NEC,N500iS,https://www.gsmarena.com/nec_n500is-1428.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n500is.gif,Success,
9,NEC,N908,https://www.gsmarena.com/nec_n908-1719.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n908.gif,Success,
10,NEC,N938,https://www.gsmarena.com/nec_n938-1374.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n938.gif,Success,
11,NEC,e353,https://www.gsmarena.com/nec_e353-1339.php,https://fdn2.gsmarena.com/vv/bigpic/nec-e353.gif,Success,
12,NEC,e121,https://www.gsmarena.com/nec_e121-1399.php,https://fdn2.gsmarena.com/vv/bigpic/nec-e121.gif,Success,
13,NEC,e122,https://www.gsmarena.com/nec_e122-1338.php,https://fdn2.gsmarena.com/vv/bigpic/nec-e122.gif,Success,
14,NEC,e949/L1,https://www.gsmarena.com/nec_e949_l1-1266.php,https://fdn2.gsmarena.com/vv/bigpic/nec-l1-e949.gif,Success,
15,NEC,N600i,https://www.gsmarena.com/nec_n600i-1329.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n600i.gif,Success,
16,NEC,e540/N411i,https://www.gsmarena.com/nec_e540_n411i-1094.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n411i-e540.gif,Success,
17,NEC,N401i,https://www.gsmarena.com/nec_n401i-1082.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n401i.gif,Success,
18,NEC,N343i,https://www.gsmarena.com/nec_n343i-1174.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n343i.gif,Success,
19,NEC,N900iG,https://www.gsmarena.com/nec_n900ig-967.php,https://fdn2.gsmarena.com/vv/bigpic/nen900g.gif,Success,
20,NEC,N200,https://www.gsmarena.com/nec_n200-1020.php,https://fdn2.gsmarena.com/vv/bigpic/nen200.gif,Success,
21,NEC,N160,https://www.gsmarena.com/nec_n160-995.php,https://fdn2.gsmarena.com/vv/bigpic/nen160.gif,Success,
22,NEC,N923,https://www.gsmarena.com/nec_n923-1025.php,https://fdn2.gsmarena.com/vv/bigpic/nen923.gif,Success,
23,NEC,N150,https://www.gsmarena.com/nec_n150-994.php,https://fdn2.gsmarena.com/vv/bigpic/nen150.gif,Success,
24,NEC,e238,https://www.gsmarena.com/nec_e238-945.php,https://fdn2.gsmarena.com/vv/bigpic/nee238.gif,Success,
25,NEC,N940,https://www.gsmarena.com/nec_n940-919.php,https://fdn2.gsmarena.com/vv/bigpic/nen940.gif,Success,
26,NEC,N930,https://www.gsmarena.com/nec_n930-1149.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n930.gif,Success,
27,NEC,N630,https://www.gsmarena.com/nec_n630-1238.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n630.gif,Success,
28,NEC,N850,https://www.gsmarena.com/nec_n850-1237.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n850.gif,Success,
29,NEC,N840,https://www.gsmarena.com/nec_n840-920.php,https://fdn2.gsmarena.com/vv/bigpic/nen840.gif,Success,
30,NEC,N750,https://www.gsmarena.com/nec_n750-1239.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n750.gif,Success,
31,NEC,802,https://www.gsmarena.com/nec_802-899.php,https://fdn2.gsmarena.com/vv/bigpic/ne802.gif,Success,
32,NEC,N500,https://www.gsmarena.com/nec_n500-937.php,https://fdn2.gsmarena.com/vv/bigpic/nen500.gif,Success,
33,NEC,N342i,https://www.gsmarena.com/nec_n342i-928.php,https://fdn2.gsmarena.com/vv/bigpic/nen342i.gif,Success,
34,NEC,e101,https://www.gsmarena.com/nec_e101-930.php,https://fdn2.gsmarena.com/vv/bigpic/nee101.gif,Success,
35,NEC,N110,https://www.gsmarena.com/nec_n110-873.php,https://fdn2.gsmarena.com/vv/bigpic/nen110.gif,Success,
36,NEC,N109,https://www.gsmarena.com/nec_n109-874.php,https://fdn2.gsmarena.com/vv/bigpic/nen109.gif,Success,
37,NEC,N100,https://www.gsmarena.com/nec_n100-878.php,https://fdn2.gsmarena.com/vv/bigpic/nen100.gif,Success,
38,NEC,N920,https://www.gsmarena.com/nec_n920-865.php,https://fdn2.gsmarena.com/vv/bigpic/nen920.gif,Success,
39,NEC,e338,https://www.gsmarena.com/nec_e338-858.php,https://fdn2.gsmarena.com/vv/bigpic/nee338.gif,Success,
40,NEC,N620,https://www.gsmarena.com/nec_n620-831.php,https://fdn2.gsmarena.com/vv/bigpic/nen620.gif,Success,
41,NEC,N610,https://www.gsmarena.com/nec_n610-830.php,https://fdn2.gsmarena.com/vv/bigpic/nen610.gif,Success,
42,NEC,e228,https://www.gsmarena.com/nec_e228-810.php,https://fdn2.gsmarena.com/vv/bigpic/nee228.gif,Success,
43,NEC,N410i,https://www.gsmarena.com/nec_n410i-809.php,https://fdn2.gsmarena.com/vv/bigpic/nen410i.gif,Success,
44,NEC,N400i,https://www.gsmarena.com/nec_n400i-712.php,https://fdn2.gsmarena.com/vv/bigpic/nen400i.gif,Success,
45,NEC,N331i,https://www.gsmarena.com/nec_n331i-713.php,https://fdn2.gsmarena.com/vv/bigpic/nen331i.gif,Success,
46,NEC,e313,https://www.gsmarena.com/nec_e313-671.php,https://fdn2.gsmarena.com/vv/bigpic/nee313.gif,Success,
47,NEC,N910,https://www.gsmarena.com/nec_n910-615.php,https://fdn2.gsmarena.com/vv/bigpic/nen910.gif,Success,
48,NEC,N900,https://www.gsmarena.com/nec_n900-646.php,https://fdn2.gsmarena.com/vv/bigpic/nen900.gif,Success,
49,NEC,N830,https://www.gsmarena.com/nec_n830-802.php,https://fdn2.gsmarena.com/vv/bigpic/nen830.gif,Success,
