STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,NIU,Andy C5.5E2I,https://www.gsmarena.com/niu_andy_c5_5e2i-7917.php,https://fdn2.gsmarena.com/vv/bigpic/niu-andy-c5.5e2i.jpg,Success,
2,NIU,Andy 3.5E2I,https://www.gsmarena.com/niu_andy_3_5e2i-7346.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-35E2I.jpg,Success,
3,NIU,Andy 4E2I,https://www.gsmarena.com/niu_andy_4e2i-7347.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-4E2I.jpg,Success,
4,NIU,Andy 5EI,https://www.gsmarena.com/niu_andy_5ei-7348.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-5EI.jpg,Success,
5,NIU,Andy 5T,https://www.gsmarena.com/niu_andy_5t-7349.php,https://fdn2.gsmarena.com/vv/bigpic/niu-5t.jpg,Success,
6,NIU,C21A,https://www.gsmarena.com/niu_c21a-7350.php,https://fdn2.gsmarena.com/vv/bigpic/NIU--C21A.jpg,Success,
7,NIU,F10,https://www.gsmarena.com/niu_f10-7351.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-F10.jpg,Success,
8,NIU,Z10,https://www.gsmarena.com/niu_z10-7352.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-Z10.jpg,Success,
9,NIU,Tek 5D,https://www.gsmarena.com/niu_tek_5d-7118.php,https://fdn2.gsmarena.com/vv/bigpic/niu-5d.jpg,Success,
10,NIU,Tek 4D2,https://www.gsmarena.com/niu_tek_4d2-6827.php,https://fdn2.gsmarena.com/vv/bigpic/niutek-4d2.jpg,Success,
11,NIU,Niutek 3.5D2,https://www.gsmarena.com/niu_niutek_3_5d2-6733.php,https://fdn2.gsmarena.com/vv/bigpic/niutek-35d2.jpg,Success,
12,NIU,GO 21,https://www.gsmarena.com/niu_go_21-6484.php,https://fdn2.gsmarena.com/vv/bigpic/niu-go-21.jpg,Success,
13,NIU,Niutek 4.5D,https://www.gsmarena.com/niu_niutek_4_5d-5992.php,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-45d.jpg,Success,
14,NIU,Niutek 4.0D,https://www.gsmarena.com/niu_niutek_4_0d-5991.php,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-4d-.jpg,Success,
15,NIU,Niutek 3.5D,https://www.gsmarena.com/niu_niutek_3_5d-5990.php,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-35d.jpg,Success,
16,NIU,GO 20,https://www.gsmarena.com/niu_go_20-5989.php,https://fdn2.gsmarena.com/vv/bigpic/niu-go-20.jpg,Success,
17,NIU,Niutek 3.5B,https://www.gsmarena.com/niu_niutek_3_5b-5514.php,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-3.jpg,Success,
18,NIU,LIV 10,https://www.gsmarena.com/niu_liv_10-5513.php,https://fdn2.gsmarena.com/vv/bigpic/niu-liv-10.jpg,Success,
19,NIU,GO 50,https://www.gsmarena.com/niu_go_50-5512.php,https://fdn2.gsmarena.com/vv/bigpic/niu-go-50.jpg,Success,
20,NIU,Niutek 3G 3.5 N209,https://www.gsmarena.com/niu_niutek_3g_3_5_n209-5085.php,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-3g-35.jpg,Success,
21,NIU,Niutek 3G 4.0 N309,https://www.gsmarena.com/niu_niutek_3g_4_0_n309-4927.php,https://fdn2.gsmarena.com/vv/bigpic/niu-niutek-3g-4.jpg,Success,
22,NIU,Pana 3G TV N206,https://www.gsmarena.com/niu_pana_3g_tv_n206-4926.php,https://fdn2.gsmarena.com/vv/bigpic/niu-panna-3g-tv.jpg,Success,
23,NIU,GO 80,https://www.gsmarena.com/niu_go_80-4819.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-domo2.jpg,Success,
24,NIU,Domo N102,https://www.gsmarena.com/niu_domo_n102-4672.php,https://fdn2.gsmarena.com/vv/bigpic/niu-domo.jpg,Success,
25,NIU,Bingo N103,https://www.gsmarena.com/niu_bingo_n103-4673.php,https://fdn2.gsmarena.com/vv/bigpic/niu-bingo.jpg,Success,
26,NIU,Lotto N104,https://www.gsmarena.com/niu_lotto_n104-4674.php,https://fdn2.gsmarena.com/vv/bigpic/niu-lotto.jpg,Success,
27,NIU,Pana N105,https://www.gsmarena.com/niu_pana_n105-4675.php,https://fdn2.gsmarena.com/vv/bigpic/niu-pana.jpg,Success,
28,NIU,Pana TV N106,https://www.gsmarena.com/niu_pana_tv_n106-4676.php,https://fdn2.gsmarena.com/vv/bigpic/niu-panatv.jpg,Success,
29,NIU,NiutekQ N108,https://www.gsmarena.com/niu_niutekq_n108-4677.php,https://fdn2.gsmarena.com/vv/bigpic/niu-tekq.jpg,Success,
30,NIU,Niutek N109,https://www.gsmarena.com/niu_niutek_n109-4678.php,https://fdn2.gsmarena.com/vv/bigpic/niu-tek.jpg,Success,
