STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Nokia,300 Charge,https://www.gsmarena.com/nokia_300_charge-14895.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-300-charge.jpg,Success,
2,Nokia,123 Shield,https://www.gsmarena.com/nokia_123_shield-14818.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-123-shield.jpg,Success,
3,Nokia,235 4G (2026),https://www.gsmarena.com/nokia_235_4g_2nd_edition-14773.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-235-4g-2nd-edition.jpg,Success,
4,Nokia,215 4G (2026),https://www.gsmarena.com/nokia_215_4g_2nd_edition-14774.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-215-4g-2nd-edition.jpg,Success,
5,Nokia,210 4G,https://www.gsmarena.com/nokia_210_4g-14775.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-210-4g.jpg,Success,
6,Nokia,200 4G,https://www.gsmarena.com/nokia_200_4g-14776.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-200-4g.jpg,Success,
7,Nokia,110 Power,https://www.gsmarena.com/nokia_110_power-14481.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-power.jpg,Success,
8,Nokia,150 Music,https://www.gsmarena.com/nokia_150_music-13688.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-150-music-2025.jpg,Success,
9,Nokia,130 Music,https://www.gsmarena.com/nokia_130_music-13686.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-130-music-2025.jpg,Success,
10,Nokia,110 4G 2nd Edition,https://www.gsmarena.com/nokia_110_4g_2nd_edition-13584.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g-2nd-edition.jpg,Success,
11,Nokia,105 4G 2nd Edition,https://www.gsmarena.com/nokia_105_4g_2nd_edition-13583.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2nd-edition.jpg,Success,
12,Nokia,108 4G (2024),https://www.gsmarena.com/nokia_108_4g_(2024)-13482.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-108-4g-2024.jpg,Success,
13,Nokia,110 4G (2024),https://www.gsmarena.com/nokia_110_4g_(2024)-13471.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g-2024.jpg,Success,
14,Nokia,105 (2024),https://www.gsmarena.com/nokia_105_(2024)-13188.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2024.jpg,Success,
15,Nokia,220 4G (2024),https://www.gsmarena.com/nokia_220_4g_(2024)-13167.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-220-4g-2024-new.jpg,Success,
16,Nokia,3210,https://www.gsmarena.com/nokia_3210-12990.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-3210.jpg,Success,
