STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Nothing,Phone (4b),https://www.gsmarena.com/nothing_phone_(4b)_5g-14781.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-4b.jpg,Success,
2,Nothing,Phone (4a) Pro,https://www.gsmarena.com/nothing_phone_(4a)_pro_5g-14529.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-4a-pro.jpg,Success,
3,Nothing,Phone (4a),https://www.gsmarena.com/nothing_phone_(4a)_5g-14503.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-4a.jpg,Success,
4,Nothing,Phone (3a) Lite,https://www.gsmarena.com/nothing_phone_(3a)_lite_5g-14267.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-3a-lite-.jpg,Success,
5,Nothing,CMF Watch 3 Pro,https://www.gsmarena.com/nothing_cmf_watch_3_pro-14217.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-cmf-watch-3-pro.jpg,Success,
6,Nothing,CMF Watch Pro 2,https://www.gsmarena.com/nothing_cmf_watch_pro_2-14218.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-cmf-watch-2.jpg,Success,
7,Nothing,CMF Watch Pro,https://www.gsmarena.com/nothing_cmf_watch_pro-14219.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-cmf-watch-pro.jpg,Success,
8,Nothing,Phone (3),https://www.gsmarena.com/nothing_phone_(3)_5g-13969.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-3-new.jpg,Success,
9,Nothing,CMF Phone 2 Pro,https://www.gsmarena.com/nothing_cmf_phone_2_pro_5g-13821.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-cmf-phone-2-pro.jpg,Success,
10,Nothing,Phone (3a) Pro,https://www.gsmarena.com/nothing_phone_(3a)_pro-13649.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-3a-pro-new.jpg,Success,
11,Nothing,Phone (3a),https://www.gsmarena.com/nothing_phone_(3a)-13672.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-3a-new.jpg,Success,
12,Nothing,Phone (2a) Plus,https://www.gsmarena.com/nothing_phone_(2a)_plus-13243.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-2a-plus.jpg,Success,
13,Nothing,CMF Phone 1,https://www.gsmarena.com/nothing_cmf_phone_1-13122.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-cmf-phone-1-ofic.jpg,Success,
14,Nothing,Phone (2a),https://www.gsmarena.com/nothing_phone_(2a)-12760.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-2a.jpg,Success,
15,Nothing,Phone (2),https://www.gsmarena.com/nothing_phone_(2)-12386.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone2_.jpg,Success,
16,Nothing,Phone (1),https://www.gsmarena.com/nothing_phone_(1)-11636.php,https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-1.jpg,Success,
