STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,O2,XDA Serra,https://www.gsmarena.com/o2_xda_serra-2780.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda_serra.jpg,Success,
2,O2,XDA Guide,https://www.gsmarena.com/o2_xda_guide-2617.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-guide.jpg,Success,
3,O2,XDA Zest,https://www.gsmarena.com/o2_xda_zest-2594.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zest.jpg,Success,
4,O2,XDA Ignito,https://www.gsmarena.com/o2_xda_ignito-2491.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-ignito.jpg,Success,
5,O2,XDA Stellar,https://www.gsmarena.com/o2_xda_stellar-2179.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stellar.jpg,Success,
6,O2,XDA Orbit II,https://www.gsmarena.com/o2_xda_orbit_ii-2180.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit2-ofic.jpg,Success,
7,O2,XDA Comet,https://www.gsmarena.com/o2_xda_comet-2181.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-comet.jpg,Success,
8,O2,XDA Nova,https://www.gsmarena.com/o2_xda_nova-2183.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-nova.jpg,Success,
9,O2,XDA Terra,https://www.gsmarena.com/o2_xda_terra-2182.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-terra.jpg,Success,
10,O2,XDA Argon,https://www.gsmarena.com/o2_xda_argon-2178.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-argon.jpg,Success,
11,O2,XDA Star,https://www.gsmarena.com/o2_xda_star-2137.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-star.gif,Success,
12,O2,Cocoon,https://www.gsmarena.com/o2_cocoon-2002.php,https://fdn2.gsmarena.com/vv/bigpic/o2-cocoon.gif,Success,
13,O2,XDA Flame,https://www.gsmarena.com/o2_xda_flame-1981.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-flame.gif,Success,
14,O2,XDA Atom Life,https://www.gsmarena.com/o2_xda_atom_life-1834.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-atom-life.gif,Success,
15,O2,XDA Zinc,https://www.gsmarena.com/o2_xda_zinc-1819.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zinc.gif,Success,
16,O2,XDA Graphite,https://www.gsmarena.com/o2_xda_graphite-1818.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-graphite.gif,Success,
17,O2,XDA Orbit,https://www.gsmarena.com/o2_xda_orbit-1714.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit.gif,Success,
18,O2,Cosmo,https://www.gsmarena.com/o2_cosmo-1713.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-cosmo.gif,Success,
19,O2,XDA Stealth,https://www.gsmarena.com/o2_xda_stealth-1709.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stealth.gif,Success,
20,O2,Jet,https://www.gsmarena.com/o2_jet-1735.php,https://fdn2.gsmarena.com/vv/bigpic/o2-jet.gif,Success,
21,O2,Ice,https://www.gsmarena.com/o2_ice-1706.php,https://fdn2.gsmarena.com/vv/bigpic/o2-ice.gif,Success,
22,O2,XDA Atom Exec,https://www.gsmarena.com/o2_xda_atom_exec-1625.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-atom-exec.gif,Success,
23,O2,XDA Trion,https://www.gsmarena.com/o2_xda_trion-1572.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-trion.gif,Success,
24,O2,XDA Neo,https://www.gsmarena.com/o2_xda_neo-1522.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-neo.gif,Success,
25,O2,XDA Atom,https://www.gsmarena.com/o2_xda_atom-1372.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-atom.gif,Success,
26,O2,XDA Orion,https://www.gsmarena.com/o2_xda_orion-1373.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orion.gif,Success,
27,O2,XDA Exec,https://www.gsmarena.com/o2_xda_exec-1279.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-exec.gif,Success,
28,O2,XDA mini S,https://www.gsmarena.com/o2_xda_mini_s-1274.php,https://fdn2.gsmarena.com/vv/bigpic/o2-xdamini-s.gif,Success,
